Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
04/30/1989,478.562988,-318.803009,159.759979,-117.014,42.745998,-3.649,0.0,5.06,44.156998,-17.125999,27.031,0.0,0.0,27.031,0.0,27.031,,27.030999,,0.73,0.73,36.844002,,,,,
07/31/1989,505.010986,-361.158997,143.85199,-118.153999,25.698,-4.086,0.0,5.568,27.18,-10.634,16.546,0.0,0.0,16.546,0.0,16.546,,16.546,,0.45,0.45,36.844002,,,,,
10/31/1989,554.685974,-364.526001,190.159973,-133.867996,56.292,-5.162,0.0,4.956,56.085999,-21.961,34.125,0.0,0.0,34.125,0.0,34.125,,34.124999,,0.93,0.93,36.844002,,,,,
01/31/1990,774.541992,-550.361023,224.180969,-133.501007,90.68,-9.921,0.0,4.861,85.620001,-32.979,52.640999,0.0,0.0,52.640999,0.0,52.640999,,52.641001,,1.43,1.43,36.844002,,,,,
04/30/1990,494.061005,-333.153992,160.907013,-120.139,40.768002,-4.208,0.0,5.747,42.307002,-13.906,28.400999,0.0,0.0,28.400999,0.0,28.400999,,28.401001,,0.77,0.77,36.844002,,,,,
07/31/1990,515.344971,-367.903992,147.440979,-124.040001,23.400999,-3.965,0.0,5.988,25.423999,-8.453,16.971001,0.0,0.0,16.971001,0.0,16.971001,,16.970999,,0.46,0.46,36.844002,,,,,
10/31/1990,571.036987,-383.734009,187.302979,-139.199997,48.103001,-4.849,0.0,6.475,49.729001,-16.160999,33.568001,0.0,0.0,33.568001,0.0,33.568001,,33.568001,,0.91,0.91,36.844002,,,,,
01/31/1991,786.767029,-585.763,201.004029,-144.087997,56.916,-10.4,0.0,15.136,61.652,-16.978001,44.674,0.0,0.0,44.674,0.0,44.674,,44.673999,1.22,1.22,1.22,36.844002,1.22,1.22,1.22,36.844002,
04/30/1991,521.745972,-357.450989,164.294983,-125.427002,38.868,-4.754,0.0,5.898,40.012,-15.631,24.381001,0.0,0.0,24.381001,0.0,24.381001,,24.381,,0.66,0.66,36.844002,,,,,
07/31/1991,541.898987,-385.826996,156.071991,-128.964996,27.107,-4.144,0.0,6.884,29.847,-11.719,18.128,0.0,0.0,18.128,0.0,18.128,,18.128,,0.49,0.49,36.844002,,,,,
10/31/1991,583.046997,-391.467987,191.57901,-144.630005,46.949001,-4.603,0.0,7.661,50.007001,-19.549999,30.457001,0.0,0.0,30.457001,0.0,30.457001,,30.457002,,0.83,0.83,36.844002,,,,,
01/31/1992,795.732971,-586.200989,209.531982,-147.660004,61.872002,-9.889,0.0,14.553,66.536002,-25.462999,41.073002,0.0,0.0,41.073002,0.0,41.073002,,41.073003,1.12,1.12,1.12,36.844002,1.12,1.12,1.12,36.844002,
04/30/1992,587.817993,-408.622009,179.195984,-148.362,30.834,-8.292,0.0,-8.96,13.582,-5.387,8.195,-17.75,0.0,-9.555,0.0,-9.555,,8.195,,0.22,-0.26,36.844002,,,,,
07/31/1992,601.783997,-440.644012,161.139984,-151.981003,9.159,-6.568,0.0,6.472,9.063001,-3.665,5.398,0.0,0.0,5.398,0.0,5.398,,5.398001,,0.15,0.15,36.844002,,,,,
10/31/1992,647.510986,-446.282013,201.228973,-167.992996,33.236,-7.946,0.0,5.201,30.491,-12.065,18.426001,0.0,0.0,18.426001,0.0,18.426001,,18.426001,,0.5,0.5,36.844002,,,,,
01/31/1993,894.927979,-634.187012,260.740967,-170.651001,90.089996,-12.658,0.0,12.531,89.962996,-35.145,54.818001,0.0,0.0,54.818001,0.0,54.818001,,54.817996,1.49,1.49,1.49,36.844002,1.49,1.49,1.49,36.844002,
05/01/1993,572.344971,-401.899994,170.444977,-151.005005,19.440001,-7.783,0.0,7.073,18.73,-7.254,11.476,3.1,0.0,14.576,0.0,14.576,,11.476,,0.32,0.4,36.844051,,,,,
07/31/1993,615.380005,-459.925995,155.45401,-156.843002,-1.389,-7.718,0.0,7.212,-1.895,0.562,-1.333,0.0,0.0,-1.333,0.0,-1.333,,-1.333,,-0.04,-0.04,36.844002,,,,,
10/30/1993,654.143005,-460.976013,193.166992,-157.647003,35.52,-7.707,0.0,6.067,33.880001,-13.34,20.540001,0.0,0.0,20.540001,0.0,20.540001,,20.54,,0.56,0.56,36.844002,,,,,
01/29/1994,888.059998,-639.213013,248.846985,-160.809998,88.037003,-13.028,0.0,17.954,92.963003,-37.007,55.956001,0.0,0.0,55.956001,0.0,55.956001,,55.956003,1.52,1.52,1.52,36.844002,1.52,1.52,1.52,36.844002,
04/30/1994,592.508972,-421.380005,171.128967,-155.718994,15.41,-7.173,0.0,6.687,14.924,-5.92,9.004,-1.1,0.0,7.904,0.0,7.904,,9.004,,0.24,0.21,36.844002,,,,,
07/30/1994,619.307007,-455.082001,164.225006,-148.766006,15.459,-6.637,0.0,7.679,16.500999,-6.702,9.799,0.0,0.0,9.799,0.0,9.799,,9.798999,,0.27,0.27,36.292999,,,,,
10/29/1994,679.453003,-475.208008,204.244995,-161.845001,42.400002,-5.19,0.0,6.361,43.571002,-17.365,26.205999,0.0,0.0,26.205999,0.0,26.205999,,26.206002,,0.71,0.71,36.909,,,,,
01/28/1995,928.567993,-668.593994,259.973999,-159.395996,100.578003,-9.118,0.0,6.436,97.896003,-38.388,59.507999,0.0,0.0,59.507999,0.0,59.507999,,59.508003,1.62,1.62,1.62,36.876999,1.62,1.62,1.62,36.876999,
04/29/1995,602.857971,-427.006012,175.851959,-159.994003,15.858,-3.976,0.0,4.682,16.564,-6.613,9.951,0.0,0.0,9.951,0.0,9.951,,9.951,,0.27,0.27,36.844002,0.27,0.27,0.27,36.844002,
07/29/1995,642.447998,-468.916992,173.531006,-165.423004,8.108,-3.938,0.0,6.654,10.824,-4.321,6.503,0.0,0.0,6.503,0.0,6.503,,6.503,,0.18,0.18,36.844002,0.18,0.18,0.18,36.844002,
