Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,356.213989,32.965,32.965,0.0,73.855003,,,30.496,,,,,2.616,,,,139.932007,207.779999,376.411987,-168.632004,0.0,8.502,,,,,8.502,216.281999,,66.791,66.791,,,,8.613,,,,,2.469001,,,2.469001,77.873001,45.116001,,,,67.505997,,,,67.505997,112.621998,190.494999,0.0,76.920998,,,0.0,,76.43,153.350998,12.368,165.718998,356.213997,
06/30/1990,349.252991,34.442001,34.442001,0.0,64.982002,,,31.632,,,,,1.814,,,,132.869995,207.727005,380.848999,-173.121994,0.0,8.656,,,,,8.656,216.383005,,58.682999,58.682999,,,,9.435,,,,,2.040998,,,2.040998,70.158997,41.209,,,,66.774002,,,,66.774002,107.983002,178.141998,0.0,76.892998,,,0.0,,80.948997,157.841995,13.269,171.110995,349.252994,
09/30/1990,347.872009,34.23,34.23,0.0,74.935997,,,24.868999,,,,,1.826,,,,135.860992,203.251999,379.82901,-176.576996,0.0,8.759,,,,,8.759,212.010999,,58.127998,58.127998,,,,9.468,,,,,2.061998,,,2.061998,69.657997,39.741001,,,,64.932999,,,,64.932999,104.674,174.331997,0.0,76.892998,,,0.0,,84.042999,160.935997,12.604,173.539997,347.871994,
12/31/1990,338.089996,43.442001,43.442001,0.0,60.383999,,,22.791,,,,,1.065,,,,127.681999,201.130005,381.95401,-180.824005,0.0,9.278,,,,,9.278,210.408005,,29.483,29.483,,,,8.838,,,,,28.507003,,,28.507003,66.828003,38.237999,,,,60.405998,,,,60.405998,98.643997,165.472,0.0,76.891998,,,0.0,,83.57,160.461998,12.156,172.617998,338.089998,
03/31/1991,336.792999,23.351999,23.351999,0.0,76.843002,,,27.408001,,,,,3.424,,,,131.026993,196.324997,382.540985,-186.216003,0.0,9.441,,,,,9.441,205.765997,,56.327999,56.327999,,,,9.572,,,,,2.429004,,,2.429004,68.329002,36.743999,,,,59.646999,,,,59.646999,96.390999,164.720001,0.0,76.885002,,,0.0,,82.718002,159.603004,12.47,172.073005,336.793006,
06/30/1991,322.225006,22.212,22.212,0.0,75.536003,,,18.819,,,,,2.894,,,,119.460999,193.576996,384.598999,-191.022003,0.0,9.187,,,,,9.187,202.763996,,50.206001,50.206001,,,,9.517,,,,,1.753,,,1.753,61.476002,32.901001,,,,58.306999,,,,58.306999,91.208,152.684002,0.0,76.858002,,,0.0,,80.695,157.553001,11.988,169.541001,322.225003,
09/30/1991,327.661987,29.341,29.341,0.0,81.864998,,,15.177,,,,,2.653,,,,129.035995,190.880997,387.707001,-196.826004,0.0,7.745,,,,,7.745,198.625997,,60.173,60.173,,,,8.566,,,,,2.114996,,,2.114996,70.853996,31.461,,,,60.894001,,,,60.894001,92.355001,163.208998,0.0,76.753998,,,0.0,,75.595001,152.348999,12.104,164.452999,327.661997,
01/01/1992,320.723999,13.849,13.849,0.0,75.995003,,,27.055,,,,,1.048,,,,117.946999,193.154999,386.14801,-192.992996,0.0,9.622,,,,,9.622,202.776999,,42.284,42.284,,,,8.473,,,,,24.975002,,,24.975002,75.732002,29.879,,,,59.237999,,,,59.237999,89.116999,164.849001,0.0,76.750999,,,,,67.528,144.278999,11.596,155.874999,320.724,
03/31/1992,325.473999,6.649,6.649,0.0,82.032997,,,25.764,,,,,3.783,,,,118.228996,192.238998,389.872986,-197.634003,0.0,15.006,,,,,15.006,207.244998,,53.445,53.445,,,,8.031,,,,,3.051001,,,3.051001,64.527,45.790001,,,,59.548,,,,59.548,105.338001,169.865002,0.0,76.735001,,,0.0,,67.063004,143.798004,11.811,155.609004,325.474006,
06/30/1992,316.871002,8.799,8.799,0.0,71.510002,,,22.573999,,,,,2.961,,,,105.844002,194.645004,396.845001,-202.199997,0.0,16.382,,,,,16.382,211.027004,,48.344002,48.344002,,,,7.655,,,,,2.842997,,,2.842997,58.841999,46.284,,,,59.445999,,,,59.445999,105.73,164.571999,0.0,76.735001,,,0.0,,63.686001,140.421001,11.878,152.299002,316.871,
09/30/1992,336.928986,15.371,15.371,0.0,67.130997,,,20.815001,,,,,4.124,,,,107.441002,202.408997,410.102997,-207.694,0.0,27.079,,,,,27.079,229.487997,,57.303001,57.303001,,,,8.025,,,,,3.375002,,,3.375002,68.703003,24.24,,,,59.948002,,,,59.948002,84.188002,152.891005,0.575,130.466995,,,-18.496,,60.005999,172.551994,11.486,184.037994,336.928998,
12/31/1992,324.625,10.749,10.749,0.0,68.761002,,,21.652,,,,,0.903,,,,102.065002,204.050995,416.020996,-211.970001,0.0,18.509001,,,,,18.509001,222.559996,,32.202999,32.202999,,,,6.663,,,,,29.549002,,,29.549002,68.415001,46.528,,,,64.875,,,,64.875,111.403,179.818001,0.575,112.193001,,,,,21.709,134.477001,10.33,144.807001,324.625002,
03/31/1993,309.520996,10.744,10.744,0.0,53.823002,,,23.798,,,,,1.628,,,,89.992996,199.440994,417.070007,-217.628998,0.0,20.087,,,,,20.087,219.527994,,45.221001,45.221001,,,,6.033,,,,,4.762998,,,4.762998,56.016998,45.435001,,,,67.092003,,,,67.092003,112.527004,168.544003,0.575,112.040001,,,0.0,,17.768,130.383001,10.594,140.977,309.521003,
06/30/1993,309.822998,8.695,8.695,0.0,54.198002,,,25.077,,,,,3.951,,,,91.920998,194.981003,417.270996,-222.289993,0.0,22.921,,,,,22.921,217.902002,,47.685001,47.685001,,,,6.12,,,,,4.477,,,4.477,58.282001,41.959,,,,69.694,,,,69.694,111.653,169.935001,0.575,112.040001,,,0.0,,16.629999,129.245,10.643,139.888,309.823001,
