Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Discontinued Operations,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,165.619003,68.140001,37.393002,30.747,40.553001,,,,0.0,,,,,6.082,,,114.775002,23.181999,,,0.0,27.662001,,,,,27.662001,50.844,,6.223,6.223,,5.091,,,,,,24.530002,,,,24.530002,35.844002,8.833,,,,,5.392,,,,,5.392,14.225,50.069002,0.0,67.285004,,,0.0,,48.264999,115.550003,0.0,115.550003,165.619005,
06/30/1990,184.166,73.652,29.389999,44.262001,47.286999,,,,0.0,,,,,5.81,,,126.749001,28.509001,,,0.0,28.908001,,,,,28.908001,57.417002,,6.28,6.28,,5.188,,,,,,29.414999,,,,29.414999,40.882999,8.962,,,,,5.619,,,,,5.619,14.581,55.463999,0.0,70.584,,,0.0,,58.118,128.702,0.0,128.702,184.165999,
09/30/1990,206.445007,80.610001,44.866001,35.743999,55.993,,,,1.721,,,,,7.818,,,146.141998,33.428001,,,0.0,26.875,,,,,26.875,60.303001,,6.269,6.269,,5.16,,,,,,33.274999,,,,33.274999,44.703999,9.256,,,,,6.072,,,,,6.072,15.328,60.031998,0.0,79.023003,,,0.0,,67.389999,146.413002,0.0,146.413002,206.445,
12/31/1990,233.699997,91.188999,61.382999,29.806,64.962997,,,,1.576,,,,,8.486,,,166.214005,39.346001,83.945,-44.598999,0.0,28.139999,,,,,28.139999,67.486,,10.013,10.013,,6.521,,,,,,41.611001,,,,41.611001,58.145,7.919,,,,,9.382,,,,,9.382,17.301,75.446001,0.0,79.782997,,,0.0,,78.471001,158.253998,0.0,158.253998,233.699998,
03/31/1991,235.632004,95.928001,52.686001,43.242001,57.334999,,,,1.398,,,,,11.308,,,165.968994,39.785,,,0.0,29.878,,,,,29.878,69.663,,7.585,7.585,,6.51,,,,,,31.212998,,,,31.212998,45.307999,6.963,,,,,9.327,,,,,9.327,16.289999,61.597998,0.0,88.891998,,,0.0,,85.141998,174.033997,0.0,174.033997,235.631995,
06/30/1991,239.578003,92.418999,33.173,59.245998,54.893002,,,,1.662,,,,,6.932,,,155.906006,49.557999,,,0.0,34.113998,,,,,34.113998,83.671997,,8.106,8.106,,6.706,,,,,,33.008,,,,33.008,47.82,6.295,,,,,9.263,,,,,9.263,15.558,63.377999,0.0,88.794998,,,0.0,,87.404999,176.199997,0.0,176.199997,239.577996,
09/30/1991,243.910995,90.027,45.521,44.506001,61.026001,,,,1.839,,,,,6.685,,,159.576996,49.646,,,0.0,34.688,,,,,34.688,84.334,,7.429,7.429,,6.528,,,,,,33.294,,,,33.294,47.250999,4.578,,,,,7.517,,,,,7.517,12.095,59.346,0.0,92.541,,,0.0,,92.024002,184.565002,0.0,184.565002,243.911002,
01/01/1992,350.451996,110.800003,87.884003,22.916,117.737999,,,,7.826,,,,,9.735,,,246.098999,55.647999,156.466003,-100.818001,0.0,48.705002,,,,,48.705002,104.353001,,16.334,16.334,,6.542,,,,,,100.271004,,,,100.271004,123.147003,4.129,,,,,23.063999,,,,,23.063999,27.192999,150.340003,10.998,213.660004,,,0.0,,-24.546,200.112004,0.0,200.112004,350.452007,
03/31/1992,340.506989,111.486001,100.539001,10.947,98.188004,,,,8.852,,,,,16.218,,,234.744003,53.742001,,,0.0,52.021,,,,,52.021,105.763,,16.360001,16.360001,,10.15,,,,,,73.197001,,,,73.197001,99.707001,3.596,,,,,26.049,,,,,26.049,29.645,129.352,11.278,220.483994,,,0.0,,-20.607,211.154993,0.0,211.154993,340.506994,
06/30/1992,362.484009,110.321003,79.605003,30.716,111.415001,,,,8.395,,,,,17.492001,,,247.623001,58.105999,,,0.0,56.755001,,,,,56.755001,114.861,,18.563,18.563,,10.753,,,,,,73.379,,,,73.379,102.695,7.027,,,,,26.834999,,,,,26.834999,33.861999,136.556999,3.062,228.216003,,,0.0,,-5.351,225.927004,0.0,225.927004,362.484002,
