Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,1232.468018,,,,,,,-1162.749023,,,69.719002,-56.096,,58.347,,-2.251,13.623002,-5.744,7.879,0.622,,,7.257002,0.0,7.257,-2.17,,5.087,5.087,,75.945999,0.07,0.08,,75.945999,0.07,0.08,0.08,
06/30/1990,1298.379028,,,,,,,-1186.436035,,,111.943001,-55.768998,,59.391998,,-3.623,56.174002,-23.056,33.118,0.966,,,32.152003,0.0,32.152,-3.147,,29.005,29.005,,75.297997,0.39,0.4,,75.297997,0.39,0.4,0.4,
09/30/1990,1308.081055,,,,,,,-1198.240967,,,109.839996,-58.815002,,60.948002,,-2.133,51.024994,-21.783001,29.242001,0.938,,,28.303993,0.0,28.304001,-2.63,,25.674001,25.674001,,74.264,0.35,0.36,,74.264,0.35,0.36,0.36,
12/31/1990,1323.405029,,,,,,,-1249.769043,,,73.636002,-55.907,,56.236,,-0.329,17.729002,-5.752,11.977,37.009998,,,-25.032996,0.0,-25.033001,-3.608,,-28.641001,-28.641001,,73.568993,-0.38,0.12,0.12,73.568993,-0.38,0.12,0.12,
03/31/1991,1200.258057,,,,,,,-1146.916016,,,53.341999,-57.140999,,54.869999,,2.271,-3.799,1.62,-2.179,0.0,,,-2.179,0.0,-2.179,-2.589,,-4.768,-4.768,,73.801003,-0.06,-0.06,,73.801003,-0.06,-0.06,-0.06,
06/30/1991,1282.915039,,,,,,,-1190.949951,,,91.964996,-53.902001,,52.671001,,1.231,38.062995,-16.455999,21.607,0.0,,,21.606996,0.0,21.607,-2.618,,18.989,18.989,,73.849998,0.26,0.26,,73.849998,0.26,0.26,0.26,
09/30/1991,1262.963013,,,,,,,-1170.515015,,,92.447998,-48.035001,,49.568001,,-1.533,44.412997,-19.231001,25.181999,0.0,,,25.181996,0.0,25.181999,-2.647,,22.534999,22.534999,,73.837997,0.31,0.31,,73.837997,0.31,0.31,0.31,
12/31/1991,1314.959961,,,,,,,-1231.958008,,,83.001999,-46.804002,,49.372002,,-2.568,36.197997,-15.088,21.110001,51.702999,,,-30.593002,0.0,-30.593,-2.646,,-33.239,-33.239,,73.859001,-0.45,0.25,0.25,73.859001,-0.45,0.25,0.25,
03/31/1992,950.890991,,,,,,,-938.646973,,,12.244,5.165,,0.0,0.0,-5.165,17.409,0.0,17.409,0.0,,,17.409,0.0,17.409,-2.61,,14.799001,14.799001,,74.414001,0.2,0.2,,74.414001,0.2,0.2,0.2,
06/30/1992,1035.004028,,,,,,,-937.60498,,,97.399002,-38.152998,,36.509998,0.0,1.643,59.246004,-24.52,34.726002,-2.849,,,37.575003,0.0,37.575001,-2.611,,34.964001,34.964001,,74.832001,0.47,0.43,,74.832001,0.47,0.43,0.43,
09/30/1992,1005.140991,,,,,,,-923.713013,,,81.428001,-35.267999,,33.917999,0.0,1.35,46.160002,-18.782,27.378,-11.76,,,39.138003,0.0,39.138,-2.639,,36.499001,36.499001,,75.103996,0.49,0.33,,75.103996,0.49,0.33,0.33,
12/31/1992,1028.639038,,,,,,,-1004.937012,,,23.702,6.102,,0.0,0.0,-6.102,29.804,0.0,29.804001,0.0,,,29.804,0.0,29.804001,-2.64,,27.164001,27.164001,,75.832993,0.36,0.36,,75.832993,0.36,0.36,0.36,
03/31/1993,999.856995,,,,,,,-935.413025,,,64.444,-30.342,,30.07,,0.272,34.102001,-14.156,19.945999,21.143,,,-1.196999,0.0,-1.197,-2.589,,-3.786,-3.786,,77.058998,-0.05,0.23,,77.058998,-0.05,0.23,0.23,
06/30/1993,1080.233032,,,,,,,-978.921997,,,101.310997,-31.652,,31.989,,-0.337,69.658997,-28.915001,40.743999,162.947998,,,-122.204002,0.0,-122.204002,-1.028,,-123.232002,-123.232002,,77.157997,-1.6,0.51,,77.157997,-1.6,0.51,0.51,
09/30/1993,1043.494995,,,,,,,-954.424011,,,89.070999,-32.384,,31.579,,0.805,56.686999,-33.199001,23.488001,-4.295,,,27.782997,0.0,27.783001,0.0,,27.783001,27.783001,,77.959,0.36,0.3,,77.959,0.36,0.3,0.3,
12/31/1993,1093.444946,,,,,,,-1013.05603,,,80.389,-31.060999,,31.150999,,-0.09,49.328001,-18.784,30.544001,-3.65,,,34.194001,0.0,34.194,0.0,,34.194,34.194,,77.964996,0.44,0.39,,77.964996,0.44,0.39,0.39,
03/31/1994,1071.837036,,,,,,,-999.828003,,,72.009003,-31.679,,31.916,,-0.237,40.330002,-16.591999,23.738001,0.0,,,23.738003,0.0,23.738001,0.0,,23.738001,23.738001,,78.444,0.3,0.3,,78.444,0.3,0.3,0.3,
06/30/1994,1176.338989,,,,,,,-1054.94397,,,121.394997,-36.863998,,35.662998,,1.201,84.530998,-34.688999,49.841999,0.0,,,49.841999,0.0,49.841999,0.0,,49.841999,49.841999,,78.386002,0.64,0.64,,78.386002,0.64,0.64,0.64,
09/30/1994,1194.675049,,,,,,,-1085.407959,,,109.266998,-38.069,,38.069,,0.0,71.197998,-29.240999,41.957001,0.0,,,41.956999,0.0,41.957001,0.0,,41.957001,41.957001,,79.177002,0.53,0.53,,79.177002,0.53,0.53,0.53,
12/31/1994,1242.751953,,,,,,,-1140.168945,,,102.583,-38.123002,,39.087002,,-0.964,64.459998,-26.468,37.992001,0.0,,,37.991998,0.0,37.992001,0.0,,37.992001,37.992001,,79.063004,0.48,0.48,,79.063004,0.48,0.48,0.48,
03/31/1995,1233.480957,,,,,,,-1143.256958,,,90.223999,-45.099001,,45.109001,,-0.01,45.124998,-18.546,26.579,7.759,,,18.819999,0.0,18.82,0.0,,18.82,18.82,,78.989998,0.24,0.34,0.34,78.989998,0.24,0.34,0.34,
06/30/1995,1324.44397,,,,,,,-1190.009033,,,134.434998,-47.515002,,46.337002,,1.178,86.919996,-35.433998,51.486,0.0,,,51.485998,0.0,51.486,0.0,,51.486,51.486,,79.290001,0.65,0.65,0.65,79.290001,0.65,0.65,0.65,
09/30/1995,1264.04895,,,,,,,-1176.828003,,,87.221001,-50.243999,,50.250999,,-0.007,36.977002,-16.046,20.931,0.0,,,20.931002,0.0,20.931,0.0,,20.931,20.931,,79.511002,0.26,0.26,0.26,79.511002,0.26,0.26,0.26,
12/31/1995,1345.447021,,,,,,,-1203.301025,,,142.145996,-46.781999,,49.459999,,-2.678,95.363997,-38.935001,56.429001,0.0,,,56.428996,0.0,56.429001,0.0,,56.429001,56.429001,,79.686996,0.71,0.71,0.71,79.686996,0.71,0.71,0.71,
