Date,Revenue,Net Premiums Earned,Net Premiums Earned (L),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Claims & Losses (L),LT Charges (L),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (L),Underwriting Cost (L),Amort Def Acq Cost (L),Other Cost (L),Other Operating Expense,Operating Income (Loss),Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,622.549988,529.130981,,,77.121003,16.298,,,-408.480011,0.0,408.480011,0.0,-160.113998,,,,,,53.956001,-4.219,0.0,49.737001,-23.636,26.101,0.0,,,26.101002,0.0,26.101,0.0,,26.101,26.101,,1219.469948,0.021333,0.021333,,1219.469948,0.021333,0.021333,0.021333,
06/30/1990,621.210999,522.63501,,,79.491002,19.084999,,,-409.031006,0.0,409.031006,0.0,-157.029999,,,,,,55.150002,-4.075,0.0,51.075002,-23.242001,27.833,0.0,,,27.833001,0.0,27.833,0.0,,27.833,27.833,,1220.370026,0.022667,0.022667,,1220.370026,0.022667,0.022667,0.022667,
09/30/1990,682.958984,572.859985,,,87.642,22.457001,,,-450.890015,0.0,450.890015,0.0,-172.880997,,,,,,59.188,-3.505,0.0,55.683,-25.892,29.791,0.0,,,29.790999,0.0,29.791,0.0,,29.791,29.791,,1220.92495,0.024667,0.024667,,1220.92495,0.024667,0.024667,0.024667,
12/31/1990,751.633972,634.495972,,,97.118998,20.018999,,,-490.790009,0.0,490.790009,0.0,-197.516006,,,,,,63.327999,-3.423,0.0,59.904999,-26.444,33.460999,0.0,,,33.460999,0.0,33.460999,0.0,,33.460999,33.460999,,1221.734962,0.027333,0.027333,,1221.734962,0.027333,0.027333,0.027333,
03/31/1991,771.405029,655.046997,,,100.824001,15.534,,,-516.440979,0.0,516.440979,0.0,-191.223999,,,,,,63.740002,-3.538,0.0,60.202002,-26.489,33.713001,0.0,,,33.713001,0.0,33.713001,0.0,,33.713001,33.713001,,1222.63504,0.027333,0.027333,,1222.63504,0.027333,0.027333,0.027333,
06/30/1991,783.265991,660.606995,,,103.330998,19.327999,,,-517.591003,0.0,517.591003,0.0,-197.289001,,,,,,68.386002,-4.117,0.0,64.269001,-29.523001,34.745998,0.0,,,34.746001,0.0,34.745998,0.0,,34.745998,34.745998,,1223.865051,0.028667,0.028667,,1223.865051,0.028667,0.028667,0.028667,
09/30/1991,830.703003,694.757996,,,109.18,26.764999,,,-551.245972,0.0,551.245972,0.0,-207.707993,,,,,,71.749001,-3.398,0.0,68.351001,-29.768999,38.582001,0.0,,,38.582001,0.0,38.582001,0.0,,38.582001,38.582001,,1224.014969,0.031333,0.031333,,1224.014969,0.031333,0.031333,0.031333,
12/31/1991,897.294983,754.937012,,,116.529003,25.829,,,-603.539001,0.0,603.539001,0.0,-218.869003,,,,,,74.887001,-3.017,0.0,71.870001,-30.226999,41.643002,0.0,,,41.643002,0.0,41.643002,0.0,,41.643002,41.643002,,1224.525032,0.034,0.034,,1224.525032,0.034,0.034,0.034,
03/31/1992,934.466003,793.856995,,,123.155003,17.454,,,-630.45697,0.0,630.45697,0.0,-200.641998,,,,,,77.163002,-2.869,0.0,74.294002,-31.896999,42.396999,0.0,,,42.397003,0.0,42.396999,0.0,,42.396999,42.396999,,1228.275032,0.034667,0.034667,,1228.275032,0.034667,0.034667,0.034667,
06/30/1992,955.29303,807.697021,,,126.357003,21.239,,,-639.35199,0.0,639.35199,0.0,-209.031006,,,,,,80.418999,-1.359,0.0,79.059999,-34.810001,44.25,0.0,,,44.249997,0.0,44.25,0.0,,44.25,44.25,,1229.505043,0.036,0.036,,1229.505043,0.036,0.036,0.036,
09/30/1992,1025.293945,864.617981,,,135.558997,25.117001,,,-695.664001,0.0,695.664001,0.0,-213.878006,,,,,,85.573997,-0.841,0.0,84.732997,-36.860001,47.873001,0.0,,,47.872997,0.0,47.873001,0.0,,47.873001,47.873001,,1230.825005,0.038667,0.038667,,1230.825005,0.038667,0.038667,0.038667,
12/31/1992,1071.418945,903.028992,,,144.830998,23.559,,,-726.880005,0.0,726.880005,0.0,-221.292007,,,,,,87.311996,-0.855,0.0,86.456996,-37.610001,48.847,0.0,,,48.846995,0.0,48.847,0.0,,48.847,48.847,,1233.49503,0.04,0.04,,1233.49503,0.04,0.04,0.04,
03/31/1993,1121.469971,949.48999,,,153.118992,18.861,,,-765.060974,0.0,765.060974,0.0,-231.701004,,,,,,97.742996,-0.918,0.0,96.824996,-43.078999,53.745998,-11.438,,,65.183997,0.0,65.183998,0.0,,65.183998,65.183998,,1261.109962,0.052,0.042667,,1261.109962,0.052,0.042667,0.042667,
06/30/1993,1236.719971,1044.891968,,,169.752997,22.075001,,,-837.898987,0.0,837.898987,0.0,-261.628998,,,,,,105.389,-0.104,0.0,105.285,-46.543999,58.741001,0.0,,,58.741001,0.0,58.741001,0.0,,58.741001,58.741001,,1262.519989,0.046667,0.046667,,1262.519989,0.046667,0.046667,0.046667,
09/30/1993,1308.240967,1106.552002,,,182.408003,19.281,,,-902.338989,0.0,902.338989,0.0,-267.579987,,,,,,111.328003,-0.053,0.0,111.275003,-46.735001,64.540001,0.0,,,64.540002,0.0,64.540001,0.0,,64.540001,64.540001,,1262.891968,0.050833,0.050833,,1262.891968,0.050833,0.050833,0.050833,
12/31/1993,1334.187012,1124.456055,,,186.928995,22.802,,,-917.997986,0.0,917.997986,0.0,-268.226013,,,,,,115.711998,-0.713,0.0,114.998998,-48.137001,66.862,0.0,,,66.861997,0.0,66.862,0.0,,66.862,66.862,,1263.120024,0.053333,0.053333,0.053333,1263.120024,0.053333,0.053333,0.053333,
