Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/1991,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,,50,,0.0,-165.0,165.0,,309.0,,,-309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,349.0,46,,-128.0,-37.0,-91.0,431.0,-160.0,,,591.0,,-491.0,,,,,,,,,,,,,,,,231.0,-55.0,211.0,,,,,,,75.0,,89.0,23.0,29.0,
06/30/1993,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,,-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1994,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1995,90.0,290,,-247.0,76.0,-323.0,47.0,-129.0,,,176.0,,-460.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,-460.0,920.0,-53.0,1.0,,,,3.0,3.0,0.0,969.0,,550.0,26.0,42.0,
06/30/1995,718.0,495,,-184.0,100.0,-284.0,407.0,310.0,,,97.0,,-2166.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,-2166.0,1462.0,-108.0,56.0,,,,0.0,0.0,0.0,1514.0,,14.0,31.0,60.0,
09/30/1995,-375.0,-566,,-447.0,-382.0,-65.0,638.0,-444.0,,,1082.0,,-366.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,-366.0,809.0,-56.0,13.0,,,,0.0,0.0,0.0,852.0,,68.0,167.0,42.0,
12/31/1995,761.0,282,,207.0,64.0,143.0,272.0,-50.0,,,322.0,,-1181.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,-1181.0,204.0,-58.0,-3.0,,,,21.0,21.0,0.0,244.0,,-216.0,35.0,21.0,
03/31/1996,-79.0,238,,-30.0,44.0,-74.0,-287.0,-50.0,,,-237.0,,339.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,339.0,-550.0,-60.0,-3.0,,,,7.0,7.0,0.0,-494.0,,-290.0,9.0,34.0,
06/30/1996,21.0,231,,95.0,78.0,17.0,-305.0,-59.0,,,-246.0,,259.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,259.0,-115.0,-62.0,-29.0,,,,-41.0,0.0,-41.0,17.0,,165.0,116.0,21.0,
09/30/1996,399.0,281,,-111.0,1.0,-112.0,229.0,70.0,,,159.0,,140.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,140.0,115.0,-58.0,-137.0,,,,-116.0,4.0,-120.0,426.0,,654.0,69.0,33.0,
12/31/1996,359.0,306,,-5.0,3.0,-8.0,58.0,62.0,,,-4.0,,-1095.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,-1095.0,-65.0,-62.0,5.0,,,,-130.0,1.0,-131.0,122.0,,-801.0,166.0,18.0,
03/31/1997,376.0,288,54.0,-189.0,39.0,-228.0,223.0,145.0,,,78.0,,134.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,134.0,-315.0,-60.0,79.0,,,,-53.0,2.0,-55.0,-281.0,,195.0,97.0,27.0,
06/30/1997,-23.0,279,45.0,20.0,8.0,12.0,-367.0,-181.0,,,-186.0,,-906.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,-906.0,918.0,-62.0,641.0,,,,1.0,1.0,0.0,338.0,,-11.0,214.0,20.0,
09/30/1997,308.0,279,110.0,-180.0,62.0,-242.0,99.0,-63.0,,,162.0,,-988.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,-988.0,-143.0,-60.0,-292.0,,,,18.0,18.0,0.0,191.0,,-823.0,22.0,35.0,
