Date,Revenue,Sales & Services Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2008,72.305,,,,,,,,,,,31.831,,,,,,,,19.473,,,,,,19.473,,,19.473,19.473,,13.393,1.24,1.24,1.24,29.069,0.67,0.67,0.67,
06/30/2008,80.072,,,,,,,,,,,40.337,,,,,,,,24.806,,,,,,24.806,,,24.806,24.806,,13.472,1.63,1.63,1.63,29.069,0.85,0.85,0.85,
09/30/2008,97.418,,,,,,,,,,,48.262,,,,,,,,30.642,,,,,,30.642,,,30.642,30.642,,13.482,2.06,2.06,2.06,29.054,1.05,1.05,1.05,
12/31/2008,91.259,,,,,,,,,,,32.025,,,,,,,,22.362,,,,,,22.362,,,22.362,22.362,,13.678,1.42,1.42,1.42,29.063,0.77,0.77,0.77,
03/31/2009,68.076,68.076,,0.0,-45.025,17.697,,,,5.489,21.839,23.051,-4.211,4.253,,,-0.042,18.84,-5.426,13.414,0.0,0.0,0.0,13.414,,13.414,-2.946,0.0,10.468,10.468,0.0,13.823,0.76,0.76,0.76,28.992,0.46,0.46,0.46,
06/30/2009,88.11,,,,,,,,,,,33.928,,,,,,,,20.808,,,,,0.0,20.808,0.0,0.0,20.808,20.808,,13.924,1.494,1.494,1.494,32.602,0.64,0.64,0.64,
09/30/2009,100.575,,,,,,,,,,,47.867,,,,,,,,29.882,,,,,,29.882,,0.0,29.882,29.882,0.0,14.183,1.8,1.8,1.8,33.342,0.9,0.9,0.9,
12/31/2009,97.312,,,,,,,,,,,41.2,0.0,,,,0.0,41.2,,24.948,0.0,0.0,0.0,,0.0,24.948,0.0,0.0,24.948,24.948,0.0,14.279,1.45,1.45,1.45,33.355,0.75,0.75,0.75,
03/31/2010,104.202,104.202,,0.0,-57.102,19.938,,,,8.054,29.11,47.1,-5.308,5.264,,,0.044,41.792,-14.447,27.345,0.0,0.0,0.0,27.345,0.0,27.345,-4.42,0.0,22.925,22.925,0.0,14.372,1.6,1.6,1.6,33.705,0.81,0.81,0.81,
06/30/2010,111.437,111.437,,0.0,-60.88,21.049,,,,8.259,31.572,50.557,-5.416,5.531,,,-0.115,45.141,-15.502,29.639,0.0,0.0,0.0,29.639,0.0,29.639,-4.416,0.0,25.223,25.223,0.0,14.142,1.783553,1.783553,1.783553,33.459,0.753848,0.753848,0.753848,
09/30/2010,111.655,111.655,,0.0,-62.593,22.193,,,,8.925,31.475,49.062,-4.861,5.557,,,-0.696,44.201,-10.803,33.398,0.0,0.0,0.0,33.398,0.0,33.398,-4.529,0.0,28.869,28.869,0.0,34.025,0.85,0.85,0.85,82.24,0.35,0.35,0.35,
12/31/2010,106.547,106.547,,0.0,-82.773,47.687,,,,8.506,26.58,23.774,-3.628,4.181,,,-0.553,20.146,-2.632,17.514,0.0,0.0,0.0,17.514,0.0,17.514,,0.0,17.514,24.1115,6.5975,80.931,0.22,0.22,0.297927,80.931,0.22,0.22,0.297927,
03/31/2011,111.005,111.005,,0.0,-60.518,25.702,,,,8.607,26.209,50.487,-3.329,3.363,,,-0.034,47.158,-14.823,32.335,0.0,0.0,0.0,32.335,0.0,32.335,0.0,0.0,32.335,32.335,0.0,79.937,0.4,0.4,0.4,83.378,0.39,0.39,0.39,
06/30/2011,134.213,134.213,,0.0,-74.321,31.077,,,,8.588,34.656,59.892,-6.064,3.451,,,2.613,53.828,-17.113,36.715,0.0,0.0,0.0,36.715,0.0,36.715,0.0,0.0,36.715,38.44985,1.73485,80.151,0.46,0.46,0.479718,83.548,0.44,0.44,0.460765,
09/30/2011,134.213,134.213,,0.0,-72.49,29.213,,,,9.052,34.225,61.723,-2.612,3.13,,,-0.518,59.111,-18.597,40.514,0.0,0.0,0.0,40.514,0.0,40.514,0.0,0.0,40.514,40.514,0.0,80.819,0.5,0.5,0.5,83.649,0.48,0.48,0.48,
12/31/2011,140.16,140.16,,0.0,-85.928,35.379,,,,9.924,40.625,54.232,-3.452,3.433,,,0.019,50.78,-13.008,37.772,0.0,0.0,0.0,37.772,0.0,37.772,0.0,0.0,37.772,36.7307,-1.0413,81.512,0.46,0.46,0.450617,84.035,0.45,0.45,0.437609,
03/31/2012,146.165,146.165,,0.0,-81.69,33.998,,,,11.72,35.972,64.475,-4.151,3.563,,,0.588,60.324,-18.245,42.079,0.0,0.0,0.0,42.079,0.0,42.079,0.0,0.0,42.079,42.079,0.0,82.565,0.51,0.51,0.51,85.164,0.49,0.49,0.49,
