Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Discontinued Operations,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2010,11082,3219,3219,0,2340,2307,33,988,544,159,285,0,1119,87,21,,183.0,28,802,7666,2067,2554.0,-487.0,13.0,13.0,1336,665,0.0,665,,,281.0,186,3416,,3494,2236,220,1.0,1037,218,0,0.0,0.0,,218.0,7,0.0,4.0,178.0,0,3719,71,71,0.0,0.0,,1193,18.0,677,316,1264,4983,0.0,5550,,,0,0.0,91,5641,458,6099,11082,
03/31/2011,9724,1633,1633,0,2835,2794,41,1088,629,156,303,0,577,56,20,,192.0,256,57,6133,2162,,,9.0,9.0,1420,655,,655,,,267.0,286,3591,,3720,2429,326,,965,272,272,,,,,21,,5.0,169.0,0,4013,2479,2479,,,,1325,20.0,707,424,3804,7817,0.0,1278,,,0,,157,1435,472,1907,9724,
06/30/2011,9627,1322,1322,0,2891,2865,26,1139,654,160,325,0,605,65,13,,185.0,289,38,5957,2231,,,4.0,4.0,1435,653,,653,,,283.0,301,3670,,3816,2560,299,,957,180,180,,,,,29,,7.0,179.0,0,4025,2056,2056,,,,1304,19.0,715,384,3360,7385,0.0,1578,,,0,,193,1771,471,2242,9627,
09/30/2011,9318,1386,1386,0,2678,2644,34,1146,649,157,340,0,597,101,2,,182.0,264,50,5807,2185,,,2.0,2.0,1324,623,,623,,,259.0,258,3511,,3696,2385,289,25.0,997,122,122,,,,,63,,41.0,171.0,0,3881,2051,2051,,,,1288,19.0,683,374,3339,7220,0.0,1706,,,0,,-70,1636,462,2098,9318,
12/31/2011,9128,1363,1363,0,2483,2459,24,1054,594,144,316,0,601,69,11,,0.0,36,309,5501,2315,3122.0,-807.0,0.0,,1312,596,8.0,588,,,,705,3627,,3605,2397,300,10.0,898,107,0,0.0,0.0,,107.0,0,0.0,28.0,0.0,0,3712,1996,1996,0.0,0.0,,1249,17.0,674,530,3245,6957,0.0,1761,3.0,1758.0,0,110.0,-183,1688,483,2171,9128,
03/31/2012,9688,1412,1412,0,2880,2854,26,1137,620,149,368,0,587,88,8,,213.0,20,295,6016,2403,,,0.0,,1269,580,,580,,,209.0,259,3672,,3794,2469,314,25.0,986,89,0,,,,89.0,5,,10.0,149.0,0,3888,1996,1996,,,,1159,10.0,694,296,3155,7043,0.0,1765,3.0,1762.0,0,452.0,-55,2162,483,2645,9688,
06/30/2012,9437,1523,1523,0,2664,2635,29,1106,602,132,372,0,557,76,10,,203.0,13,279,5850,2367,,,0.0,,1220,552,,552,,,207.0,248,3587,,3600,2356,250,9.0,985,69,0,,,,69.0,27,0.0,7.0,141.0,0,3696,1995,1995,,,,1083,,671,264,3078,6774,0.0,1745,3.0,1742.0,0,660.0,-220,2185,478,2663,9437,
09/30/2012,9639,1634,1634,0,2569,2540,29,1121,613,141,367,0,573,92,14,,221.0,14,270,5897,2466,,,0.0,,1276,548,,548,,,222.0,271,3742,,3567,2244,223,24.0,1076,92,0,,,,92.0,11,,2.0,172.0,0,3670,1998,1998,,,,1101,,694,233,3099,6769,0.0,1724,3.0,1721.0,0,796.0,-114,2406,464,2870,9639,
12/31/2012,10176,1105,1105,0,2447,2425,22,1066,586,128,352,0,609,86,8,,,47,450,5227,2860,4043.0,-1183.0,0.0,,2089,1276,473.0,803,,,231.0,574,4949,,3519,2278,273,9.0,959,140,0,0.0,0.0,,140.0,0,0.0,3.0,0.0,0,3659,2324,2324,0.0,0.0,,1363,18.0,929,413,3687,7346,0.0,1726,3.0,1723.0,0,856.0,-237,2345,485,2830,10176,
03/31/2013,10273,830,830,0,2832,2795,37,1148,626,135,387,0,577,72,12,,269.0,35,281,5387,2843,,,0.0,,2043,1232,466.0,766,,,223.0,307,4886,,3571,2386,249,30.0,906,103,0,,,,103.0,0,,19.0,202.0,0,3674,2375,2375,,,,1327,7.0,888,211,3702,7376,0.0,1719,3.0,1716.0,0,971.0,-292,2398,499,2897,10273,
