Date,Revenue,Rental Income,Base Rent,Recoveries from Tenants,Percentage Rent,Other Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,Impairment of Assets,Disposal of Con Assets,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Stock-Based Compensation,Amortization of Financing Costs,Recurring Capital Expenditure,Accounting Adjustments,Tenant Improv & Leasing Com,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/1997,7.161,7.072,,,,,,0.0,0.0,0.089,-4.795,1.83,0.583,1.003,0.0,,1.379,2.366,-2.509,2.509,0.0,0.0,-0.143,0.0,,,,0.0,,,-0.143,,-0.143,-1.577,,-1.72,-1.72,,3.642,-0.04,-0.04,-0.04,3.642,-0.04,-0.04,-0.04,,,,,,,2.239,,2.239,,,,,,,2.239,0.614772,0.614772,0.0,0.0,0.0,0.0,
06/30/1997,9.154,9.154,,,,,,0.0,0.0,0.0,-7.652,1.992,4.431,1.229,0.0,,0.0,1.502,-1.177,1.177,0.0,0.0,0.325,0.0,,,,0.0,,,0.325,,0.325,0.0,,0.325,0.325,,11.405,0.03,0.03,0.03,11.405,0.03,0.03,0.03,,,,,,,5.322,,5.322,,,,,,,5.322,0.466637,0.466637,0.1275,27.32314,27.32314,27.320556,
09/30/1997,9.677,9.677,,,,,,0.0,0.0,0.0,-4.337,2.383,0.629,1.325,0.0,,0.0,5.34,-1.214,1.214,0.0,0.0,4.126,0.0,,,,0.0,,,4.126,,4.126,0.0,,4.126,4.126,,11.405,0.36,0.36,0.36,11.535,0.36,0.36,0.36,,,,,,,5.451,,5.451,,,,,,,5.451,0.472562,0.472562,0.4,84.645019,84.645019,83.691066,
12/31/1997,10.264,10.264,,,,,,0.0,0.0,0.0,-3.221,2.55,0.671,1.432,0.0,,0.0,5.611,-1.402,1.254,0.0,0.148,4.209,0.0,,,,0.0,,,4.209,,4.209,0.0,,4.209,4.209,,11.405,0.37,0.37,0.37,11.605,0.36,0.36,0.36,,,,,,,-2.453,,-2.453,,,,,,,-2.453,-0.211374,-0.211374,0.4,,,,
03/31/1998,11.696,11.503,,,,,,0.0,0.0,0.193,-4.976,2.504,0.751,1.721,0.0,,0.0,6.72,-2.085,2.085,0.0,0.0,4.635,0.0,,,,0.0,,,4.635,,4.635,0.0,,4.635,4.635,,11.405,0.41,0.41,0.41,11.653,0.4,0.4,0.4,,,,,,,6.356,,6.356,,,,,,,6.356,0.545439,0.545439,0.4,73.335431,73.335431,71.774701,
06/30/1998,15.16,14.852,,,,,,0.0,0.0,0.308,-6.958,3.62,0.882,2.456,0.0,,0.0,8.202,-3.478,3.478,0.0,0.0,4.724,0.0,,,,0.0,,,4.724,,4.724,0.0,,4.724,4.724,,11.822,0.4,0.4,0.4,12.054,0.4,0.4,0.4,,,,,,,7.18,,7.18,,,,,,,7.18,0.595653,0.595653,0.4,67.153203,67.153203,69.94429,
09/30/1998,15.811,15.443,,,,,,0.0,0.0,0.368,-7.067,3.337,0.957,2.773,0.0,,0.0,8.744,-3.627,3.627,0.0,0.0,5.117,0.0,,,,0.0,,,5.117,,5.117,0.0,,5.117,5.117,,12.568,0.41,0.41,0.41,12.764,0.4,0.4,0.4,,,,,,,7.89,,7.89,,,,,,,7.89,0.618145,0.618145,0.4,64.709759,64.709759,63.764259,
12/31/1998,18.349001,17.983999,,,,,,0.0,0.0,0.365,-5.232,3.929,1.303,3.346,0.0,,0.0,9.77,-4.843,4.843,0.0,0.0,4.927,0.0,,,,0.0,,,4.927,,4.927,0.0,,4.927,4.927,,12.583,0.39,0.39,0.39,12.748,0.39,0.39,0.39,,,,,,,8.274,,8.274,,,,,,,8.274,0.649043,0.649043,0.4,61.6292,61.6292,60.853275,
03/31/1999,19.539,19.172,,,,,,,,0.367,-9.278,4.383,1.301,3.594,,,,10.261,-4.963,4.963,,,5.298,,,,,,,,,,5.298,,,5.298,5.298,,13.025303,0.41,0.41,0.41,13.163695,0.4,0.4,0.4,,,,,,,8.892,,8.892,,,,,,,8.892,0.675494,0.675494,0.4,59.215902,59.215902,61.178587,
06/30/1999,21.094,20.708,,,,,,,,0.386,-10.427,4.736,1.692,3.999,,,,10.667,-4.85,4.85,,,5.817,,,,,,,,,,5.817,-0.204,,5.613,5.613,,13.604031,0.41,0.41,0.41,13.756007,0.41,0.41,0.41,,,,,,,9.612,,9.612,,,,,,,9.612,0.698749,0.698749,0.43,61.538525,61.538525,60.892634,
09/30/1999,22.395,22.007999,,,,,0.0,0.0,0.0,0.387,-11.711,4.772,1.922,5.017,0.0,,0.0,10.684,-4.835,4.835,0.0,0.0,5.849,0.0,,,,0.0,,,5.849,,5.849,-0.916,,4.933,4.933,,13.723327,0.36,0.36,0.36,13.877678,0.36,0.36,0.36,,,,,,,9.95,,9.95,,,,,,,9.95,0.716979,0.716979,0.43,59.973885,59.973885,59.366834,
12/31/1999,23.233999,22.841999,,,,,0.0,0.0,0.0,0.392,-13.096,5.112,2.062,5.922,0.0,,0.0,10.138,-5.049,5.049,0.0,0.0,5.089,0.0,,,,0.0,,,5.089,,5.089,-0.916,,4.173,4.173,,13.74,0.3,0.3,0.3,13.874,0.3,0.3,0.3,,,,,,,10.095,,10.095,,,,,,,10.095,0.72762,0.72762,0.43,59.09678,59.09678,56.691432,
