Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/29/2007,3292.0,,-2455.0,,837.0,,-403.0,403.0,,0.0,434.0,-1219.0,46.0,57.0,-11.0,,1173.0,-785.0,-147.0,-932.0,435.0,,,-1367.0,-1.0,-1368.0,,,-1368.0,-1368.0,,497.0,-2.75,-1.88,-0.31,497.0,-2.75,-1.88,-0.31,
09/28/2007,3488.0,,-2605.0,,883.0,,-402.0,,,,481.0,-95.0,,56.0,-13.0,0.0,52.0,386.0,-144.0,239.0,-17.0,,,259.0,-3.0,256.0,0.0,0.0,256.0,256.0,,496.0,0.52,0.48,0.56,496.0,0.51,0.48,0.56,
12/28/2007,3558.0,,-2666.0,,892.0,0.0,-399.0,399.0,,0.0,493.0,531.0,40.0,50.0,-10.0,0.0,-571.0,1024.0,-155.0,869.0,-81.0,,,950.0,-1.0,949.0,0.0,0.0,949.0,949.0,,496.0,1.91,1.75,1.78,499.0,1.9,1.74,1.77,
03/28/2008,3662.0,,-2692.0,,970.0,,-421.0,,,,549.0,-75.0,40.0,49.0,-9.0,0.0,35.0,474.0,-171.0,303.0,1.0,,,302.0,-1.0,301.0,0.0,0.0,301.0,301.0,,486.0,0.62,0.62,0.67,489.0,0.62,0.62,0.67,
06/27/2008,3782.0,,-2683.0,,1099.0,0.0,-561.0,409.0,,152.0,538.0,-60.0,38.0,44.0,-6.0,,22.0,478.0,-191.0,287.0,-45.0,,,332.0,-2.0,330.0,0.0,0.0,330.0,330.0,,478.0,0.69,0.6,0.64,482.0,0.68,0.59,0.63,
09/26/2008,3576.0,,-2568.0,,1008.0,0.0,-551.0,396.0,,155.0,457.0,-330.0,39.0,46.0,-7.0,0.0,291.0,127.0,-38.0,89.0,-114.0,,,203.0,-1.0,202.0,0.0,0.0,202.0,202.0,,470.0,0.43,0.19,0.75,473.0,0.43,0.19,0.75,
12/26/2008,2713.0,2713.0,-1989.0,1989.0,724.0,0.0,-641.0,411.0,144.0,86.0,83.0,-37.0,36.0,42.0,-6.0,,1.0,46.0,-14.0,32.0,67.0,67.0,0.0,-35.0,-2.0,-37.0,0.0,0.0,-37.0,93.189474,63.189474,459.0,-0.08,0.07,0.203027,461.0,-0.08,0.07,0.203027,
03/27/2009,2337.0,2337.0,-1803.0,1803.0,534.0,0.0,-4331.0,329.0,131.0,3871.0,-3797.0,-35.0,38.0,41.0,-3.0,,-3.0,-3832.0,594.0,-3238.0,-1.0,-1.0,0.0,-3237.0,-1.0,-3238.0,0.0,0.0,-3238.0,64.0,3303.0,458.0,-7.07,-7.07,0.139738,458.0,-7.07,-7.07,0.139738,
06/26/2009,2508.0,2508.0,-1921.0,1921.0,587.0,0.0,-523.0,330.0,130.0,63.0,64.0,-33.0,38.0,42.0,-4.0,,-5.0,31.0,-6.0,25.0,100.0,100.0,0.0,-75.0,-2.0,-77.0,0.0,0.0,-77.0,74.0,51.0,458.0,-0.17,0.05,0.161572,459.0,-0.17,0.05,0.161111,
09/25/2009,2698.0,2698.0,-2007.0,2007.0,691.0,0.0,-515.0,338.0,131.0,46.0,176.0,-91.0,36.0,40.0,-4.0,,55.0,85.0,-1.0,84.0,-10.0,-10.0,0.0,94.0,-1.0,93.0,0.0,0.0,93.0,140.0,57.0,459.0,0.2,0.18,0.305011,461.0,0.2,0.18,0.303644,
