Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
05/03/2008,2992.5,29.2,29.2,0,850.3,850.3,0,1494.6,0.0,0.0,1494.6,0.0,0.0,,21.5,,0.0,2374.1,503.8,,,0.0,,114.6,52.6,,52.6,,40.5,618.4,,337.2,337.2,,,,26.2,26.2,,,,,180.9,140.8,,,65.1,544.3,380.0,380.0,,,,243.5,,4.6,,,98.1,623.5,1167.8,0.0,155.6,15.4,140.2,,1433.9,235.2,1824.7,0.0,1824.7,2992.5,
08/02/2008,3548.9,66.9,66.9,0,760.8,760.8,0,1454.5,0.0,0.0,1454.5,0.0,73.3,,74.8,,73.3,2355.5,498.7,1194.1,-695.4,0.0,,694.7,578.8,556.0,22.8,,41.1,1193.4,,373.2,82.5,59.3,,231.4,120.2,120.2,,,,,159.4,137.7,,,0.0,652.8,380.0,380.0,,,,254.3,,4.0,,,112.6,634.3,1287.1,0.0,178.8,15.3,163.5,-10.8,1856.4,237.4,2261.8,0.0,2261.8,3548.9,
11/01/2008,3517.1,35.5,35.5,0,718.6,718.6,0,1552.7,32.9,0.0,1519.8,0.0,70.5,,68.0,,70.2,2377.3,477.7,1057.5,-579.8,0.0,,662.1,552.7,529.6,23.1,,41.4,1139.8,,389.4,121.5,32.6,,235.3,233.3,233.3,,,,,152.8,130.4,,,0.0,775.5,380.0,380.0,,,,244.5,,2.8,,,111.3,624.5,1400.0,0.0,179.5,15.3,164.2,-10.8,1841.3,107.1,2117.1,,2117.1,3517.1,
01/31/2009,2953.9,96.8,96.8,0,825.2,825.2,0,1364.4,25.5,0.0,1338.9,0.0,126.8,0.0,54.8,,102.6,2413.2,452.1,1024.7,-572.6,0.0,,88.6,23.9,0.0,23.9,,9.9,540.7,,372.8,42.2,55.8,0.0,274.8,187.5,187.5,0.0,0.0,,,177.0,142.5,0.0,,0.0,737.3,380.0,380.0,0.0,0.0,,226.9,0.0,12.9,,,71.5,606.9,1344.2,0.0,179.8,15.3,164.5,-10.7,1400.9,39.7,1609.7,0.0,1609.7,2953.9,
05/02/2009,2819.5,69.2,69.2,0,770.1,770.1,0,1327.1,10.8,0.0,1316.3,0.0,123.0,,59.3,,109.6,2289.4,437.7,1013.5,-575.8,0.0,,92.4,23.4,,23.4,,9.7,530.1,,419.7,108.8,55.6,,255.3,79.4,79.4,,,,,173.2,142.4,,,0.0,672.3,280.0,280.0,,,,227.7,,12.6,,,72.7,507.7,1180.0,0.0,180.4,15.3,165.1,-10.7,1427.2,42.6,1639.5,0.0,1639.5,2819.5,
08/01/2009,2734.9,92.8,92.8,0,766.2,766.2,0,1279.2,7.0,0.0,1272.2,0.0,76.2,,54.1,,67.2,2214.4,431.2,,,0.0,,89.3,23.6,,23.6,0.0,11.6,520.5,,362.8,93.9,43.6,,225.3,13.3,13.3,,,,,154.8,143.0,,,0.0,530.9,280.0,280.0,,,,231.3,,11.4,,,76.9,511.3,1042.2,0.0,183.0,15.4,167.6,-3.0,1447.1,65.6,1692.7,0.0,1692.7,2734.9,
10/31/2009,2872.3,139.6,139.6,0,730.3,730.3,0,1306.0,5.4,0.0,1300.6,0.0,92.3,,110.5,0.0,84.7,2268.2,413.6,999.5,-585.9,0.0,,190.5,24.9,,24.9,0.0,55.1,604.1,,391.2,140.9,21.1,,229.2,20.3,20.3,,,,,177.6,322.0,,,0.0,589.1,280.0,280.0,,,,408.9,,8.9,,,78.0,688.9,1278.0,0.0,184.2,15.4,168.8,-1.2,1346.9,64.4,1594.3,0.0,1594.3,2872.3,
01/30/2010,3044.9,316.2,316.2,0,858.0,858.0,0,1173.1,9.5,0.0,1163.6,0.0,105.9,0.0,112.3,,100.7,2453.2,396.9,962.9,-566.0,0.0,,194.8,24.2,0.0,24.2,,58.3,591.7,,380.4,66.2,44.1,0.0,270.1,44.1,44.1,0.0,0.0,,,214.4,338.0,0.0,,0.0,638.9,280.0,280.0,0.0,0.0,,422.4,0.0,4.8,,,79.6,702.4,1341.3,0.0,185.3,15.4,169.9,-1.1,1462.4,57.0,1703.6,0.0,1703.6,3044.9,
05/01/2010,3035.0,447.1,447.1,0,801.7,801.7,0,1122.0,,,,,94.9,,111.4,,87.6,2465.7,375.2,953.0,-577.8,0.0,,194.1,23.6,,23.6,0.0,59.1,569.3,,370.2,104.2,32.1,,233.9,47.2,47.2,,,,,214.3,343.6,,,0.0,631.7,229.1,229.1,,,,424.3,,1.8,,,78.9,653.4,1285.1,0.0,187.8,15.4,172.4,,1512.2,49.9,1749.9,0.0,1749.9,3035.0,
07/31/2010,3063.3,485.4,485.4,0,797.2,797.2,0,1126.2,,,,,94.6,,114.9,,89.2,2503.4,362.1,957.8,-595.7,0.0,,197.8,24.6,0.0,24.6,1.1,57.2,559.9,,387.4,114.7,34.2,,238.5,24.9,24.9,,,,,210.9,342.7,,,0.0,623.2,229.1,229.1,,,,419.6,,,,,76.9,648.7,1271.9,0.0,190.2,15.4,174.8,,1550.9,50.3,1791.4,0.0,1791.4,3063.3,
