Date,Revenue,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,2619.100098,-2089.199951,529.900024,-100.699997,,11.0,440.200027,-136.699997,303.5,0.0,,303.5,0,303.5,,,303.500031,,0.2825,0.2825,1072.680054,0.2825,0.2825,0.2825,1072.680054,
06/30/1990,2680.199951,-2060.800049,619.400024,-111.699997,,14.6,522.300028,-170.0,352.299988,0.0,,352.299988,0,352.299988,,,352.300028,,0.3325,0.3325,1059.504028,0.3325,0.3325,0.3325,1059.504028,
09/30/1990,2668.699951,-2118.5,550.200012,-115.900002,,19.4,453.70001,-142.5,311.200012,0.0,,311.200012,0,311.200012,,,311.20001,,0.295,0.295,1056.176025,0.295,0.295,0.295,1056.176025,
12/31/1990,2694.5,-2205.0,489.5,-146.199997,,51.0,394.300003,-107.5,286.799988,0.0,,286.799988,0,286.799988,,,286.800003,0.2725,0.2725,0.2725,1056.739992,0.2725,0.2725,0.2725,1056.739992,
03/31/1991,2628.5,-2133.300049,495.200012,-136.0,-5.4,55.200001,409.000013,-126.0,283.0,0.0,,283.0,0,283.0,,,283.000013,,0.2675,0.2675,1058.095947,0.2675,0.2675,0.2675,1058.095947,
06/30/1991,2742.100098,-2196.800049,545.299988,-135.399994,-3.8,32.0,438.099994,-134.199997,303.899994,0.0,,303.899994,0,303.899994,,,303.899997,,0.2875,0.2875,1061.104004,0.2875,0.2875,0.2875,1061.104004,
09/30/1991,2705.300049,-2163.699951,541.599976,-149.399994,-2.2,134.800003,524.799985,-145.399994,379.399994,0.0,,379.399994,0,379.399994,,,379.399991,,0.3575,0.3575,1063.352051,0.3575,0.3575,0.3575,1063.352051,
12/31/1991,2742.5,-2342.600098,399.899994,-147.100006,0.6,20.299999,273.699987,-85.300003,199.199997,0.0,,199.199997,0,199.199997,,,188.399984,0.185,0.185,0.185,1065.468016,0.185,0.185,0.185,1065.468016,
03/31/1992,2690.800049,-2127.800049,563.0,-125.800003,-1.3,62.599998,498.499995,-161.5,337.0,0.0,,337.0,0,337.0,,,336.999995,,0.315,0.315,1068.119995,0.315,0.315,0.315,1068.119995,
06/30/1992,2805.899902,-2194.800049,611.099976,-131.100006,,28.299999,508.299969,-165.300003,343.0,0.0,,343.0,0,343.0,,,342.999966,,0.32,0.32,1071.332031,0.32,0.32,0.32,1071.332031,
09/30/1992,2813.199951,-2215.600098,597.599976,-124.599998,,13.9,486.899977,-156.399994,330.5,0.0,,330.5,0,330.5,,,330.499983,,0.3075,0.3075,1074.771973,0.3075,0.3075,0.3075,1074.771973,
12/31/1992,2843.100098,-2270.800049,572.299988,-121.699997,-1.3,28.1,477.399991,-144.5,335.5,-1746.400024,,-1410.900024,0,-1410.900024,,,332.899991,0.305,0.305,-1.315,1078.66394,0.305,0.305,-1.315,1078.66394,
