Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Normalized Income,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
09/23/1989,531.174011,-414.42099,116.753021,-92.593002,24.16,-4.414,0.0,0.263,20.009,-7.203,12.806,0.0,0.0,12.806,0.0,12.806,12.806,0.16,0.16,80.037003,0.16,0.16,0.16,80.037003,
12/30/1989,642.919983,-503.889008,139.030975,-109.100998,29.93,-4.64,0.0,0.702,25.992,-9.772,16.219999,-0.988,0.0,15.232,0.0,15.232,16.22,0.2,0.19,80.167999,0.2,0.2,0.19,80.167999,
04/07/1990,640.888977,-499.449005,141.439972,-113.205002,28.235001,-4.333,0.0,0.555,24.457,-8.989,15.468,0.0,0.0,15.468,0.0,15.468,15.468,0.19,0.19,81.411003,0.19,0.19,0.19,81.411003,
06/30/1990,579.804993,-453.121002,126.68399,-99.843002,26.841,-3.394,0.0,2.021,25.467999,-9.824,15.644,-1.051,0.0,14.593,0.0,14.593,15.643999,0.18,0.17,81.587997,0.18,0.18,0.17,81.587997,
09/22/1990,586.763977,-458.46701,128.296967,-101.125999,27.171,-3.176,0.0,0.419,24.413999,-9.028,15.386,0.0,0.0,15.386,0.0,15.386,15.386,0.19,0.19,80.978996,0.19,0.19,0.19,80.978996,
12/29/1990,713.387024,-556.929993,156.457031,-123.278999,33.178001,-4.106,0.0,0.25,29.322001,-10.787,18.535,0.0,0.0,18.535,0.0,18.535,18.535002,0.23,0.23,81.653999,0.23,0.23,0.23,81.653999,
04/06/1991,704.320007,-545.315979,159.004028,-128.259995,30.743999,-3.926,0.0,0.272,27.089999,-9.943,17.146999,0.0,0.0,17.146999,0.0,17.146999,17.147,0.21,0.21,81.652,0.21,0.21,0.21,81.652,
06/29/1991,581.463013,-451.32901,130.134003,-98.556999,31.577,-3.176,0.0,2.438,30.839,-11.096,19.743,-4.085,0.0,15.658,0.0,15.658,19.743,0.24,0.19,81.710999,0.24,0.24,0.19,81.710999,
09/21/1991,615.950989,-483.029999,132.92099,-110.233002,22.688,-3.185,0.0,0.704,20.207,-7.396,12.811,0.0,0.0,12.811,0.0,12.811,12.811,0.16,0.16,80.069,0.16,0.16,0.16,80.069,
12/28/1991,723.536987,-559.724976,163.812012,-132.117004,31.695,-4.008,0.0,0.541,28.228,-10.331,17.896999,0.0,0.0,17.896999,0.0,17.896999,17.896999,0.22,0.22,81.349998,0.22,0.22,0.22,81.349998,
