Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1991,12.561,8.673,6.399,1.753,1.531,0.222,-4.264,,,-4.264,,,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,
06/30/1991,35.146999,9.992,7.153,2.025,1.763,0.262,15.977,,,15.977,,,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,
09/30/1991,6.203,13.552,7.91,2.539,2.366,0.173,-17.798,,,-17.798,,,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,
12/31/1991,11.911,10.409,7.729,-15.875,,-15.875,9.648,,,9.648,,,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,
03/31/1992,15.328,11.965,7.385,1.313,0.98,0.333,-5.335,,,-5.335,,,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,
06/30/1992,24.851999,11.927,7.445,2.581,2.105,0.476,2.899,,,2.899,,,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,
09/30/1992,-3.489,16.743999,5.373,2.018,2.341,-0.323,-27.624001,,,-27.624001,,,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,
12/31/1992,20.031,15.173,13.474,-16.660999,,-16.660999,8.045,,,8.045,,,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,
03/31/1993,36.132999,21.070999,14.413,3.549,4.847,-1.298,-2.9,,,-2.9,,,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,
06/30/1993,31.537001,21.811001,11.726,2.1,4.564,-2.464,-4.1,,,-4.1,,,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,
09/30/1993,41.463001,23.124001,4.948,8.614,11.843,-3.229,4.777,,,4.777,,,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,
12/31/1993,17.320999,5.259,10.629,14.991,,14.991,-13.558,,,-13.558,,,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,
03/31/1994,38.859001,24.797001,10.553,2.942,9.082,-6.14,0.567,,,0.567,,,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,
06/30/1994,35.515999,25.641001,10.846,7.24,6.5,0.74,-8.211,,,-8.211,,,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,
09/30/1994,46.394001,25.563999,10.845,14.352,10.851,3.501,-4.367,,,-4.367,,,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,
12/31/1994,40.730999,24.098,11.156,3.066,,3.066,2.411,,,2.411,,,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,
03/31/1995,42.400002,24.799999,12.0,12.7,14.1,-1.4,-7.1,,,-7.1,,,-11.0,,,,-11.0,,,,,,,,,,11.0,0.0,,,,,,0.0,0.0,,,,,,,
06/30/1995,62.299999,26.5,11.9,28.700001,12.5,16.200001,-4.8,,,-4.8,,,-30.0,,,,-30.0,,,,,,,,,,30.0,0.0,,,,,,0.0,0.0,,,,,,,
09/30/1995,62.0,27.299999,14.8,1.6,11.8,-10.2,18.299999,,,18.299999,,,-70.0,,,,-70.0,,,,,,,,,,70.0,0.0,,,,,,0.0,0.0,,,,,,,
12/31/1995,22.299999,28.4,16.299999,1.0,,1.0,-23.4,,,-23.4,,,-39.0,,,,-39.0,,,,,,,,,,39.0,0.0,,,,,,0.0,0.0,,,,,,,
03/31/1996,45.0,29.0,14.0,11.0,14.0,-3.0,-9.0,,,-9.0,,,-45.0,,,,-45.0,,,,,,,,,,45.0,0.0,,,,,,0.0,0.0,,,,,,38.0,
06/30/1996,23.0,28.0,15.0,3.0,8.0,-5.0,-23.0,,,-23.0,,,-160.0,,,,-160.0,,,,,,,,,,160.0,0.0,,,,,,0.0,0.0,,,,,,,
09/30/1996,79.0,32.0,14.0,6.0,8.0,-2.0,27.0,,,27.0,,,-119.0,,,,-119.0,,,,,,,,,,119.0,0.0,,,,,,0.0,0.0,,,,,,,
12/31/1996,8.0,36.0,22.0,-48.0,,-48.0,-2.0,,,-2.0,,,-303.0,,,,-303.0,,,,,,,,,,303.0,0.0,,,,,,0.0,0.0,,,,,,,
03/31/1997,10.0,40.0,15.0,-23.0,5.0,-28.0,-22.0,,,-22.0,,-238.0,-97.0,0.0,,,-97.0,,,0.0,0.0,0.0,,,,,-141.0,466.0,0.0,71.0,,,,393.0,393.0,0.0,2.0,,238.0,,38.0,
06/30/1997,85.0,42.0,19.0,22.0,7.0,15.0,2.0,,,2.0,,-1706.0,-109.0,0.0,,,-109.0,,,0.0,0.0,0.0,,,,,-1597.0,1521.0,0.0,1265.0,,,,0.0,0.0,0.0,256.0,,-100.0,,47.0,
09/30/1997,22.0,47.0,19.0,-8.0,7.0,-15.0,-36.0,,,-36.0,,-183.0,-144.0,0.0,,,-144.0,,,0.0,0.0,0.0,,,,,-39.0,196.0,0.0,-199.0,,,,345.0,345.0,0.0,50.0,,35.0,,69.0,
