Date,P/E,Average,High,Low,P/Book,P/Tangible Book,P/Sales,P/Free Cash Flow,Price/Share,Market Cap,Market Cap / Deposits,Source: Bloomberg
12/31/1982,,,,,,,,,,,,
03/31/1983,,,,,,,,,,,,
06/30/1983,,,,,,,,,,,,
09/30/1983,,,,,,,,,2.276997,,,
12/31/1983,,,,,,,,,2.296459,,,
03/31/1984,,,,,,,,,2.325651,,,
06/30/1984,,,,,,,,,2.257536,,,
09/30/1984,,,,,,,,,2.740182,,,
12/31/1984,,,,,,,,,3.082704,,,
03/31/1985,,,,,,,,,3.275373,,,
06/30/1985,,,,,,,,,3.960419,,,
09/30/1985,,,,,,,,,3.939011,,,
12/31/1985,,,,,,,,,4.49561,,,
03/31/1986,,,,,,,,,5.437548,,,
06/30/1986,,,,,,,,,6.208224,,,
09/30/1986,,,,,,,,,5.180656,,,
12/31/1986,,,,,,,,,4.5213,,,
03/31/1987,,,,,,,,,4.992268,,,
06/30/1987,,,,,,,,,4.945171,,,
09/30/1987,,,,,,,,,5.128849,,,
12/31/1987,,,,,,,,,3.989105,,,
03/31/1988,,,,,,,,,4.869816,,,
06/30/1988,,,,,,,,,5.284269,,,
09/30/1988,,,,,,,,,4.921623,,,
12/31/1988,,,,,,,,,4.468316,,,
03/31/1989,,,,,,,,,4.792107,,,
06/30/1989,,,,,,,,,5.7311,,,
09/30/1989,,,,,,,,,6.479058,,,
12/31/1989,,,,,,,,,5.957754,,,
03/31/1990,,0.088871,0.088871,0.088871,1.266432,,,,5.324743,962.211283,0.109804,
06/30/1990,,0.101002,0.109028,0.085763,1.191443,,,,5.138563,928.688281,0.103105,
09/30/1990,,0.08494,0.100338,0.067308,0.813916,,,,3.481563,627.246873,0.069946,
12/31/1990,7.701385,0.07292,0.079978,0.064933,0.836096,,0.52032,,3.645401,656.764375,0.072054,
03/31/1991,11.584576,0.090624,0.10567,0.070894,1.20233,,0.760708,,5.324743,959.323521,0.10567,
06/30/1991,12.062937,0.106833,0.114612,0.09998,1.2461,,0.813869,,5.652419,1018.358814,0.10858,
09/30/1991,10.557587,0.120444,0.129705,0.104645,1.432455,,0.964233,,6.623161,1193.250769,0.128592,
12/31/1991,10.288945,0.128608,0.132767,0.125252,1.417073,,0.986754,,6.709176,1208.747455,0.127093,
03/31/1992,11.270959,0.136873,0.149904,0.124649,1.589916,,1.140957,,7.698349,1386.960309,0.141181,
06/30/1992,12.323084,0.14595,0.168786,0.12935,1.789196,,1.276248,,8.687523,1716.506065,0.165126,
09/30/1992,11.482746,0.144816,0.150568,0.136465,1.652533,,1.231759,,8.38647,1757.222969,0.158709,
12/31/1992,12.902677,0.141379,0.162708,0.129467,1.881694,,1.432862,,9.784215,2125.691659,0.180942,
03/31/1993,12.525694,0.158563,0.172308,0.143453,1.947822,,1.524675,,10.483087,2280.768743,0.195507,
06/30/1993,12.651586,0.170694,0.180161,0.160235,2.099885,,1.700709,,11.665795,2561.657956,0.211062,
09/30/1993,12.564048,0.199583,0.210198,0.173169,2.18254,,1.807124,,12.654968,2740.858446,0.230916,
12/31/1993,10.231299,0.195364,0.213431,0.170536,1.862178,,1.570847,,11.176584,2466.709946,0.204796,
03/31/1994,9.532781,0.189504,0.197955,0.18249,1.729103,,1.536503,,10.880907,2390.27507,0.204515,
06/30/1994,10.190763,0.225788,0.244529,0.191254,1.906795,,1.727468,,12.004479,2649.429204,0.229006,
09/30/1994,9.294872,0.228987,0.242544,0.203888,1.673234,,1.588742,,10.718285,2345.574293,0.202166,
12/31/1994,9.214744,0.19848,0.208107,0.186571,1.591002,,1.538162,,10.20085,2246.208681,0.187731,
03/31/1995,10.310735,0.195111,0.202795,0.183867,1.610082,,1.598381,,10.792204,2430.626205,0.199418,
