Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1993,800.171997,30.853001,28.964001,1.889,209.848007,,,3.167,,,,,38.73,,,,,,282.597992,180.925995,382.917999,-201.992004,0.0,336.64801,,,,336.64801,517.574005,,123.071999,123.071999,,,,13.092,,,,,,125.976993,,,125.976993,262.140991,105.978996,,,,,73.652,,,,73.652,179.630997,441.771988,0.0,,,,0.0,,358.399994,358.399994,0.0,358.399994,800.171982,
12/31/1993,806.940979,32.152,30.271,1.881,201.348007,,,3.235,,,,,52.394001,,,,,,289.128998,188.076004,395.161987,-207.085999,0.0,329.735992,,,,329.735992,517.811996,,131.893005,131.893005,,,,17.424,,,,,,132.391003,,,132.391003,281.708008,58.109001,,,,,88.754997,,,,88.754997,146.863998,428.572006,0.0,,,,0.0,,378.368988,378.368988,0.0,378.368988,806.940994,
03/31/1994,829.312988,47.556,45.382999,2.173,213.139008,,,4.101,,,,,45.264999,,,,,,310.061005,194.559998,409.027008,-214.466995,0.0,324.691986,,,,324.691986,519.251984,,140.466003,140.466003,,,,18.312,,,,,,113.142986,,,113.142986,271.92099,78.472,,,,,90.331001,,,,90.331001,168.803001,440.723991,0.0,,,,0.0,,388.588989,388.588989,0.0,388.588989,829.312981,
06/30/1994,845.249023,30.441,28.371,2.07,231.962006,,,4.111,,,,,51.008999,,,,,,317.52301,201.979004,420.135986,-218.156998,0.0,325.747009,,,,325.747009,527.726013,,149.373993,149.373993,,,,19.768999,,,,,,114.749006,,,114.749006,283.891998,49.701,,,,,101.383003,,,,101.383003,151.084003,434.976002,0.0,,,,0.0,,410.27301,410.27301,0.0,410.27301,845.249012,
09/30/1994,896.075989,48.219999,46.182999,2.037,254.220993,,,4.095,,,,,55.599998,,,,,,362.135986,210.468994,437.557007,-227.087997,0.0,323.471008,,,,323.471008,533.940002,,161.509995,161.509995,,,,22.539,,,,,,138.444017,,,138.444017,322.493011,50.882,,,,,87.105003,,,,87.105003,137.987003,460.480015,0.0,,,,0.0,,435.596008,435.596008,0.0,435.596008,896.076023,
12/31/1994,940.676025,40.651,38.610001,2.041,267.868988,,,4.006,,,,,73.806,,,,,,386.332001,225.371994,460.093994,-234.722,0.0,328.971985,,,,328.971985,554.343979,,175.843994,175.843994,,,,19.517,,,,,,137.554991,,,137.554991,332.915985,49.896,,,,,101.453003,,,,101.453003,151.349003,484.264988,,,,,0.0,,456.411011,456.411011,0.0,456.411011,940.675999,
12/31/1995,484.726013,25.264999,21.976999,3.288,113.790001,,,2.795,,,,,27.471001,,,,,,169.320999,214.653,429.076996,-214.423996,0.0,100.751999,,,,100.751999,315.404999,,35.459999,35.459999,,,,8.975,,,,,,86.005995,,,86.005995,130.440994,5.795,,,,,68.323997,,,,68.323997,74.118997,204.559991,0.0,,,,,,258.804993,258.804993,21.361,280.165993,484.725984,
03/31/1996,490.804993,20.709,18.389,2.32,106.565002,,,2.821,,,,,36.735001,,,,,,166.830002,223.291,446.51001,-223.218994,0.0,100.683998,,,,100.683998,323.974998,,32.57,32.57,,,,6.03,,,,,,84.593001,,,84.593001,123.193001,5.405,,,,,71.753998,,,,71.753998,77.158998,200.351999,0.0,,,,,,269.227997,269.227997,21.225,290.452997,490.804996,
06/30/1996,505.372986,21.861001,19.617001,2.244,116.260002,,,2.576,,,,,28.414,,,,,,169.110992,235.613007,466.014008,-230.401001,0.0,100.649002,,,,100.649002,336.262009,,33.243999,33.243999,,,,6.404,,,,,,89.960002,,,89.960002,129.608002,3.766,,,,,66.795998,,,,66.795998,70.561998,200.169999,0.0,,,,,,283.841003,283.841003,21.362,305.203003,505.373002,
09/30/1996,527.221985,27.798001,25.575001,2.223,121.314003,,,2.616,,,,,27.111,,,,,,178.839005,245.285995,481.679993,-236.393997,0.0,103.097,,,,103.097,348.382996,,29.780001,29.780001,,,,5.733,,,,,,96.955994,,,96.955994,132.468994,5.786,,,,,65.218002,,,,65.218002,71.004002,203.472996,0.0,,,,,,301.278992,301.278992,22.469999,323.748991,527.221987,
