Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1989,210.673004,47.500999,47.500999,,38.512001,,,12.696,,,,,5.302,,,,104.011002,20.48,30.906,-10.426,22.087999,,64.094002,,,,64.094002,106.662001,,4.501,4.501,,,,,,,,9.44,,,9.44,13.941,,,,,0.682,,,,,,0.682,0.682,14.623,,123.230003,,,-7.434,,80.254,196.050003,,196.050003,210.673003,
09/30/1989,219.014999,61.201,61.201,,35.507,,,13.434,,,,,3.623,,,,113.764999,20.820999,32.098999,-11.278,21.009001,,63.419998,,,,63.419998,105.249998,,4.809,4.809,,,,,,,,8.984,,,8.984,13.793,,,,,0.747,,,,,,0.747,0.747,14.54,,124.277,,,-8.218,,88.415998,204.474998,,204.474998,219.014999,
12/31/1989,230.339996,62.546001,62.546001,,45.296001,,,13.658,,,,,3.561,,,,125.060997,21.589001,33.305,-11.716,21.004,,62.686001,,,,62.686001,105.279001,,5.602,5.602,,,,,,,,9.918,,,9.918,15.52,,,,,0.797,,,,,,0.797,0.797,16.317,,125.438004,,,-8.458,,97.042999,214.023003,,214.023003,230.340003,
03/31/1990,238.947998,78.987,78.987,,35.671001,,,14.878,,,,,3.87,,,,133.406006,22.114,34.244999,-12.131,20.997999,,62.43,,,,62.43,105.541999,,5.097,5.097,,,,,,,,9.133,,,9.133,14.23,,,,,1.689,,,,,,1.689,1.689,15.919,,125.899002,,,-8.666,,105.795997,223.028999,,223.028999,238.947999,
06/30/1990,250.839996,93.972,93.972,,31.938,,,16.134001,,,,,2.958,,,,145.001999,23.063999,35.969002,-12.905,20.993999,,61.779999,,,,61.779999,105.837997,,4.87,4.87,,,,,,,,12.199,,,12.199,17.069,,,,,1.409,,,,,,1.409,1.409,18.478,,126.222,,,-8.74,,114.879999,232.362,,232.362,250.84,
09/30/1990,261.56601,90.234001,90.234001,,43.59,,,17.684,,,,,3.31,,,,154.817993,24.747999,38.577999,-13.83,20.988001,,61.012001,,,,61.012001,106.748001,,6.667,6.667,,,,,,,,10.4,,,10.4,17.066999,,,,,1.452,,,,,,1.452,1.452,18.518999,,126.512001,,,-8.759,,125.294003,243.047005,,243.047005,261.566004,
12/31/1990,319.164001,50.818001,50.818001,,53.201,,,18.34,,,,,2.556,,,,124.915001,27.483999,42.145,-14.661,20.983,,145.781998,,,,145.781998,194.248997,,6.547,6.547,,,,20.0,,,,10.69,,,10.69,37.237,25.0,,,,1.651,,,,,,1.651,26.651,63.888,,128.401001,,,-8.838,,135.713,255.276001,,255.276001,319.164001,
03/31/1991,331.234009,59.535999,59.535999,,53.938,,,20.205999,,,,,4.614,,,,138.294006,27.938999,42.476002,-14.537,20.978001,,144.022995,,,,144.022995,192.939995,,6.198,6.198,,,,21.931,,,,13.897001,,,13.897001,42.026001,23.069,,,,2.162,,,,,,2.162,25.231,67.257001,,129.028,,,-9.051,,144.000005,263.977005,,263.977005,331.234006,
06/30/1991,348.915009,70.632004,70.632004,,58.993,,,22.468,,,,,5.587,,,,157.679993,27.684999,42.578999,-14.894,20.973,,142.576996,,,,142.576996,191.234995,,6.989,6.989,,,,21.931,,,,21.568999,,,21.568999,50.488998,23.069,,,,1.942,,,,,,1.942,25.011,75.499999,,129.337006,,,-9.104,,153.182003,273.415009,,273.415009,348.915007,
09/30/1991,361.975006,72.720001,72.720001,,68.434998,,,26.287001,,,,,4.611,,,,172.052994,28.014,44.073002,-16.059,20.968,,140.940002,,,,140.940002,189.922003,,7.501,7.501,,,,21.931,,,,19.588001,,,19.588001,49.02,23.069,,,,1.923,,,,,,1.923,24.992,74.012001,,132.179001,,,-11.512,,167.295997,287.962997,,287.962997,361.974998,
