Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2008,2750,1607,807,800,11,11,,259,197,0,62,0,486,,,,,2363,205,660,-455,0.0,,182,0.0,0.0,0.0,,,16.0,166,387,,22,22,,,,0,,,,1438,,,1438,1460,0,,,,392,,,392,392,1852,0.0,220,,,,765,-87,898,0.0,898,2750,
06/30/2008,2350,1158,1158,0,24,24,,294,223,0,66,5,477,,,,,1953,208,662,-454,0.0,,189,0.0,0.0,0.0,,,15.0,174,397,,21,21,,,,0,,,,1029,,,1029,1050,0,,,,383,,,383,383,1433,0.0,221,,,0.0,782,-86,917,0.0,917,2350,
09/30/2008,2346,1208,1208,0,23,23,,261,212,0,43,6,451,,,,,1943,218,622,-404,,,185,,,,,,15.0,170,403,,16,16,,,,0,,,,1217,,,1217,1233,0,,,,388,,,388,388,1621,0.0,222,,,-274.0,862,-85,725,0.0,725,2346,
12/31/2008,2321,1191,1191,0,7,7,,255,208,0,42,5,509,,,,,1962,218,622,-404,0.0,,141,0.0,0.0,0.0,,,15.0,126,359,,30,30,,,,0,0.0,0.0,0.0,1243,,,1243,1273,0,0.0,0.0,0.0,417,,,417,417,1690,0.0,224,,,-400.0,965,-158,631,0.0,631,2321,
03/31/2009,2719,1483,1483,0,9,9,0.0,353,252,0,95,6,506,,,96.0,52.0,2351,220,631,-411,15.0,15.0,133,,,0.0,,37.0,,0,368,,411,21,111.0,,279.0,0,0.0,,,1217,,,1217,1628,0,0.0,,,422,,320.0,102,422,2050,0.0,230,2.0,228.0,-400.0,994,-155,669,0.0,669,2719,
06/30/2009,2834,1558,1558,0,15,15,0.0,326,242,0,78,6,564,,,67.0,110.0,2463,221,638,-417,0.0,,150,,,0.0,,37.0,,46,371,,414,23,5.0,,386.0,0,0.0,,,604,,,604,1018,750,750.0,,,407,,309.0,98,1157,2175,0.0,231,2.0,229.0,-546.0,1126,-152,659,0.0,659,2834,
09/30/2009,2761,1514,1514,0,13,13,0.0,297,232,0,60,5,560,,,64.0,104.0,2384,231,644,-413,0.0,,146,,,,,38.0,,44,377,,333,18,9.0,,306.0,0,,,,884,,1.0,884,1217,751,751.0,,,412,,312.0,99,1163,2380,,234,2.0,232.0,-902.0,1198,-149,381,,381,2761,
12/31/2009,2575,1384,1384,0,9,9,0.0,281,236,0,41,4,507,,0.0,48.0,41.0,2181,237,653,-416,0.0,,157,0.0,0.0,0.0,16.0,60.0,,33,394,,355,23,14.0,0.0,318.0,0,0.0,0.0,0.0,982,0.0,28.0,982,1337,722,722.0,0.0,0.0,429,0.0,300.0,101,1151,2488,0.0,236,2.0,234.0,-1310.0,1282,-121,87,0.0,87,2575,
03/31/2010,2902,1659,1659,0,19,19,0.0,321,272,0,45,4,505,,,47.0,38.0,2504,238,652,-414,0.0,,160,,,0.0,,61.0,,52,398,,528,79,138.0,,311.0,0,0.0,,,1258,,15.0,1258,1786,735,735.0,,,418,,294.0,109,1153,2939,0.0,235,2.0,233.0,-1514.0,1359,-117,-37,0.0,-37,2902,
06/30/2010,3140,1791,1791,0,19,19,0.0,317,252,0,61,4,597,,35.0,46.0,144.0,2724,237,646,-409,0.0,,179,,,0.0,,67.0,,31,416,,420,28,4.0,,388.0,0,0.0,,,650,,,650,1070,1785,1785.0,,,339,,293.0,46,2124,3194,0.0,238,2.0,236.0,-1650.0,1470,-112,-54,0.0,-54,3140,
