Date,Revenue,Revenue From Electric,Regulated Electric Revenue,Unregulated Electric Revenue,Revenue from Gas,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Purchased Gas Cost,Purchased Water Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,1298.855957,1298.855957,,,0.0,0.0,0.0,-460.626007,460.625994,430.748993,29.877001,0.0,,,,838.22995,-534.500977,115.57,118.512001,106.223999,194.195007,303.729004,-72.634999,,,11.015,,101.015999,104.309998,-8.768,5.474,-17.365999,231.094005,-71.510002,,159.584,0.0,,,159.584002,0.0,159.584,-14.717,,144.867,144.867,,193.151001,0.75,0.75,0.75,193.151001,0.75,0.75,0.75,
06/30/1990,1259.890015,1259.890015,,,0.0,0.0,0.0,-447.914001,447.913998,400.917999,46.995998,0.0,,,,811.976013,-545.690002,118.491997,118.890999,103.361,204.945999,266.286011,-82.637999,,,11.734,,98.750999,100.424004,-9.373,7.7,-4.379,183.648012,-57.724998,,125.922997,0.0,,,125.923013,0.0,125.922997,-13.632,,112.290997,112.290997,,186.035995,0.6,0.6,0.6,186.035995,0.6,0.6,0.6,
09/30/1990,1332.803955,1332.803955,,,0.0,0.0,0.0,-500.932007,500.932003,455.345001,45.587002,0.0,,,,831.871948,-567.75,128.688004,119.93,102.061996,217.070007,264.122009,-80.627997,,,12.283,,100.074997,100.924004,-9.824,8.975,-7.164,183.494012,-42.560001,,140.934006,0.0,,,140.934011,0.0,140.934006,-11.857,,129.077005,129.077005,,184.535004,0.7,0.7,0.7,184.535004,0.7,0.7,0.7,
12/31/1990,1275.946045,1275.946045,,,0.0,0.0,0.0,-435.647003,435.647003,396.285004,39.362,0.0,,,,840.299042,-604.005981,139.091003,120.178001,107.566002,237.171005,236.292999,-79.125001,,,12.911,,101.290001,103.204002,-9.262,7.348,-9.254,157.167998,-34.57,,122.598,0.0,,,122.597999,0.0,122.598,-12.419,,110.179,110.179,,184.535004,0.6,0.6,0.6,184.535004,0.6,0.6,0.6,
03/31/1991,1257.35498,1257.35498,,,0.0,0.0,0.0,-398.519989,398.520006,374.876007,23.643999,0.0,,,,858.834991,-549.234985,114.273003,121.134003,108.042999,205.785004,309.600006,-81.862998,,,10.858,,99.781998,103.362,-10.405,6.825,-7.061,227.737008,-68.717003,,159.020004,0.0,,,159.020005,0.0,159.020004,-13.458,,145.562004,145.562004,,184.535004,0.79,0.79,0.79,184.535004,0.79,0.79,0.79,
06/30/1991,1230.637939,1230.637939,,,0.0,0.0,0.0,-398.230011,398.229996,374.563995,23.666,0.0,,,,832.407928,-579.747986,124.714996,127.819,101.848,225.365997,252.660004,-91.419001,,,0.805,,109.122002,103.219002,-2.204,8.107,-16.898001,161.241003,-46.505001,,114.736,0.0,,,114.736002,0.0,114.736,-13.352,,101.384,101.384,,184.535004,0.55,0.55,0.55,184.535004,0.55,0.55,0.55,
09/30/1991,1285.848022,1285.848022,,,0.0,0.0,0.0,-420.716003,420.715996,399.382996,21.333,0.0,,,,865.132019,-565.643982,121.073997,128.751999,94.564003,221.253998,299.488007,-98.859003,,,-0.54,,111.981003,103.805,-0.667,8.843,-13.662,200.629003,-51.314999,,149.313995,0.0,,,149.314005,0.0,149.313995,-13.353,,135.960996,135.960996,,184.535004,0.74,0.74,0.74,184.535004,0.74,0.74,0.74,
12/31/1991,1272.77002,1272.77002,,,0.0,0.0,0.0,-423.145996,423.146008,391.488007,31.658001,0.0,,,,849.624023,-594.689026,129.848007,129.889999,97.805,237.145996,254.934998,-94.544997,,,0.294,,110.324997,103.932999,-0.725,7.117,-15.486,160.390001,-32.008999,,128.380997,0.0,,,128.381002,0.0,128.380997,-13.353,,115.027997,115.027997,,184.535004,0.623,0.62,0.62,184.535004,0.623,0.62,0.62,
03/31/1992,1297.22998,1297.22998,,,0.0,0.0,0.0,-426.721985,426.721994,403.425995,23.296,0.0,,,,870.507996,-579.239014,114.278999,130.962006,0.0,217.886993,291.269012,-92.439,,,0.335,,110.735001,105.503998,-1.463,6.694,-17.961,198.830012,-55.071999,,143.757996,0.0,,,143.758014,0.0,143.757996,-13.495,,130.262996,130.262996,,184.535004,0.71,0.71,0.71,184.535004,0.71,0.71,0.71,
06/30/1992,1173.505981,1173.505981,,,0.0,0.0,0.0,-384.411011,384.411001,367.513,16.898001,0.0,,,,789.094971,-583.013,135.927002,130.0,0.0,202.727997,206.082001,-95.644,,,0.498,,113.959,108.574997,-1.322,6.706,-17.816999,110.438001,-20.635,,89.803001,0.0,,,89.803,0.0,89.803001,-15.51,,74.293001,74.293001,,184.535004,0.4,0.4,0.4,184.535004,0.4,0.4,0.4,
