Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Insurance Reserves,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/1995,241,140,18,165,-82.0,,,-14.0,,,,,,,,,,,,,,
06/30/1995,152,105,20,112,-85.0,,,-24.0,,,,,,,,,,,,,,
09/30/1995,350,173,27,191,-41.0,,,-36.0,,,,,,,,,,,,,,
12/31/1995,351,141,20,27,163.0,-2.0,,-2.0,,,,,,,,,,,,,349.0,
03/31/1996,548,96,23,638,-209.0,,,-12.0,,,,,,,,,,,,,,
06/30/1996,-193,143,16,-344,-8.0,,,-16.0,,,,,,,,,,,,,,
09/30/1996,195,-543,9,708,21.0,,,-11.0,,,,,,,,,,,,,,
12/31/1996,444,205,33,48,158.0,,,-30.0,,,,,,,,,,,,,,
03/31/1997,536,204,21,523,-212.0,,,-13.0,,,,,,,,,,,,,,
06/30/1997,306,574,17,-321,36.0,,,-15.0,,,,,,,,,,,,,,
09/30/1997,447,299,21,152,-25.0,,,-34.0,,,,,,,,,,,,,,
12/31/1997,756,255,26,335,140.0,,,-47.0,,,,,,,,,,,,,,
03/31/1998,176,264,36,-124,,,,-38.0,,,,,,,,,,,,,,
06/30/1998,127,236,-15,-94,,,,-25.0,,,,,,,,,,,,,,
09/30/1998,455,214,57,-353,537.0,,0.0,-25.0,,,,,,,,,,,,,,
12/31/1998,124,301,25,-202,,,,-20.0,,,,,,,,,,,,,,
03/31/1999,-118,238,15,-371,,,,-14.0,,,,,,,,,,,,,,
06/30/1999,224,215,21,-12,,,,-32.0,,,,,,,,,,,,,,
09/30/1999,329,186,12,-177,308.0,,0.0,-33.0,,,,,,,,,,,,,,
12/31/1999,456,223,10,223,,,,-41.0,,,,,,,,,,,,,,
03/31/2000,336,238,564,-590,124.0,945.0,0.0,-52.0,-3643.0,4640.0,0.0,-1247.0,-53.0,0.0,0.0,0.0,16.0,-100.0,-1107.0,-3.0,34.0,
06/30/2000,600,213,547,-524,364.0,-1776.0,0.0,-43.0,-3628.0,3003.0,-1108.0,1172.0,-52.0,400.0,516.0,0.0,418.0,0.0,-108.0,-2.0,-4.0,
09/30/2000,712,250,588,-432,306.0,-852.0,0.0,-43.0,-3911.0,3387.0,-285.0,163.0,-51.0,0.0,0.0,0.0,56.0,0.0,165.0,-7.0,23.0,
12/31/2000,743,273,2230,-3329,1569.0,,0.0,-18.0,,,,,,,,,,,,,,
03/31/2001,306,240,15,51,373.0,-1899.0,0.0,-31.0,-5439.0,3546.0,25.0,1643.0,-57.0,0.0,600.0,0.0,631.0,0.0,469.0,0.0,50.0,
06/30/2001,376,226,1063,-1490,204.0,-989.0,0.0,-42.0,-3411.0,3580.0,-1116.0,660.0,-59.0,0.0,0.0,0.0,35.0,0.0,688.0,-4.0,47.0,
09/30/2001,377,-103,590,-608,498.0,-1193.0,0.0,-68.0,-3662.0,2536.0,1.0,817.0,-60.0,0.0,0.0,0.0,10.0,-7.0,870.0,4.0,1.0,
12/31/2001,1244,144,618,-664,1146.0,-1455.0,0.0,-68.0,-4359.0,2948.0,24.0,239.0,-59.0,264.0,484.0,-700.0,416.0,0.0,-160.0,-6.0,28.0,
03/31/2002,387,292,568,-715,242.0,-775.0,0.0,-31.0,-3760.0,3016.0,0.0,386.0,-64.0,16.0,0.0,0.0,45.0,0.0,389.0,0.0,-2.0,
