Date,Level 1 Assets,Level 2 Assets,Total FV Assets,Level 2 Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/31/2008,,36.0,36.0,,,0.764656,0.764656,,0.139281,0.139281,
09/30/2013,,,,17400.0,,,,,,,
09/30/2014,,,,16000.0,,,,,,,
12/31/2015,25800.0,,,,886.597938,,,82.011507,,,
12/31/2016,20900.0,,,,163.141051,,,45.502047,,,
06/30/2017,,,,15300.0,,,,,,,
