Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,26,108,253,31,,31,-366.0,,,-366.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,263,89,255,-13,,-13,-68.0,,,-68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,104,109,258,66,,66,-329.0,,,-329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,1135,-2022,226,2197,,2197,734.0,,,734.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1135.0,,,
03/31/1991,-39,141,217,-173,,-173,-224.0,,,-224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,156,152,223,-71,,-71,-148.0,,,-148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,143,233,175,-450,,-450,185.0,,,185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,467,6,234,367,,367,-140.0,,,-140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.0,,,
03/31/1992,-264,-137,212,-80,,-80,-259.0,,,-259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,89,57,216,-181,,-181,-3.0,,,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,72,190,221,-173,,-173,-166.0,,,-166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,653,-588,223,672,,672,346.0,,,346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.0,,,
03/31/1993,141,80,221,-200,,-200,40.0,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,100,75,222,-119,,-119,-78.0,,,-78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,47,-110,228,11,,11,-82.0,,,-82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,320,57,221,-145,,-145,187.0,,,187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.0,,,
03/31/1994,-39,-40,207,-66,,-66,-140.0,,,-140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,133,-19,224,-31,,-31,-41.0,,,-41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,228,23,229,-17,,-17,-7.0,,,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,438,0,222,141,,141,75.0,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438.0,,,
03/31/1995,285,178,238,57,,57,-188.0,,,-188.0,,,-160.0,,,,-160.0,,,,,,,,,,160.0,,,,,,,,,,,,,,,
06/30/1995,410,187,235,72,,72,-84.0,,,-84.0,,,-220.0,,,,-220.0,,,,,,,,,,220.0,,,,,,,,,,,,,,,
09/30/1995,209,139,235,-80,,-80,-85.0,,,-85.0,,,-226.0,,,,-226.0,,,,,,,,,,226.0,,,,,,,,,,,,,,,
12/31/1995,597,7,214,165,,165,211.0,,,211.0,,-373.0,-373.0,,,,-373.0,,,,,,,,,,0.0,,,,,,,,,,,,224.0,,,
03/31/1996,292,134,224,71,,71,-137.0,,,-137.0,,,-233.0,,,,-233.0,,,,,,,,,,233.0,,,,,,,,,,,,,,,
06/30/1996,454,181,227,-34,,-34,80.0,,,80.0,,,-275.0,,,,-275.0,,,,,,,,,,275.0,,,,,,,,,,,,,,,
09/30/1996,504,194,236,127,,127,-53.0,,,-53.0,,-272.0,-272.0,,,,-272.0,,,,,,,,,,0.0,,,,,,,,,,,,232.0,,,
12/31/1996,737,159,74,257,,257,247.0,,,247.0,,,-258.0,,,,-258.0,,,,,,,,,,258.0,,,,,,,,,,,,,,,
03/31/1997,274,179,204,117,,117,-226.0,,,-226.0,,-262.0,-262.0,0.0,,,-262.0,,,0.0,0.0,0.0,,,,,0.0,33.0,-105.0,161.0,,,,7.0,7.0,0.0,-30.0,,45.0,,,
06/30/1997,294,158,207,-4,,-4,-67.0,,,-67.0,,-335.0,-393.0,0.0,,,-393.0,,,0.0,0.0,0.0,,,,,58.0,53.0,-106.0,115.0,,,,6.0,6.0,0.0,38.0,,12.0,,,
09/30/1997,295,157,187,-24,,-24,-25.0,,,-25.0,,-345.0,-353.0,0.0,,,-353.0,,,0.0,0.0,0.0,,,,,8.0,-101.0,-105.0,-8.0,,,,3.0,3.0,0.0,9.0,,-151.0,,,
12/31/1997,534,-884,224,1149,,1149,45.0,,,45.0,,-563.0,-516.0,25.0,,,-541.0,,,0.0,0.0,0.0,,,,,-47.0,-22.0,-106.0,149.0,,,,-114.0,5.0,-119.0,49.0,,-51.0,,,
03/31/1998,-192,177,230,-452,,-452,-147.0,,,-147.0,,-1638.0,-280.0,0.0,,,-280.0,,,0.0,0.0,0.0,,,,,-1358.0,1972.0,-105.0,2395.0,,,,-319.0,5.0,-324.0,1.0,,142.0,,,
06/30/1998,-68,186,221,-91,,-91,-384.0,,,-384.0,,778.0,-306.0,0.0,,,-306.0,,,0.0,0.0,0.0,,,,,1084.0,-831.0,-97.0,-324.0,,,,-413.0,7.0,-420.0,3.0,,-121.0,,,
