Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,155.345001,,-58.247002,,97.098,,-73.870003,,,,,,23.228001,-72.036999,,50.926998,,,,,21.110001,-48.808998,3.199,-45.610001,0.0,,,-45.609998,-0.331,-45.941002,0.0,,-45.941002,-45.941002,,1015.280983,-0.045556,-0.045556,,1015.280983,-0.045556,-0.045556,-0.045556,
06/30/1990,163.654999,,-58.451,,105.203999,,-75.587997,,,,,,29.615999,-71.002001,,49.443001,,,,,21.559,-41.386002,0.254,-41.132,0.0,,,-41.132002,-0.664,-41.796001,0.0,,-41.796001,-41.796001,,1015.848015,-0.041111,-0.041111,,1015.848015,-0.041111,-0.041111,-0.041111,
09/30/1990,165.820007,,-61.373001,,104.447006,,-75.279999,,,,,,29.167,-75.561998,,51.466999,,,,,24.094999,-46.394999,1.708,-44.687,0.0,,,-44.686999,-0.451,-45.138,0.0,,-45.138,-45.138,,1016.190033,-0.044444,-0.044444,,1016.190033,-0.044444,-0.044444,-0.044444,
12/31/1990,172.218994,,-65.863998,,106.354996,,-78.417,,,,,,27.938,-72.283998,,50.779999,,,,,21.504,-44.345999,-0.51,-44.855999,0.0,,,-44.855999,-0.675,-45.530998,0.0,,-45.530998,-45.530998,,1017.808182,-0.044444,-0.044444,,1017.808182,-0.044444,-0.044444,-0.044444,
03/31/1991,174.714996,,-64.107002,,110.607994,,-79.374001,,,,,,31.233999,-71.702,,51.381001,,,,,20.320999,-40.468,-1.05,-41.518002,0.0,,,-41.518,-0.807,-42.325001,0.0,,-42.325001,-42.325001,,1026.603012,-0.041111,-0.041111,,1026.603012,-0.041111,-0.041111,-0.041111,
06/30/1991,183.451004,,-66.124001,,117.327003,,-77.564003,,,,,,39.763,-67.144,,52.056,,,,,15.088,-27.381,-5.15,-32.530998,0.0,,,-32.531,-0.579,-33.110001,0.0,,-33.110001,-33.110001,,1047.564034,-0.031111,-0.031111,,1047.564034,-0.031111,-0.031111,-0.031111,
09/30/1991,178.893005,,-63.375999,,115.517006,,-79.311996,,,,,,36.205002,-73.809,,50.952,,,,,22.857,-37.603998,-2.15,-39.754002,0.0,,,-39.753998,-0.506,-40.259998,0.0,,-40.259998,-40.259998,,1056.419975,-0.037778,-0.037778,,1056.419975,-0.037778,-0.037778,-0.037778,
12/31/1991,183.940994,,-58.518002,,125.422993,,-87.674004,,,,,,37.749001,-72.17,,50.598,,,,,21.572001,-34.421,-4.448,-38.868999,0.0,,,-38.868999,-1.008,-39.876999,0.0,,-39.876999,-39.876999,,1158.67804,-0.035556,-0.035556,,1158.67804,-0.035556,-0.035556,-0.035556,
03/31/1992,196.520996,,-65.593002,,130.927994,,-88.944,,,,,,41.984001,-73.103001,,55.027,,,,,18.076,-31.118999,-4.927,-36.046001,0.0,,,-36.046,-0.624,-36.669998,0.0,,-36.669998,-36.669998,,1195.271988,-0.031111,-0.031111,,1195.271988,-0.031111,-0.031111,-0.031111,
06/30/1992,221.337006,,-66.987,,154.350006,,-107.792999,,,,,,46.556999,-80.558001,,64.334,,,,,16.224001,-34.001001,-6.049,-40.049999,0.0,,,-40.050001,-0.249,-40.299,0.0,,-40.299,-40.299,,1214.738937,-0.033333,-0.033333,,1214.738937,-0.033333,-0.033333,-0.033333,
09/30/1992,221.248001,,-66.750999,,154.497002,,-110.625999,,,,,,43.870998,-93.496002,,74.467003,,,,,19.028999,-49.625004,-2.26,-51.884998,0.0,,,-51.885004,-0.453,-52.338001,0.0,,-52.338001,-52.338001,,1215.585022,-0.043333,-0.043333,,1215.585022,-0.043333,-0.043333,-0.043333,
12/31/1992,261.239014,,-76.179001,,185.060013,,-152.365997,,,,,,32.694,-120.128002,,74.067001,,,,,46.061001,-87.434002,-0.764,-88.197998,52.297001,,,-140.495003,-0.43,-140.925003,0.0,,-140.925003,-140.925003,,1218.726013,-0.115556,-0.072222,,1218.726013,-0.115556,-0.072222,-0.072222,
03/31/1993,325.225006,,-96.884003,,228.341003,,-169.684006,,,,,,58.657001,-86.080997,,86.283997,,,,,-0.203,-27.423995,4.359,-23.065001,742.734009,,,-765.799004,-0.791,-766.590027,0.0,,-766.590027,-766.590027,,1230.884995,-0.622222,-0.018889,,1230.884995,-0.622222,-0.018889,-0.018889,
06/30/1993,340.083008,,-103.704002,,236.379005,,-165.272995,,,,,,71.106003,-88.801998,,89.100998,,,,,-0.299,-17.695995,0.519,-17.177,0.0,,,-17.176995,0.048,-17.129,0.0,,-17.129,-17.129,,1294.442963,-0.013333,-0.013333,,1294.442963,-0.013333,-0.013333,-0.013333,
09/30/1993,335.404999,,-101.920998,,233.484001,,-163.656006,,,,,,69.828003,-84.886999,,86.625999,,,,,-1.739,-15.058997,-20.77,-35.828999,0.0,,,-35.828997,0.174,-35.654999,0.0,,-35.654999,-35.654999,,1298.394058,-0.027778,-0.027778,,1298.394058,-0.027778,-0.027778,-0.027778,
12/31/1993,337.515015,,-105.336998,,232.178017,,-166.873001,,,,,,65.305,-87.300996,,85.436996,,,,,1.864,-21.995996,0.663,-21.333,17.620001,,,-38.952997,-0.898,-39.851002,0.0,,-39.851002,-39.851002,,1283.400054,-0.03,-0.016667,-0.016667,1283.400054,-0.03,-0.016667,-0.016667,
03/31/1994,328.703003,,-100.899002,,227.804001,,-163.529007,,,,,,64.275002,-80.718001,,79.387001,,,,,1.331,-16.442999,0.666,-15.777,11.58,,,-27.356999,0.0,-27.357,0.0,,-27.357,-27.357,,1370.801971,-0.02,-0.011667,,1370.801971,-0.02,-0.011667,-0.011667,
06/30/1994,340.640015,,-100.572998,,240.067017,,-174.763,,,,,,65.304001,-77.028998,,73.364998,,,,,3.664,-11.724997,-1.031,-12.756,0.0,,,-12.755997,0.0,-12.756,0.0,,-12.756,-12.756,,1432.973969,-0.008333,-0.008333,,1432.973969,-0.008333,-0.008333,-0.008333,
09/30/1994,345.743988,,-103.224998,,242.51899,,-179.209,,,,,,63.310001,-81.622998,,75.711998,,,,,5.911,-18.312996,0.986,-17.327,0.0,,,-17.326996,0.081,-17.246,0.0,,-17.246,-17.246,,1433.124023,-0.011667,-0.011667,,1433.124023,-0.011667,-0.011667,-0.011667,
12/31/1994,360.21701,,-105.143997,,255.073013,,-208.167999,,,,,,46.904999,-90.385,,85.013,,,,,5.372,-43.480001,8.613,-34.867001,0.123,,,-34.990001,5.321,-29.669001,0.0,,-29.669001,-29.669001,,1433.38797,-0.021667,-0.021667,-0.021667,1433.38797,-0.021667,-0.021667,-0.021667,
03/31/1995,663.606018,,-309.540985,,354.065033,,-380.346008,,,,,,-26.281,21.230003,,117.586998,,,,,-138.817001,-5.050997,-3.935,-8.986,0.0,,,-8.985997,8.358,-0.628,0.0,,-0.628,-0.628,,1436.448029,0.0,0.0,0.0,1436.448029,0.0,0.0,0.0,
06/30/1995,823.572021,,-408.062012,,415.51001,,-298.252014,,,,,,117.258003,-141.853004,,132.964005,,,,,8.889,-24.595001,-10.1,-34.695,0.0,,,-34.695002,5.401,-29.294001,0.0,,-29.294001,-29.294001,,1438.043976,-0.02,-0.02,-0.02,1438.043976,-0.02,-0.02,-0.02,
09/30/1995,870.249023,,-443.554993,,426.694031,,-310.182007,,,,,,116.512001,-112.040995,,137.815994,,,,,-25.775,4.471006,-18.434999,-13.964,5.407,,,-19.370993,12.011,-7.36,0.0,,-7.36,-7.36,,1438.914001,-0.005,-0.001667,-0.001667,1438.914001,-0.005,-0.001667,-0.001667,
12/31/1995,1005.518982,,-752.642029,,252.876953,,-130.574997,,,,,,122.302002,-142.537001,,136.360001,,,,,6.177,-20.234999,-9.701,-29.936001,0.677,,,-30.612999,23.962,-6.651,0.0,,-6.651,-6.651,,1439.69403,-0.005,-0.005,-0.005,1439.69403,-0.005,-0.005,-0.005,
03/31/1996,950.744019,,-499.908997,,450.835022,,-337.584991,,,,,,113.25,-162.059996,,134.813995,,,,,27.246,-48.809996,-0.864,-49.674,0.0,,,-49.673996,15.07,-34.604,0.0,,-34.604,-34.604,,1483.026031,-0.023333,-0.023333,-0.023333,1436.526031,-0.023333,-0.023333,-0.023333,
06/30/1996,945.562012,,-465.944,,479.618011,,-350.942993,,,,,,128.675003,-101.091,,133.179001,,,,,-32.088001,27.584003,-23.747999,3.836,1.013,,,2.823004,14.024,16.847,0.0,,16.847,16.847,,1444.026031,0.011667,0.011667,0.011667,1414.961975,0.011667,0.011667,0.011667,
09/30/1996,974.562988,,-488.428009,,486.134979,,-357.042999,,,,,,129.091995,-148.111005,,135.742004,,,,,12.369,-19.01901,-9.282,-28.301001,0.0,,,-28.301009,18.329,-9.972,0.0,,-9.972,-9.972,,1495.800018,-0.006667,-0.006667,-0.006667,1399.907959,-0.006667,-0.006667,-0.006667,
12/31/1996,1167.531006,,-605.31897,,562.212036,,-424.32901,,,,,,137.882996,-113.738003,,137.065002,,,,,-23.327,24.144993,-50.506001,-26.361,-0.013,,,-26.348008,0.577,-25.771,0.0,,-25.771,-25.771,,1546.259949,-0.016667,-0.016667,-0.016667,1690.799927,-0.016667,-0.016667,-0.016667,
03/31/1997,1026.900024,,,,,,,,,,,,111.5,,,,,,,,,,,-53.099998,,,,,,-65.18,-3.7,,-68.88,-68.88,,1955.399963,-0.033333,-0.026667,-0.026667,1955.399963,-0.033333,-0.026667,-0.026667,
06/30/1997,1068.300049,,,,,,,,,,,,92.199997,,,,,,,,,,,-11.8,,,,,,-38.976002,-4.7,,-43.676002,-43.676002,,1948.799927,-0.02,-0.006667,-0.006667,1948.799927,-0.02,-0.006667,-0.006667,
09/30/1997,1089.0,,,,,,,,,,,,99.5,,,,,,,,,,,-49.299999,,,,,,-66.291,-5.7,,-71.991,-71.991,,2093.399963,-0.031667,-0.028333,-0.028333,2093.399963,-0.031667,-0.028333,-0.028333,
12/31/1997,1283.5,,-400.200012,,883.299988,,-719.900024,,,,,,163.399994,-226.5,,114.800003,,,,,111.699997,-63.100006,-15.0,-78.099998,12.7,,,-90.800006,9.4,-81.400002,-7.0,,-88.400002,-88.400002,,2139.0,-0.041667,-0.035,-0.035,2139.0,-0.041667,-0.035,-0.035,
03/31/1998,1254.4,,-719.6,,534.8,0.0,-425.4,186.1,,,,239.3,109.4,-189.2,,120.4,,,0.0,69.9,-1.1,-79.8,-6.4,-86.2,4.1,,,-90.3,17.2,-78.9,-7.1,0.0,-86.0,-86.0,,4297.2,-0.02,-0.018333,-0.018333,4297.2,-0.02,-0.018333,-0.018333,
06/30/1998,1205.699951,,-673.799988,,531.899963,,-407.899994,,,,,,124.0,-223.0,,116.800003,,,0.0,,106.199997,-99.0,-3.0,-102.0,4.800001,,,-106.800001,22.0,-84.800003,-7.2,,-92.000003,-92.000003,,2214.0,-0.043333,-0.04,-0.04,2214.0,-0.043333,-0.04,-0.04,
09/30/1998,1238.300049,,-652.599976,,585.700073,,-452.600006,,,,,,133.100006,898.800003,,117.699997,,,0.0,,-1016.5,1031.900009,-313.100006,718.799988,9.7,,,709.100003,5.2,714.299988,-7.4,,706.899988,706.899988,,2215.799927,0.321667,0.326667,0.326667,2425.799927,0.296667,0.3,0.3,
12/31/1998,1446.9,,-464.4,,982.5,0.0,-791.8,561.2,,,,230.6,190.7,513.7,,111.8,,,0.0,170.5,-796.0,704.4,-271.5,432.9,11.2,,,421.7,-0.1,421.6,-7.4,0.0,414.2,414.2,,2218.2,0.186667,0.191667,0.191667,2433.0,0.173333,0.178333,0.178333,
03/31/1999,1374.0,,-764.1,,609.9,0.0,-423.3,184.8,,,,238.5,186.6,17.9,,111.2,,,0.0,-1.1,-128.0,204.5,-87.4,117.1,8.9,,,108.2,-15.3,81.0,-7.5,0.0,73.5,73.5,,4448.4,0.016667,0.021667,0.021667,4889.4,0.016667,0.02,0.02,
06/30/1999,1549.199951,,-865.299988,,683.899963,,-534.099976,,,,,,149.800003,1284.699951,,143.5,,,0.0,,-1428.199951,1434.499954,-636.299988,798.200012,2.3,,,795.899966,28.1,824.0,-7.6,,816.4,816.4,,2233.200073,0.366667,0.0,0.366667,2445.899963,0.336667,0.0,0.336667,
09/30/1999,1599.300049,,-898.099976,,701.200073,,-550.0,,,,,,151.199997,-31.800003,,138.100006,,,0.0,,-106.300003,119.399994,-104.199997,15.2,-314.5,,,329.699997,5.4,335.100006,-7.3,,327.800006,327.800006,,2265.600037,0.146667,0.006667,0.006667,2471.700073,0.136667,0.01,0.01,
12/31/1999,1831.6,,-559.0,,1272.6,0.0,-1096.0,738.9,,,,357.1,176.6,-434.8,,145.5,,,,-0.5,289.8,-258.2,104.2,-154.0,6.6,,,-160.6,-13.6,-174.2,-7.4,0.0,-181.6,-181.6,,2266.5,-0.08,-0.076667,-0.076667,2266.5,-0.08,-0.076667,-0.076667,
03/31/2000,1938.900024,,-527.099976,,1411.800049,,-1370.599976,,,,,,41.200001,-225.200005,,168.600006,,,0.0,,56.599998,-184.000004,31.799999,-152.199997,5.1,,,-157.300004,-34.200001,-191.5,-7.5,0.0,-199.0,-199.0,,2509.799927,-0.08,-0.076667,-0.056667,2509.799927,-0.08,-0.076667,-0.056667,
