Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1992,11.345,,-7.07,,4.275,,-2.831,,,,,1.444,-0.034,,0.029,,,0.005,1.41,,1.41,0.0,,,,0.0,1.41,0.0,,1.41,1.41,,,,,,,,,,
06/30/1992,13.379,,-8.251,,5.127999,,-3.44,,,,,1.688,-0.056,,0.098,,,-0.042,1.632,,1.632,0.0,,,,0.0,1.632,0.0,,1.632,1.632,,,,,,,,,,
09/30/1992,20.421,,-12.143,,8.278,,-4.535,,,,,3.743,-0.24,,0.215,,,0.025,3.503,,3.503,0.0,,,,0.0,3.503,0.0,,3.503,3.503,,,,,,,,,,
12/31/1992,28.686001,,-17.336,,11.35,,-7.058,,,,,4.292,-0.139,,0.222,,,-0.083,4.153,,4.153,0.0,,,,0.0,4.153,0.0,,4.153,4.153,,,,,,,,,,
03/31/1993,15.652,,-9.793,,5.859,,-4.121,,,,,1.738,-0.082,,0.069,,,0.013,1.656,,1.656,0.0,,,,0.0,1.656,0.0,,1.656,1.656,,,,,,,,,,
06/30/1993,19.83,,-11.046,,8.784,,-6.844,,,,,1.94,0.04,,0.069,,,-0.109,1.98,,1.98,0.0,,,,0.0,1.98,0.0,,1.98,1.98,,,,,,,,,,
09/30/1993,28.756001,,-15.74,,13.016001,,-7.303,,,,,5.713,-0.005,,0.053,,,-0.048,5.708,,5.708,0.0,,,,0.0,5.708,0.0,,5.708,5.708,,,,,,,,,,
12/31/1993,40.849998,,-23.166,,17.683998,,-10.5,,,,,7.184,0.19,,0.045,,,-0.235,7.374,-5.233,2.141,0.0,,,2.141,0.0,2.141,0.0,,2.141,2.141,,67.052813,0.06321,0.06321,,67.052813,0.06321,0.06321,0.06321,
03/31/1994,25.429001,,-14.614,,10.815001,,-7.365,,,,,3.45,-0.036,,0.026,,,0.01,3.414,-1.275,2.139,0.0,,,2.139,0.0,2.139,0.0,,2.139,2.139,,67.08319,0.031605,0.031605,,67.08319,0.031605,0.031605,0.031605,
06/30/1994,34.337883,,-19.747,,14.590883,,-10.619,,,,,3.972,0.091,,0.047,,,-0.138,4.063,-1.565,2.498,0.0,,,2.498,0.0,2.497591,0.0,,2.497591,2.497591,,67.269994,0.037531,0.037531,,67.269994,0.037531,0.037531,0.037531,
09/30/1994,44.528053,,-24.586,,19.942053,,-12.073,,,,,7.869,-0.434,,0.164,,,0.27,7.435,-2.86,4.575,0.0,,,4.575,0.0,4.574703,0.0,,4.574703,4.574703,,67.464595,0.06716,0.06716,,67.464595,0.06716,0.06716,0.06716,
12/31/1994,57.588062,,-31.056999,,26.531063,,-15.606,,,,,10.925,-0.914,,0.348,,,0.566,10.011,-3.878,6.133,0.0,,,6.133,0.0,6.133706,0.0,,6.133706,6.133706,,67.589437,0.090864,0.090864,,67.589437,0.090864,0.090864,0.090864,
03/31/1995,35.497002,,-18.822001,,16.675001,,-12.32,,,,,4.355,-0.427,,0.242,,,0.185,3.928,-1.512,2.416,0.0,,,2.416,0.0,2.416,0.0,,2.416,2.416,,67.392001,0.035556,0.035556,0.035556,67.392001,0.035556,0.035556,0.035556,
06/30/1995,43.34,,-23.368999,,19.971001,,-14.809,,,,,5.163,-0.247,,0.26,,,-0.013,4.916,-1.91,3.006,0.0,,,3.006,0.0,3.006,0.0,,3.006,3.006,,67.483125,0.045432,0.045432,0.045432,67.483125,0.045432,0.045432,0.045432,
09/30/1995,43.544998,,-24.148001,,19.396997,,-14.86,,,,,4.537,0.122,,0.262,,,-0.384,4.659,-1.85,2.809,0.0,,,2.809,0.0,2.809,0.0,,2.809,2.809,,67.503373,0.041481,0.041481,0.041481,67.503373,0.041481,0.041481,0.041481,
12/31/1995,58.731998,,-31.875999,,26.855999,,-20.447001,,,,,6.408,0.916,,0.353,,,-1.269,7.324,-2.813,4.511,0.0,,,4.511,-0.685,3.826,0.0,,3.826,3.826,,66.80475,0.057284,0.057284,,66.80475,0.057284,0.057284,0.057284,
03/31/1996,42.909,,-23.872999,,19.036001,,-14.787,,,,,4.249,-0.347,,0.176,,,0.171,3.902,-1.562,2.34,0.0,,,2.34,0.0,2.34,0.0,,2.34,2.34,,67.068001,0.035556,0.035556,0.035556,67.068001,0.035556,0.035556,0.035556,
06/30/1996,45.237999,,-22.775999,,22.462,,-17.861,,,,,4.601,-0.136,,0.264,,,-0.128,4.465,-1.88,2.585,0.0,,,2.585,0.0,2.585,0.0,,2.585,2.585,,68.156439,0.037531,0.037531,0.037531,68.156439,0.037531,0.037531,0.037531,
09/30/1996,52.820999,,-27.065001,,25.755999,,-18.478001,,,,,7.278,-0.787,,0.383,,,0.404,6.491,-2.661,3.83,0.0,,,3.83,0.0,3.83,0.0,,3.83,3.83,,67.478065,0.057284,0.057284,0.057284,67.478065,0.057284,0.057284,0.057284,
12/31/1996,64.931,,-34.146999,,30.784,,-22.539,,,,,8.245,0.245,,0.382,,,-0.627,8.49,-3.346,4.836,0.0,,,5.144,0.0,4.836,0.0,,4.836,4.836,,68.212704,0.071111,0.071111,0.071111,68.212704,0.071111,0.071111,0.071111,
