Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,1463.599976,43.0,43.0,0,352.600006,,,314.700012,,,,,25.700001,,,,,736.0,514.799988,920.400024,-405.600006,36.400002,,176.399994,,,,,176.399994,727.599983,,98.099998,98.099998,,14.1,,,,,,155.800001,,,155.800001,268.0,415.399994,,,,,115.0,,,,115.0,530.399994,798.399994,0,173.399994,,,-104.699997,,596.499985,665.199982,0.0,665.199982,1463.599976,
06/30/1990,1493.300049,72.400002,72.400002,0,347.5,,,317.100006,,,,,23.4,,,,,760.400024,522.900024,942.099976,-419.200012,31.6,,178.399994,,,,,178.399994,732.900019,,97.199997,97.199997,,13.5,,,,,,167.099991,,,167.099991,277.799988,414.600006,,,,,115.0,,,,115.0,529.600006,807.399994,0,173.399994,,,-109.199997,,621.699997,685.899994,0.0,685.899994,1493.299988,
09/29/1990,1487.900024,69.900002,69.900002,0,351.799988,,,309.899994,,,,,19.5,,,,,751.099976,528.599976,964.299988,-435.700012,30.1,,178.100006,,,,,178.100006,736.799982,,92.900002,92.900002,,16.0,,,,,,147.999992,,,147.999992,256.899994,417.200012,,,,,114.099998,,,,114.099998,531.300011,788.200005,0,172.699997,,,-118.699997,,645.699997,699.699997,0.0,699.699997,1487.900002,
12/29/1990,1493.800049,94.699997,94.699997,0,330.600006,,,291.799988,,,,,27.1,,,,,744.200012,538.299988,979.400024,-441.100006,29.6,,181.699997,,,,,181.699997,749.599985,,111.800003,111.800003,,30.0,,,,,,140.599991,,,140.599991,282.399994,398.100006,,,,,116.800003,,,,116.800003,514.900009,797.300003,0,172.5,,,-139.100006,,663.100006,696.5,0.0,696.5,1493.800003,
03/30/1991,1449.199951,83.400002,83.400002,0,322.100006,,,295.100006,,,,,20.799999,,,,,721.400024,530.599976,981.200012,-450.600006,25.1,,172.100006,,,,,172.100006,727.799982,,91.800003,91.800003,,17.700001,,,,,,143.699993,,,143.699993,253.199997,404.5,,,,,115.599998,,,,115.599998,520.099998,773.299995,0,172.199997,,,-21.6,,525.300013,675.900009,0.0,675.900009,1449.200005,
06/29/1991,1625.099976,221.899994,221.899994,0,339.0,,,292.200012,,,,,24.1,,,,,877.200012,534.099976,995.400024,-461.299988,25.4,,188.399994,,,,,188.399994,747.899969,,98.599998,98.599998,,19.9,,,,,,152.000002,,,152.000002,270.5,560.700012,,,,,115.400002,,,,115.400002,676.100014,946.600014,0,211.600006,,,-21.6,,488.499994,678.5,0.0,678.5,1625.100014,
09/28/1991,1473.400024,39.0,39.0,0,368.299988,,,288.399994,,,,,22.9,,,,,718.599976,535.900024,1018.299988,-482.399994,25.299999,,193.600006,,,,,193.600006,754.80003,,95.400002,95.400002,,23.5,,,,,,150.700005,,,150.700005,269.600006,388.399994,,,,,116.0,,,,116.0,504.399994,774.0,0,210.899994,,,-22.200001,,510.700001,699.399994,0.0,699.399994,1473.399994,
12/29/1991,1547.900024,58.299999,58.299999,0,352.600006,,,299.600006,,,,,33.400002,,,,,743.900024,561.700012,1045.5,-483.799988,24.6,,217.699997,,,,,217.699997,804.00001,,128.100006,128.100006,,18.299999,,,,,,162.499989,,,162.499989,308.899994,396.700012,,,,,136.800003,,,,136.800003,533.500015,842.400009,0,205.399994,,,-23.4,,523.500006,705.5,0.0,705.5,1547.900009,
03/28/1992,1528.5,43.0,43.0,0,364.700012,,,307.899994,,,,,30.0,,,,,745.599976,562.700012,1059.400024,-496.700012,8.2,,212.0,,,,,212.0,782.900012,,105.5,105.5,,16.0,,,,,,183.899994,,,183.899994,305.399994,381.799988,,,,,142.199997,,,,142.199997,523.999985,829.399979,0,191.5,,,-9.0,,516.600006,699.100006,0.0,699.100006,1528.499985,
06/27/1992,1642.599976,51.599998,51.599998,0,390.399994,,,323.200012,,,,,30.9,,,,,796.099976,570.099976,1088.300049,-518.200012,10.2,,266.200012,,,,,266.200012,846.499988,,106.599998,106.599998,,87.300003,,,,,,196.700005,,,196.700005,390.600006,386.600006,,,,,142.800003,,,,142.800003,529.400009,920.000015,0,191.600006,,,-11.8,,542.8,722.600006,0.0,722.600006,1642.600021,
