Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2000,1381.0,6.0,6.0,0.0,132.0,,,156.0,28.0,30.0,98.0,0.0,24.0,,,,,318.0,205.0,,,0.0,,,,858.0,829.0,829.0,0.0,,29.0,1063.0,,122.0,122.0,,,,210.0,,,,,0.0,,,0.0,332.0,319.0,,,,,47.0,,,47.0,366.0,698.0,0.0,322.0,,,0.0,,361.0,683.0,0.0,683.0,1381.0,
06/30/2000,1123.0,2.0,2.0,0.0,162.0,,,95.0,22.0,22.0,51.0,0.0,36.0,,,,,295.0,178.0,,,99.0,,,,551.0,528.0,528.0,0.0,,23.0,828.0,,121.0,121.0,,,,210.0,,,,,0.0,,,0.0,331.0,321.0,,,,,60.0,,,60.0,381.0,712.0,0.0,332.0,,,0.0,,79.0,411.0,0.0,411.0,1123.0,
09/30/2000,1105.8,13.2,13.2,0.0,154.3,154.3,,78.4,23.0,20.5,34.9,0.0,31.3,,,,,277.2,177.1,,,0.0,,,,651.5,520.2,520.2,0.0,,131.3,828.6,,126.8,126.8,,,,150.6,,,,,0.0,,,0.0,277.4,348.2,,,,,55.8,,,55.8,404.0,681.4,0.0,336.1,,,0.0,87.1,1.2,424.4,0.0,424.4,1105.8,
12/31/2000,1088.0,28.0,28.0,0.0,107.0,,,73.0,19.0,19.0,35.0,0.0,74.0,,,,,282.0,183.0,327.0,-144.0,0.0,,,,623.0,511.0,703.0,-192.0,,112.0,806.0,,158.0,158.0,,,,61.0,61.0,0.0,0.0,,0.0,,,0.0,219.0,367.0,367.0,0.0,0.0,,62.0,,,62.0,429.0,648.0,0.0,336.0,,,0.0,,104.0,440.0,0.0,440.0,1088.0,
03/31/2001,1102.900024,17.9,17.9,0.0,136.199997,,,88.400002,23.9,25.200001,39.299999,0.0,63.900002,,,,,306.399994,185.399994,,,0.0,,,,611.099976,503.700012,503.700012,0.0,,107.399963,796.499969,,167.399994,167.399994,,,,61.5,61.5,0.0,0.0,,0.0,,,0.0,228.899994,352.899994,352.899994,0.0,0.0,,57.099998,,,57.099998,409.999992,638.899986,0.0,337.799988,,,0.0,,126.199997,463.999985,0.0,463.999985,1102.899971,
06/30/2001,1007.200012,61.599998,61.599998,0.0,116.400002,,,77.199997,24.1,25.1,28.0,0.0,61.0,,,,,316.200012,173.5,,,0.0,,,,517.5,408.0,408.0,0.0,,109.5,691.0,,149.899994,149.899994,,,,49.200001,,,,,1.1e-05,,,1.1e-05,199.100006,339.0,,,,,53.400002,,,53.400002,392.400002,591.500008,0.0,340.200012,,,0.0,,75.5,415.700012,0.0,415.700012,1007.20002,
09/30/2001,959.599976,23.5,23.5,0.0,119.0,,,80.699997,23.1,24.299999,33.299999,0.0,51.700001,,,,,274.899994,176.699997,,,0.0,,,,508.0,403.0,403.0,0.0,,105.0,684.699997,,157.199997,157.199997,,,,0.2,0.2,0.0,0.0,,-3e-06,,,-3e-06,157.399994,339.100006,339.100006,0.0,0.0,,50.5,,,50.5,389.600006,547.0,0.0,343.799988,,,0.0,,68.800003,412.599991,0.0,412.599991,959.599991,
12/31/2001,982.900024,47.700001,47.700001,0.0,85.300003,,,86.599998,21.799999,23.6,41.200001,0.0,72.400002,,,,,292.0,187.800003,331.899994,-144.100006,0.0,,,,503.100006,402.399994,579.0,-176.600006,,100.700012,690.900009,,53.099998,53.099998,,,,1.1,1.1,0.0,0.0,,130.400008,,,130.400008,184.600006,309.799988,309.799988,0.0,0.0,,29.799999,,,29.799999,339.599987,524.199993,0.0,346.5,,,-0.7,,112.899997,458.699997,0.0,458.699997,982.89999,
03/31/2002,965.400024,28.0,28.0,0.0,109.300003,,,86.099998,22.299999,24.9,38.900002,0.0,63.599998,,,,,287.0,177.399994,,,0.0,,,,501.0,401.399994,333.799988,67.600006,,99.600006,678.399994,,166.300003,166.300003,,,,1.5,1.5,0.0,0.0,,0.0,,,0.0,167.800003,290.799988,290.799988,0.0,0.0,,20.5,,,20.5,311.299988,479.099991,0.0,350.100006,,,-2.5,,138.699997,486.300003,0.0,486.300003,965.399994,
06/30/2002,983.299988,35.5,35.5,0.0,114.400002,,,89.400002,23.4,21.9,44.099998,0.0,72.400002,,,,,311.700012,178.0,,,0.0,,,,493.600006,397.0,333.799988,63.200012,,96.600006,671.600006,,185.5,185.5,,,,0.6,0.6,0.0,0.0,,6e-06,,,6e-06,186.100006,296.899994,296.899994,0.0,0.0,,20.700001,,,20.700001,317.599995,503.700001,0.0,354.700012,,,-21.0,,145.900002,479.600014,0.0,479.600014,983.300014,
