Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Research & Development,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1998,186.563995,,,,,,,-172.470993,,,14.093,-9.809,,10.605,,0.0,-0.796,4.284001,-1.67099,2.613,0.0,,,2.613011,0.0,2.613,0.0,,2.613,2.613,,40.304001,0.065,0.065,0.065,41.608002,0.065,0.065,0.065,
06/30/1998,230.424,,-210.966,,,19.458,0.0,,,,19.458,-10.261,10.261,11.041,-0.78,0.0,0.0,9.197,-3.587,5.61,0.0,,,5.61,0.0,5.61,0.0,0.0,5.61,5.61,,47.436,0.12,0.12,0.12,49.706002,0.115,0.115,0.115,
09/30/1998,291.312012,,,,,,,-261.243988,,,30.068001,-12.873,,13.584,,0.0,-0.711,17.195001,-6.728,10.467,0.0,,,10.467001,0.0,10.467,0.0,,10.467,10.467,,54.728001,0.19,0.19,0.19,57.326,0.185,0.185,0.185,
12/31/1998,328.744995,,,,,,,-292.015015,,,36.73,-13.956,,14.328,,0.0,-0.372,22.773999,-8.913,13.861,0.0,,,13.860999,0.0,13.861,0.0,,13.861,13.861,,54.754002,0.255,0.255,0.255,57.529999,0.24,0.24,0.24,
03/31/1999,275.562012,,,,,,,-249.395004,,,26.167,-14.461,15.475,15.475,,0.0,-1.014,11.705999,-4.507,7.199,0.0,,,7.199,0.0,7.199,0.0,,7.199,7.199,,60.981998,0.12,0.12,0.12,63.768002,0.115,0.115,0.115,
06/30/1999,314.432007,,,,,,,-283.28299,,,31.149,-13.124,,14.939,,0.0,-1.815,18.025,-6.939,11.086,0.0,,,11.086,0.0,11.086,0.0,,11.086,11.086,,64.975998,0.17,0.17,0.17,67.896004,0.165,0.165,0.165,
09/30/1999,382.355988,,,,,,,-339.515991,,,42.84,-14.63,,15.266,,0.0,-0.636,28.21,-10.861,17.349001,0.0,,,17.349,0.0,17.349001,0.0,,17.349001,17.349001,,65.300003,0.265,0.265,0.265,68.444,0.255,0.255,0.255,
12/31/1999,433.112,,,,,,,-382.782013,,,50.330002,-12.841,,14.91,,0.0,-2.069,37.489002,-14.434,23.055,0.0,,,23.055002,0.0,23.055,0.0,,23.055,23.055,,65.536003,0.35,0.35,0.35,68.232002,0.34,0.34,0.34,
03/31/2000,377.052002,,,,,,,-342.382996,,,34.668999,-16.752999,17.587999,17.587999,,0.0,-0.835,17.915999,-6.987,10.929,0.0,,,10.928999,0.0,10.929,0.0,0.0,10.929,10.929,,66.084,0.165,0.165,0.16,68.956001,0.16,0.16,0.155,
06/30/2000,460.976,,,,,,,-411.323,,,49.653,-22.981,24.703,24.703,,0.0,-1.722,26.672,-10.213,16.459,0.0,,,16.459,0.0,16.459,0.0,0.0,16.459,16.459,,66.542,0.245,0.245,0.235,69.71,0.235,0.235,0.225,
09/30/2000,514.415,,-451.6,,,62.815,0.0,,,,62.815,-23.927,23.927,24.831,-0.904,,0.0,38.888,-14.778,24.11,,,,24.11,,24.11,0.0,0.0,24.11,24.11,,67.084,0.36,0.36,0.36,70.332,0.345,0.345,0.345,
12/31/2000,557.618,,,,,,,-482.037,,,75.581,-24.978,25.91,25.91,,0.0,-0.932,50.603,-19.374,31.229,0.0,,,31.229,0.0,31.229,0.0,0.0,31.229,31.229,,67.4,0.465,0.465,0.465,70.4,0.445,0.445,0.445,
03/31/2001,461.901001,,-385.462006,,,76.438995,,-29.57,,,46.868999,-23.923001,24.405001,24.405001,,0.0,-0.482,22.945999,-8.788,14.158,0.0,,,14.157999,0.0,14.158,0.0,0.0,14.158,14.158,,68.164001,0.21,0.21,0.21,71.505997,0.2,0.2,0.2,
06/30/2001,561.559998,,-468.110992,,,93.449005,,-32.981998,,,60.466999,-21.059,,22.031,,0.0,-0.972,39.407999,-14.487,24.921,0.0,,,24.920998,-1.585,23.336,0.0,0.0,23.336,23.336,,74.769997,0.31,0.31,0.305,78.026001,0.3,0.3,0.295,
09/30/2001,618.164001,,-511.648987,,,106.515015,,-31.306999,,,75.208,-18.649001,18.450001,18.450001,,0.0,0.199,56.558999,-20.754,35.805,0.0,,,35.805,-2.37,33.435001,0.0,0.0,33.435001,33.435001,,78.07,0.43,0.43,0.43,88.444,0.41,0.41,0.41,
12/31/2001,705.797,,,,,,,-613.011,,,92.786,-21.02,21.504,21.504,,0.0,-0.484,71.766,-26.735,45.031,0.0,,,45.031,-0.502,44.529,0.0,0.0,44.529,44.529,,78.4,0.57,0.57,0.57,89.0,0.53,0.53,0.53,
03/31/2002,696.84,,-590.115,,,106.725,,-35.418,,,71.307,-25.066,25.066,26.093,-1.027,0.0,0.0,46.241,-15.974,30.267,24.37,,,5.897,-0.988,4.909,0.0,0.0,4.909,4.909,,157.8,0.03,0.03,0.03,164.708,0.03,0.03,0.03,
06/30/2002,955.189,,-821.176,,,134.013,0.0,-36.325,28.639,7.686,97.688,-47.96,,31.57,,0.0,16.39,49.728,-16.312,33.416,9.858,,,23.558,-1.776,31.64,0.0,0.0,31.64,31.64,,79.968,0.4,0.52,0.54,90.719,0.38,0.49,0.51,
09/30/2002,1053.613037,,-889.969971,,,163.643066,,-36.256001,,,127.387001,-29.617001,,31.252001,,0.0,-1.635,97.77,-33.696999,64.072998,0.0,,,64.073002,-2.313,61.759998,0.0,0.0,61.759998,61.759998,,94.174004,0.66,0.66,0.66,104.473,0.62,0.62,0.62,
12/31/2002,1305.587,,-1105.524,,,200.063,,-42.466,,,157.597,-31.115,33.577,33.577,,0.0,-2.462,126.482,-45.573,80.909,0.0,,,80.909,-1.121,79.788,0.0,0.0,79.788,79.788,,94.5,0.84,0.84,0.84,104.6,0.79,0.79,0.79,
