Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
05/03/2008,16.012,26.655,,42.667,1.610501,2.680983,,4.291483,0.65505,1.090455,,1.745505,
08/02/2008,20.534,24.563,1.9,46.997,2.04091,2.441359,0.188844,4.671113,0.828513,0.991076,0.076662,1.896251,
11/01/2008,18.013,22.792,1.1,41.905,1.82708,2.31182,0.111574,4.250474,0.725559,0.918055,0.044308,1.687922,
01/31/2009,16.386,21.326,1.1,38.812,1.644571,2.140372,0.110401,3.895344,0.695645,0.905366,0.046699,1.64771,
05/02/2009,15.256,18.138,1.05,34.444,1.472931,1.751181,0.101375,3.325487,0.600129,0.713499,0.041304,1.354932,
08/01/2009,5.934,15.903,1.05,22.887,0.554879,1.487065,0.098184,2.140128,0.228174,0.611501,0.040375,0.88005,
10/31/2009,5.134,13.769,1.05,19.953,0.463695,1.243595,0.094834,1.802125,0.187272,0.502249,0.038301,0.727821,
01/30/2010,5.09,12.62,0.892,18.602,0.439819,1.090476,0.077076,1.607372,0.183845,0.455821,0.032218,0.671884,
05/01/2010,5.096,11.802,0.9,17.798,0.414527,0.960017,0.073209,1.447753,0.176784,0.409421,0.031222,0.617427,
07/31/2010,10.744,10.282,,21.026,0.854836,0.818078,,1.672914,0.376868,0.360663,,0.737531,
10/30/2010,8.718,10.078,,18.796,0.678438,0.784273,,1.462711,0.29427,0.340175,,0.634445,
01/29/2011,8.031,9.255,,17.286,0.602615,0.694459,,1.297074,0.257717,0.296996,,0.554713,
04/30/2011,6.669,8.797,,15.466,0.474289,0.625629,,1.099917,0.214991,0.283592,,0.498583,
07/30/2011,10.744,10.282,,21.026,0.753474,0.721074,,1.474547,0.351654,0.336533,,0.688187,
10/29/2011,8.031,9.255,,17.286,0.554914,0.639488,,1.194402,0.252393,0.29086,,0.543253,
01/28/2012,4.2,7.711,,11.911,0.281311,0.516473,,0.797783,0.127226,0.233581,,0.360807,
04/28/2012,4.184,7.516,,11.7,0.259773,0.466648,,0.726422,0.121013,0.217383,,0.338396,
07/28/2012,4.227,7.421,,11.648,0.254003,0.445933,,0.699936,0.118731,0.208446,,0.327176,
10/27/2012,4.186,7.34,,11.526,0.246564,0.432341,,0.678905,0.11475,0.20121,,0.315959,
02/02/2013,4.145,6.855,,11.0,0.234597,0.387976,,0.622572,0.112926,0.186756,,0.299682,
05/04/2013,4.17,6.47,,10.64,0.222369,0.345019,,0.567388,0.108516,0.168369,,0.276884,
08/03/2013,4.03,4.345,,8.375,0.208703,0.225016,,0.43372,0.103109,0.111168,,0.214277,
11/02/2013,16.035,4.331,,20.366,0.826067,0.223118,,1.049184,0.406286,0.109737,,0.516023,
02/01/2014,16.0,3.825,0.0,19.825,0.79709,0.190554,0.0,0.987644,0.410594,0.098158,0.0,0.508751,
05/03/2014,599.769,3.783,,603.552,28.900658,0.182289,,29.082947,14.446716,0.091122,,14.537838,
08/02/2014,553.589,3.772,,557.361,25.756388,0.175497,,25.931885,13.282421,0.090503,,13.372924,
11/01/2014,647.688,3.745,,651.433,29.611356,0.171216,,29.782572,13.871374,0.080206,,13.951579,
01/31/2015,3.828,3.61,0.0,7.438,0.167953,0.158388,0.0,0.326341,0.081393,0.076757,0.0,0.15815,
05/02/2015,837.147,3.641,,840.788,35.875181,0.156032,,36.031213,17.003229,0.073952,,17.077181,
08/01/2015,706.132,3.612,,709.744,29.588429,0.15135,,29.739779,14.636971,0.074871,,14.711842,
10/31/2015,565.157,0.0,,565.157,23.606418,0.0,,23.606418,11.524947,0.0,,11.524947,
01/30/2016,833.285,3.068,,836.353,33.709063,0.12411,0.0,33.833173,17.113671,0.063009,0.0,17.17668,
04/30/2016,981.743,3.06,,984.803,38.659807,0.120499,,38.780306,19.1965,0.059834,,19.256334,
07/30/2016,999.526,2.538,,1002.064,38.232587,0.09708,,38.329668,19.242991,0.048862,,19.291853,
10/29/2016,946.946,2.119,,949.065,35.740258,0.079977,,35.820235,17.700299,0.039608,,17.739907,
01/28/2017,1176.18,4.916,,1181.096,42.801045,0.178893,0.0,42.979938,22.15299,0.092591,0.0,22.245581,
04/29/2017,1308.883,4.868,,1313.751,47.120327,0.17525,,47.295577,23.570843,0.087665,,23.658507,
07/29/2017,1215.77,4.836,,1220.606,42.810551,0.170289,,42.98084,22.04687,0.087696,,22.134566,
10/28/2017,1207.937,4.783,,1212.72,42.257442,0.167324,,42.424766,20.945754,0.082938,,21.028691,
