Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Capital Expenditures,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,11.98,1.918,3.826,39.948002,57.672001,,,,,,
06/30/1990,,13.802,1.931,0.06,46.380001,62.173,,,,,,
09/30/1990,,19.042,2.25,-2.322,4.93,23.9,,,,,,
12/31/1990,,32.695999,2.694,-2.768,34.004002,66.625999,,,,66.625999,,
03/31/1991,,33.425999,2.664,-2.302,-2.214,31.573999,,,,,,
06/30/1991,,35.139999,2.782,0.889,-10.029,28.782,,,,,,
09/30/1991,,39.263,3.2,0.461,19.854,62.778,,,,,,
12/31/1991,,43.271,3.421,6.514,13.713,66.918999,,,,66.918999,,
03/31/1992,,45.436001,4.151,2.023,52.598999,104.209,,,,,,
06/30/1992,,46.956001,4.563,-5.166,-18.497,27.856001,,,,,,
09/30/1992,,47.937,5.258,-8.91,10.714,54.999001,,,,,,
12/31/1992,,59.716999,3.44,-0.92,19.812,82.049004,,,,82.049004,,
03/31/1993,,63.021,4.671,-3.375,36.464001,100.780998,,,,,,
06/30/1993,,67.182999,5.233,-3.004,-22.198,47.214001,,,,,,
09/30/1993,,78.253998,5.624,-4.548,39.743,119.072998,,,,,,
12/31/1993,,91.217003,6.258,8.876,8.738,115.088997,,,,115.088997,,
03/31/1994,,89.338997,6.496,1.632,67.278999,164.746002,,,,,,
06/30/1994,,93.267998,6.648,3.127,-73.402,29.641001,,,,,,
09/30/1994,,101.361,7.038,-1.988,39.551998,145.962997,,,,,,
12/31/1994,,107.151001,7.581,2.957,-40.660999,77.028,,,,,,
03/31/1995,,94.552002,7.512,2.014,41.209,145.287003,,,,,,
06/30/1995,,93.056,8.055,-4.721,-39.615002,56.775002,,,,,,
09/30/1995,,92.163002,8.498,0.28,46.203999,147.145004,,,,,,
12/31/1995,,100.893997,9.214,-17.403,51.773998,144.479004,,,,,,
03/31/1996,,81.638,9.406,20.098,12.885,124.027,,-6.262,,,,
