Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Compensation,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
02/28/1990,2482.894043,83.553003,81.744003,1.809,27.271999,,27.732,,,,,43.388,,,181.945007,1994.56604,2176.864014,-182.298004,,306.382996,,,,,306.382996,2300.949036,,85.897003,85.897003,,,204.537994,,,,,,287.369019,,,287.369019,577.804016,999.424988,,,,,3.118,,,,,,3.118,1002.542988,1580.347004,0.0,414.365997,,,-14.339,,502.52,902.546997,,902.546997,2482.894001,
05/31/1990,2615.697021,112.831,109.472,3.359,23.25,,31.672001,,,,,63.953999,,,231.707001,2079.096924,2282.8479,-203.751007,,304.893005,,,,,304.893005,2383.989929,,88.639999,88.639999,,,191.113007,,,,,,327.55101,,,327.55101,607.304016,1063.984985,,,,,3.124,,,,,,3.124,1067.108985,1674.413002,0.0,414.635986,,,-14.304,,540.95201,941.283997,,941.283997,2615.696998,
08/31/1990,2674.784912,155.939003,153.994003,1.945,24.448,,34.884998,,,,,39.887001,,,255.158997,2114.989014,2335.891113,-220.901993,,304.636993,,,,,304.636993,2419.626007,,109.490997,109.490997,,,182.389999,,,,,,260.707993,,,260.707993,552.588989,1086.334961,,,,,3.131,,,,,,3.131,1089.465961,1642.05495,0.0,414.944,,,-14.211,,631.997011,1032.730011,,1032.730011,2674.784961,
11/30/1990,2583.424072,124.081001,124.081001,0.0,11.734,,30.493,,,,,33.702999,,,200.011002,1880.140991,2098.660889,-218.520004,,503.272003,,,,,503.272003,2383.412994,,77.246002,77.246002,,,217.048004,,,,,,249.049012,,,249.049012,543.343018,999.771973,,,,,4.238,,,,,,4.238,1004.009973,1547.352991,0.0,415.352997,,,-14.304,,635.022018,1036.071015,,1036.071015,2583.424006,
02/28/1991,2650.528076,80.366001,76.360001,4.006,27.278999,,32.992001,,,,,48.188999,,,188.826004,2158.157959,2418.525879,-260.368011,,303.544006,,,,,303.544006,2461.701965,,92.327003,92.327003,,,171.283005,,,,,,261.142982,,,261.142982,524.752991,1070.28894,,,,,4.244,,,,,,4.244,1074.53294,1599.285931,0.0,414.806,,,-12.886,,649.321974,1051.241974,,1051.241974,2650.527905,
05/31/1991,2724.968994,127.792003,125.786003,2.006,20.702999,,36.355999,,,,,53.359001,,,238.210007,2189.129883,2470.655029,-281.524994,,297.628998,,,,,297.628998,2486.758881,,88.842003,88.842003,,,161.449005,,,,,,324.661018,,,324.661018,574.952026,1066.582031,,,,,4.245,,,,,,4.245,1070.827031,1645.779058,0.0,414.385986,,,-11.708,,676.512016,1079.190002,,1079.190002,2724.96906,
08/31/1991,2887.4021,297.744007,247.809006,49.935001,28.995001,,35.77,,,,,38.269001,,,400.778015,2192.87793,2494.676025,-301.798004,,293.746002,,,,,293.746002,2486.623932,,108.299004,108.299004,,,170.339996,,,,,,274.93998,,,274.93998,553.578979,1023.271973,,,,,9.746,,,,,,9.746,1033.017973,1586.596952,0.0,518.020996,,,0.0,,782.783997,1300.804993,,1300.804993,2887.401945,
11/30/1991,2650.251953,278.135994,221.707993,56.428001,12.508,,34.136002,,,,,39.007999,,,363.787994,1920.098999,2209.163086,-289.063995,,366.36499,,,,,366.36499,2286.463989,,76.889999,76.889999,,,178.136993,,,,,,296.259995,,,296.259995,551.286987,921.689026,,,,,6.147,,,,,,6.147,927.836026,1479.123013,0.0,518.646973,,,0.0,,652.481995,1171.128968,,1171.128968,2650.251981,
02/29/1992,2686.677979,304.787994,234.350998,70.436996,20.591,,32.681,,,,,38.088001,,,396.14801,1932.307983,2234.87207,-302.563995,,358.221985,,,,,358.221985,2290.529968,,75.491997,75.491997,,,196.272995,,,,,,316.48098,,,316.48098,588.245972,893.078003,,,,,6.166,,,,,,6.166,899.244003,1487.489974,0.0,519.638977,,,0.0,,679.549011,1199.187988,,1199.187988,2686.677963,
05/31/1992,2732.50708,297.874001,115.889,181.985001,21.319,,33.911999,,,,,51.493,,,404.597992,1944.416992,2266.27002,-321.852997,,383.492004,,,,,383.492004,2327.908997,,84.765999,84.765999,,,260.345001,,,,,,367.17202,,,367.17202,712.28302,776.909973,,,,,6.195,,,,,,6.195,783.104973,1495.387993,0.0,520.169006,,,0.0,,716.950012,1237.119019,,1237.119019,2732.507012,
