Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,52.921001,,,-36.418999,,16.502003,,-3.676,,,,,,12.826,3.643,,3.572,,0.0,,-7.215,16.469,-3.775,,,,12.694,29.378,,,-16.684,0.0,-16.684,0.0,,-16.684,-16.684,,261.630005,-0.065,0.045,0.045,,,,,
06/30/1990,61.352001,,,-41.631001,,19.721001,,-3.744,,,,,,15.977,3.142,,2.739,,0.0,,-5.881,19.119,-5.211,,,,13.908,0.0,,,13.908,0.0,13.908,0.0,,13.908,13.908,,262.10199,0.055,0.055,0.055,,,,,
09/30/1990,65.436996,,,-41.200001,,24.236996,,-6.529,,,,,,17.708,2.924,,3.391,,0.0,,-6.315,20.632,-5.962,,,,14.67,0.0,,,14.67,0.0,14.67,0.0,,14.67,14.67,,263.359985,0.055,0.055,0.055,,,,,
12/31/1990,71.914001,,,-56.060001,,15.854,,-3.546,,,,,,12.308,6.47,,3.14,,0.0,,-9.61,18.778,-4.366,,,,14.412,0.0,,,14.412,0.0,14.412,0.0,,14.412,14.412,,267.799988,0.055,0.055,0.055,267.799988,0.055,0.055,0.055,
03/31/1991,72.999001,,,-52.619999,,20.379002,,-4.027,,,,,,16.351999,3.63,,3.272,,0.0,,-6.902,19.981999,-5.0,,,,14.982,0.0,,,14.981999,0.0,14.982,0.0,,14.982,14.982,,273.641998,0.055,0.055,0.055,,,,,
06/30/1991,90.212997,,,-58.667,,31.545998,,-3.898,,,,,,27.648001,1.542,,1.898,,0.0,,-3.44,29.190001,-5.26,,,,23.93,0.0,,,23.930001,0.0,23.93,0.0,,23.93,23.93,,274.34201,0.085,0.085,0.085,,,,,
09/30/1991,92.374001,,,-54.303001,,38.070999,,-4.02,,,,,,34.050999,2.122,,2.532,,0.0,,-4.654,36.172998,-7.911,,,,28.261999,0.0,,,28.261999,0.0,28.261999,0.0,,28.261999,28.261999,,274.544006,0.105,0.105,0.105,,,,,
12/31/1991,89.139,,,-59.043999,,30.095001,,-3.471,,,,,,26.624001,0.804,,1.541,,0.0,,-2.345,27.428001,-4.355,,,,23.073,0.0,,,23.073001,0.0,23.073,0.0,,23.073,23.073,,272.0,0.085,0.085,0.085,272.0,0.085,0.085,0.085,
03/31/1992,81.487999,,,-51.73,,29.757999,,-4.001,,,,,,25.757,3.643,,1.17,,0.0,,-4.813,29.4,-6.09,,,,23.309999,0.0,,,23.31,0.0,23.309999,0.0,,23.309999,23.309999,,285.134003,0.08,0.08,0.08,,,,,
06/30/1992,115.512001,,,-65.669998,,49.842003,,-3.875,,,,,,45.966999,0.965,,1.929,,0.0,,-2.894,46.931999,-10.044,,,,36.888,0.0,,,36.887999,0.0,36.888,0.0,,36.888,36.888,,284.846008,0.13,0.13,0.13,,,,,
