Date,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Total Capital,Total Debt/Total Capital,Trailing 12 Month Values for Ratios,Source: Bloomberg
03/31/2013,,,,,,,,
06/30/2013,,,,,,,,
09/30/2013,,,,,,,,
12/31/2013,-43.9,0.0,1.3,10705.1,8785.3,121.852413,,
03/31/2014,,,,,,,,
06/30/2014,,,,,,,,
09/30/2014,,,,,,,,
12/31/2014,-56.8,0.0,0.3,10471.9,8684.2,120.585661,,
03/31/2015,-250.0,0.0,0.2,10706.0,8794.4,121.73656,,
06/30/2015,-68.3,0.0,-0.2,10680.9,8762.9,121.887731,,
09/30/2015,-102.8,0.0,1.1,9447.4,8832.8,106.958156,,
12/31/2015,-101.3,0.0,0.9,9413.2,8759.9,107.457848,,
03/31/2016,,,,,,,,
06/30/2016,-33.1,,38.3,9052.9,8578.7,105.527644,,
06/30/2020,-658.0,,0.0,9120.5,9434.3,96.673839,,
09/19/2020,-658.0,,0.0,9120.5,9434.3,96.6738390765611,,
09/30/2016,,,,,,,,
12/31/2016,,,,,,,,
