Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,6.866,10.56,0.721,-11.877,6.27,,,,,,,,,,,,,,,,,
06/30/1990,,1.17,11.938,0.363,-6.627,6.844,,,,,,,,,,,,,,,,,
09/30/1990,,5.159,14.876,2.016,-21.719999,0.331,,,,,,,,,,,,,,,,,
12/31/1990,,6.927,15.919,-5.215,-26.087999,-8.457,,,,,,,,,,,,,,,-8.457,,
03/31/1991,,4.081,17.016001,0.0,-11.911,9.186,,,,,,,,,,,,,,,,,
06/30/1991,,-25.663,17.913,0.425,37.459999,30.135,,,,,,,,,,,,,,,,,
09/30/1991,,-78.752998,18.011999,55.084,22.559999,16.903,,,,,,,,,,,,,,,,,
12/31/1991,,-7.993,16.1,-3.621,4.817,9.303,,,,,,,,,,,,,,,,,
03/31/1992,,-10.479,15.323,1.1,17.281,23.225,,,,,,,,,,,,,,,,,
06/30/1992,,2.031,15.645,-1.1,22.316999,38.893002,,,,,,,,,,,,,,,,,
09/30/1992,,6.937,15.954,0.0,30.351,53.242001,,,,,,,,,,,,,,,,,
12/31/1992,,13.105,,22.946999,67.695,103.747002,,,,,,,,,,,,,,,,,
03/31/1993,,11.372,10.554,9.437,-12.025,19.337999,,,,,,,,,,,,,,,,,
06/30/1993,,18.236,10.817,9.296,-31.971001,6.378,,,,,,,,,,,,,,,,,
09/30/1993,,23.288,11.206,9.096,-44.973,-1.383,,,,,,,,,,,,,,,,,
12/31/1993,,28.764,11.757,0.928,13.537,54.986,,,,,,,,,,,,,,,54.986,,
03/31/1994,,29.601,12.227,5.227,2.385,49.439999,,,,,,,,,,,,,,,,,
06/30/1994,,36.284,13.044,60.098,-32.229,77.196999,,,,,,,,,,,,,,,,,
09/30/1994,,43.195999,13.605,-25.547001,-14.96,16.294001,,,,,,,,,,,,,,,,,
12/31/1994,,53.544998,14.822,23.902,-12.863,79.405998,,,,,,,,,,,,,,,79.405998,,
03/31/1995,,41.916,22.003,10.366,9.602,83.887001,,,-30.865999,,,,,,,,,,,,,,
06/30/1995,,51.955002,14.526,18.01,-25.408001,59.083,,,-45.993999,,,,,,,,,,,,,,
09/30/1995,,49.367001,36.903,12.102,-79.111,19.261,,,-39.556,,,,,,,,,,,,,,
12/31/1995,,49.442001,29.377001,-11.2,-1.891,65.727997,-38.332001,,-38.332001,,,,,,,,,,,,27.395996,,
03/31/1996,,11.525,21.864,7.74,-45.604,-4.475,,,-33.880001,,,,,,,,,,,,,,
06/30/1996,,21.261999,22.653,8.608,-71.612,-19.089001,,,-34.279999,,,,,,,,,,,,,,
09/30/1996,,-57.889999,24.367001,-35.900002,40.698002,-28.725,,,-28.021,,,,,,,,,,,,,,
12/31/1996,,17.548,25.098,120.939003,-176.076004,-12.491,-26.238001,,-26.238001,,,,,,,,,,,,-38.729001,,
03/31/1997,,16.360001,30.473,,37.757999,84.591003,-59.713001,0.0,-30.339001,0.0,0.0,-29.374001,-1.921,0.0,0.065,0.0,-0.816,0.493,0.0,-1.663,22.957001,,
06/30/1997,,41.817001,18.136,-23.218,-56.724998,-19.99,13.518,0.0,-47.511002,0.0,0.0,61.028999,-23.23,0.0,4.375,0.0,-28.627001,,-0.493,1.515,-29.702,,
09/30/1997,,28.256001,25.754,7.065,-22.139,38.936001,-172.671997,0.0,-36.105999,0.0,0.0,-136.565994,394.721008,0.0,-4.44,389.237,-0.858,13.198,0.0,-2.416,260.984985,,
12/31/1997,,-37.57,27.729,,-10.157,127.480003,-261.606995,0.0,-29.1,0.0,0.0,-232.507004,1.986,0.0,0.0,0.0,-2.4,1.619,0.0,2.767,-132.141006,,
03/31/1998,,-30.104,34.478001,-17.68,11.75,-1.556,-18.337999,0.0,-29.127001,0.0,0.0,10.789,0.776,0.0,0.0,0.0,-1.097,2.191,0.0,-0.318,-19.118,,
06/30/1998,,-4.691,18.518999,14.01,-29.865,-2.027,-70.940002,0.0,-38.604,0.0,0.0,-32.335999,-26.174999,0.0,0.0,0.0,-29.215,2.308,0.0,0.732,-99.141998,,
