Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Depreciation & Amortization,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,40.462997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.453,,,1.453,1.453,,85.671997,0.0175,0.0175,,85.671997,0.0175,0.0175,0.0175,
03/31/1990,45.438,,,-35.171001,,10.266998,,-13.606,,,,,,,-3.339,0.824,,0.05,,0.0,,-0.874,-2.515,0.88,-1.635,0.0,,,-1.635,0.0,-1.635,0.0,,-1.635,-1.635,,101.720001,-0.015,-0.015,,101.720001,-0.015,-0.015,-0.015,
06/30/1990,49.755001,,,-35.499001,,14.256001,,-12.915,,,,,,,1.341,0.044,,0.036,,0.0,,-0.08,1.385,-0.484,0.901,0.0,,,0.901,0.0,0.901,0.0,,0.901,0.901,,102.167999,0.0075,0.0075,,102.167999,0.0075,0.0075,0.0075,
09/30/1990,38.915001,,,-35.955002,,2.959999,,-18.16,,,,,,,-15.2,-0.353,,0.116,,0.0,,0.237,-15.553,5.443,-10.11,0.0,,,-10.11,0.0,-10.11,0.0,,-10.11,-10.11,,102.167999,-0.1,-0.1,,102.167999,-0.1,-0.1,-0.1,
12/31/1990,42.438,,,-34.658001,,7.779999,,-24.737,,,,,,,-16.957001,-0.97,,0.737,,0.0,,0.233,-17.927001,5.211,-12.716,0.0,,,-12.716001,0.0,-12.716,0.0,,-12.716,-12.716,,101.050667,-0.125,-0.125,,101.050667,-0.125,-0.125,-0.125,
03/31/1991,35.431,,,-28.903999,,6.527,,-12.74,,,,,,,-6.213,0.053,,0.003,,0.0,,-0.056,-6.16,0.0,-6.16,0.0,,,-6.16,0.0,-6.16,0.0,,-6.16,-6.16,,99.931999,-0.0625,-0.0625,,99.931999,-0.0625,-0.0625,-0.0625,
06/30/1991,38.793999,,,-27.774,,11.019999,,-12.333,,,,,,,-1.313,0.054,,0.004,,0.0,,-0.058,-1.259,0.0,-1.259,0.0,,,-1.259,0.0,-1.259,0.0,,-1.259,-1.259,,97.608002,-0.0125,-0.0125,,97.608002,-0.0125,-0.0125,-0.0125,
09/30/1991,38.251999,,,-26.735001,,11.516998,,-12.507,,,,,,,-0.99,0.862,,0.006,,0.0,,-0.868,-0.128,0.0,-0.128,0.0,,,-0.128,0.0,-0.128,0.0,,-0.128,-0.128,,125.907997,,,,125.907997,,,,
12/31/1991,34.386002,,,-18.458,,15.928001,,-22.322001,,,,,,,-6.394,1.721,,0.009,,0.0,,-1.73,-4.673,0.0,-4.673,0.0,,,-4.673,0.0,-4.673,0.0,,-4.673,-4.673,,164.069412,-0.025,-0.025,,164.069412,-0.025,-0.025,-0.025,
03/31/1992,14.194,,,-9.571,,4.623,,-6.646,,,,,,,-2.023,2.09,,0.0,,0.0,,-2.09,0.067,-0.023,0.044,0.0,,,0.044,0.0,0.044,0.0,,0.044,0.044,,164.067993,,0.0,,164.067993,,0.0,0.0,
