Date,Total Assets,Cash & Cash Equivalents,ST And LT Investments,Available for Sales/FVTOCI,Other Investments,Total Consumer Loans,Student Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,ST Borrowings & Repos,ST Lease Liabilities,ST Finance Leases,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2013,174086,4691,4828,,,158977,158977,,158977,-2317,156660,0,444,,,,,,12291,,17254,,,17254,147887,,,147887,,,,,,3791,168932,565,4399,108,4291,-1535,1723,-4,5148,6,5154,174086,
06/30/2013,161468,4265,4109,,,147889,147889,,147889,-2282,145607,0,440,,,,,,11156,,16558,,,16558,135879,,,135879,,,,,,3597,156034,565,4464,109,4355,-1804,2195,9,5429,5,5434,161468,
09/30/2013,161570,5325,4287,,,146376,146376,,146376,-2274,144102,0,436,,,,,0.0,11707,,15572,,,15572,136944,,,136944,,,,,,3422,155938,565,4482,109,4373,-1813,2385,8,5627,5,5632,161570,
12/31/2013,159543,5190,892,109.0,783.0,144109,144109,,144109,-2009,142100,0,424,394.0,30.0,1704.0,1624.0,0.0,7609,,13795,0.0,0.0,13795,136648,0.0,0.0,136648,0.0,0.0,0.0,385.0,1571.0,1502,153901,565,4508,109,4399,-2033,2584,13,5637,5,5642,159543,
03/31/2014,156472,3742,787,135.0,652.0,142958,142958,,142958,-2166,140792,0,421,,,,1593.0,0.0,9137,,11626,,,11626,136177,,,136177,,,,,1325.0,1746,150874,565,4571,110,4461,-2283,2733,7,5593,5,5598,156472,
06/30/2014,142976,1636,658,7.0,651.0,132133,132133,,132133,-2079,130054,0,373,,,,1652.0,0.0,8603,,4316,,,4316,131919,,,131919,,,,,1052.0,1668,138955,0,2872,4,2868,-82,1224,7,4021,0,4021,142976,
09/30/2014,140345,1942,622,7.0,615.0,130234,130234,,130234,-2051,128183,0,371,,,,866.0,0.0,8361,,5994,,,5994,127669,,,127669,,,,,959.0,1567,136189,0,2884,4,2880,-257,1521,8,4156,0,4156,140345,
12/31/2014,146352,1443,633,6.0,627.0,136326,136326,,136326,-2009,134317,0,369,353.0,16.0,1412.0,781.0,0.0,7397,,2663,0.0,0.0,2663,136866,0.0,0.0,136866,0.0,0.0,0.0,64.0,1189.0,1372,142154,0,2897,4,2893,-432,1724,9,4198,0,4198,146352,
03/31/2015,143872,2051,603,6.0,597.0,133354,133354,,133354,-1940,131414,0,549,,,,810.0,0.0,8445,,4090,,,4090,132330,,,132330,,,,,1925.0,1436,139781,0,2939,4,2935,-767,1951,-36,4087,4,4091,143872,
06/30/2015,140220,1614,643,6.0,637.0,129993,129993,,129993,-1622,128371,0,546,,,,611.0,0.0,8435,,2951,,,2951,130387,,,130387,,,,,1487.0,1462,136287,0,2958,4,2954,-1075,2072,-26,3929,4,3933,140220,
09/30/2015,137666,1305,685,6.0,679.0,127380,127380,,127380,-1589,125791,0,544,,,,883.0,0.0,8458,,2816,,,2816,128293,,,128293,,,,,1473.0,1197,133779,0,2968,4,2964,-1254,2251,-82,3883,4,3887,137666,
12/31/2015,134046,1594,501,5.0,496.0,124345,124345,,124345,-1549,122796,0,705,551.0,154.0,1041.0,678.0,0.0,6731,,2570,0.0,0.0,2570,124833,0.0,0.0,124833,0.0,0.0,0.0,69.0,1465.0,1176,130113,0,2971,4,2967,-1425,2414,-51,3909,24,3933,134046,
03/31/2016,131377,1168,427,5.0,422.0,122069,122069,,122069,-1504,120565,0,702,,,,1017.0,0.0,7498,,2363,,,2363,122920,,,122920,,,,,1228.0,1027,127538,0,2979,4,2975,-1636,2604,-132,3815,24,3839,131377,
06/30/2016,128372,1377,545,4.0,541.0,118831,118831,,118831,-1472,117359,0,696,,,,1083.0,0.0,7312,,2370,,,2370,119637,,,119637,,,,,1585.0,1077,124669,0,2989,4,2985,-1816,2677,-171,3679,24,3703,128372,
09/30/2016,125312,1823,4,4.0,,115606,115606,,115606,-1450,114156,0,683,,,,930.0,0.0,7716,,2637,,,2637,116540,,,116540,,,,,1299.0,1102,121578,0,3010,4,3006,-2032,2858,-126,3710,24,3734,125312,
12/31/2016,121136,1253,350,3.0,347.0,112488,112488,,112488,-1418,111070,0,670,545.0,125.0,867.0,534.0,0.0,6392,,2334,0.0,0.0,2334,112368,0.0,0.0,112368,0.0,0.0,0.0,65.0,1670.0,976,117413,0,3026,4,3022,-2223,2890,6,3699,24,3723,121136,
03/31/2017,117890,1364,314,3.0,311.0,109211,109211,,109211,-1375,107836,0,664,,,,423.0,0.0,7289,,2160,,,2160,109586,,,109586,,,,,1492.0,980,114218,0,3051,4,3047,-2355,2930,22,3648,24,3672,117890,
06/30/2017,120354,1153,315,3.0,312.0,111710,111710,,111710,-1347,110363,0,658,,,,432.0,0.0,7433,,3918,,,3918,110778,,,110778,,,,,1060.0,1034,116790,0,3060,4,3056,-2524,2997,7,3540,24,3564,120354,
09/30/2017,117085,1248,3,3.0,0.0,108688,108688,,108688,-1348,107340,0,727,,,,446.0,0.0,7321,,3281,,,3281,108557,,,108557,,,,,789.0,908,113535,0,3071,4,3067,-2691,3130,16,3526,24,3550,117085,
12/31/2017,114991,1518,2,2.0,,106479,106479,,106479,-1357,105122,0,810,701.0,109.0,456.0,438.0,0.0,6645,,4771,0.0,0.0,4771,105012,0.0,0.0,105012,0.0,0.0,0.0,64.0,693.0,966,111506,0,3081,4,3077,-2692,3004,61,3454,31,3485,114991,
03/31/2018,113209,2398,356,2.0,354.0,103683,103683,,103683,-1357,102326,0,802,,,,500.0,0.0,6827,,5131,,,5131,102797,,,102797,,,,,663.0,950,109541,0,3131,4,3127,-2740,3073,173,3637,31,3668,113209,
06/30/2018,108949,1622,362,2.0,360.0,100556,100556,,100556,-1379,99177,0,798,,,,169.0,0.0,6821,,4752,,,4752,98690,,,98690,,,,,736.0,1026,105204,0,3138,4,3134,-2741,3114,203,3714,31,3745,108949,
09/30/2018,106493,2143,2,2.0,,98009,98009,,98009,-1305,96704,0,792,,,,142.0,0.0,6710,,5007,,,5007,96089,,,96089,,,,,755.0,887,102738,0,3146,4,3142,-2835,3186,227,3724,31,3755,106493,
12/31/2018,104176,1286,226,,226.0,95775,95775,,95775,-1277,94498,0,786,665.0,121.0,406.0,157.0,0.0,6817,,5422,0.0,0.0,5422,93519,0.0,0.0,93519,0.0,0.0,0.0,84.0,779.0,825,100629,0,3149,4,3145,-2961,3218,113,3519,28,3547,104176,
03/31/2019,100579,1206,207,,207.0,93294,93294,0.0,93294,-1245,92049,0,780,,,,174.0,0.0,6163,,7505,,,7505,88140,,,88140,,,,,751.0,740,97136,0,3178,4,3174,-3094,3303,43,3430,13,3443,100579,
06/30/2019,98320,1746,22,22.0,222.0,90738,90738,0.0,90738,-1218,89520,0,769,,769.0,,214.0,0.0,6049,,6785,,,6785,86776,,,86776,,,,,699.0,748,95008,0,3185,4,3181,-3222,3418,-80,3301,11,3312,98320,
09/30/2019,96553,1583,21,21.0,,89099,89099,,89099,-1166,87933,0,763,,763.0,,249.0,0.0,6004,,7004,,,7004,84769,,,84769,,,,,829.0,699,93301,0,3192,4,3188,-3355,3527,-124,3240,12,3252,96553,
12/31/2019,94903,1233,211,19.0,192.0,87932,87932,,87932,-1112,86820,0,757,665.0,92.0,365.0,212.0,0.0,5305,,8483,0.0,0.0,8483,81715,0.0,0.0,81715,0.0,0.0,0.0,58.0,646.0,652,91554,0,3202,4,3198,-3439,3664,-91,3336,13,3349,94903,
03/31/2020,93245,1084,316,18.0,298.0,86224,86224,0.0,86224,-1394,84830,0,752,,,,315.0,0.0,5948,,8452,,,8452,81297,,,81297,,,,,861.0,587,91197,0,3216,4,3212,-3786,2905,-300,2035,13,2048,93245,
06/30/2020,91045,1632,316,17.0,299.0,83783,83783,,83783,-1400,82383,0,746,,746.0,,318.0,0.0,5650,,7310,,,7310,80260,,,80260,,,,,814.0,535,88919,0,3219,4,3215,-3786,2999,-317,2115,11,2126,91045,
