Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,839.062012,332.753002,45.938,286.815002,183.529007,,,174.548996,,,,,40.999001,,,,,731.830017,103.778999,150.951004,-47.172001,0.0,,3.453,,,,3.453,107.231999,,37.324001,37.324001,,,,0.442,,,,,128.177999,,,,128.177999,165.944,15.466,,,,12.149,,,,,12.149,27.615,193.559,0.0,129.613007,,,-14.816,,530.706015,645.503021,0.0,645.503021,839.062021,
06/30/1990,814.97699,321.717003,90.250999,231.466003,109.342003,,,216.397003,,,,,53.394001,,,,,700.849976,111.863998,163.931,-52.067001,0.0,,2.263,,,,2.263,114.126998,,45.110001,45.110001,,,,0.443,,,,,82.560998,,,,82.560998,128.113998,15.355,,,,12.624,,,,,12.624,27.978999,156.092998,0.0,130.641006,,,-29.469,,557.711981,658.883987,0.0,658.883987,814.976985,
09/29/1990,900.96698,262.273994,76.336998,185.936996,232.412994,,,224.057007,,,,,54.490002,,,,,773.234009,113.817001,171.216995,-57.400002,0.0,,13.916,,,,13.916,127.733002,,58.335999,58.335999,,,,0.444,,,,,122.966004,,,,122.966004,181.746002,15.243,,,,12.789,,,,,12.789,28.032,209.778002,0.0,131.225006,,,-54.726002,,614.689991,691.188995,0.0,691.188995,900.966997,
12/29/1990,984.505005,431.810989,143.716995,288.093994,100.195999,,,265.72699,,,,,55.132999,,,,,852.867004,118.174004,180.281998,-62.108002,0.0,,13.464,,,,13.464,131.638004,,117.947998,117.947998,,,,0.447,,,,,125.754004,,,,125.754004,244.149002,15.131,,,,12.076,,,,,12.076,27.207,271.356002,0.0,132.132294,,,-83.194,,664.211029,713.149323,0.0,713.149323,984.505325,
03/30/1991,966.533997,328.556007,72.370003,256.186005,221.102997,,,214.552002,,,,,56.804001,,,,,821.015015,132.531006,200.380997,-67.849998,0.0,,12.988,,,,12.988,145.519006,,46.733002,46.733002,,,,0.447,,,,,114.374991,,,,114.374991,161.554993,15.019,,,,11.709,,,,,11.709,26.728,188.282992,0.0,134.369995,,,-74.552002,,718.432983,778.250977,0.0,778.250977,966.533969,
06/29/1991,972.286011,380.92099,113.884003,267.036987,120.069,,,261.687012,,,,,64.734001,,,,,827.411011,131.779999,205.977997,-74.197998,0.0,,13.095,,,,13.095,144.874999,,57.223,57.223,,,,,,,,,83.234993,,,,83.234993,140.457993,1.663,,,,11.424,,,,,11.424,13.087,153.544992,0.0,137.367004,,,-66.764999,,748.139023,818.741028,0.0,818.741028,972.28602,
09/28/1991,1072.46106,357.609001,96.349998,261.259003,239.733002,,,256.820007,,,,,65.621002,,,,,919.78302,139.223007,219.757004,-80.533997,0.0,,13.455,,,,13.455,152.678007,,60.042,60.042,,,,,,,,,119.989006,,,,119.989006,180.031006,1.639,,,,11.215,,,,,11.215,12.854,192.885006,0.0,138.136002,,,-64.248001,,805.688004,879.576004,0.0,879.576004,1072.46101,
12/28/1991,1174.944946,471.529998,189.195007,282.334991,145.910004,,,321.992004,,,,,74.249001,,,,,1013.68103,148.261002,234.942001,-86.681,0.0,,13.003,,,,13.003,161.264002,,140.151001,140.151001,,,,,,,,,109.679001,,,,109.679001,249.830002,1.615,,,,13.901,,,,,13.901,15.516,265.346002,0.0,138.712006,,,-83.115997,,854.003021,909.59903,0.0,909.59903,1174.945032,
03/28/1992,1126.677002,379.917984,86.837997,293.079987,266.38501,,,251.820999,,,,,66.285004,,,,,964.408997,142.764008,236.138,-93.374001,0.0,,19.504,,,,19.504,162.268007,,38.637001,38.637001,,,,,,,,,117.361992,,,,117.361992,155.998993,1.501,,,,14.184,,,,,14.184,15.685,171.683993,0.0,140.412003,,,-92.602997,,907.18399,954.992996,0.0,954.992996,1126.676989,
06/27/1992,1121.45105,386.521996,118.823997,267.697998,175.104004,,,316.312012,,,,,72.153999,,,,,950.09198,142.638,242.755997,-100.117996,0.0,,28.721001,,,,28.721001,171.359001,,53.613998,53.613998,,,,,,,,,101.999008,,,,101.999008,155.613007,1.477,,,,14.466,,,,,14.466,15.943,171.556006,0.0,140.688995,,,-128.463104,,937.669098,949.894989,0.0,949.894989,1121.450995,
09/26/1992,1166.400024,297.413988,28.614,268.799988,324.122009,,,299.425995,,,,,72.556,,,,,993.518005,143.414001,250.429993,-107.015999,0.0,,29.468,,,,29.468,172.882002,,70.038002,70.038002,,,,,,,,,121.370003,,,,121.370003,191.408005,1.458,,,,14.833,,,,,14.833,16.291,207.699005,0.0,140.699997,,,-175.182999,,993.183975,958.700974,0.0,958.700974,1166.399978,
12/26/1992,1285.307007,425.612991,130.720993,294.891998,200.182999,,,385.878998,,,,,98.290001,,,,,1109.964966,145.695007,258.747986,-113.053001,0.0,,29.646999,,,,29.646999,175.342006,,138.738007,138.738007,,,,,,,,,131.294983,,,,131.294983,270.03299,1.434,,,,16.065001,,,,,16.065001,17.499001,287.531991,0.0,143.746994,,,-178.841995,,1032.87001,997.775009,0.0,997.775009,1285.307,
03/27/1993,1230.307007,302.626999,67.410004,235.216995,278.464996,,,351.048004,,,,,116.319,,,,,1048.458984,150.681,270.95401,-120.273003,0.0,,31.167,,,,31.167,181.848,,59.703999,59.703999,,,,,,,,,146.253002,,,,146.253002,205.957001,1.409,,,,12.948,,,,,12.948,14.357,220.314001,0.0,144.643997,,,-201.151001,,1066.5,1009.992996,0.0,1009.992996,1230.306997,
