Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2008,758.0,,-392.0,,366.0,,-100.0,,,266.0,9.0,,0.0,,0.0,,-9.0,275.0,-101.0,174,0.0,,,174.0,0.0,174,0.0,0.0,174,174.0,,521.76,0.333333,0.333333,0.333333,521.76,0.333333,0.333333,0.333333,
06/30/2008,886.0,,-443.0,,443.0,0.0,-86.0,91.0,-5.0,357.0,0.0,,0.0,,0.0,,0.0,357.0,-140.0,217,0.0,,,217.0,0.0,217,0.0,0.0,217,217.0,,521.76,0.416667,0.416667,0.426667,521.76,0.416667,0.416667,0.426667,
09/30/2008,1125.0,,-655.0,,470.0,0.0,-88.0,88.0,0.0,382.0,4.0,,1.0,,0.0,,-5.0,386.0,-149.0,237,0.0,,,237.0,0.0,237,0.0,0.0,237,237.0,,517.11,0.46,0.46,0.46,517.47,0.46,0.46,0.46,
12/31/2008,912.0,,-419.0,,493.0,0.0,-79.0,79.0,0.0,414.0,1.0,0.0,0.0,,0.0,,-1.0,415.0,-157.0,258,0.0,,,258.0,0.0,258,0.0,0.0,258,258.0,170.95,504.57,0.511333,0.511333,0.850133,504.87,0.5098,0.5098,0.8476,
03/31/2009,767.0,767.0,-384.0,384.0,383.0,0.0,-89.0,89.0,0.0,294.0,1.0,,0.0,-1.0,,,0.0,295.0,-111.0,184,0.0,0.0,0.0,184.0,0.0,184,0.0,0.0,184,184.0,0.0,504.21,0.363333,0.363333,0.363333,504.54,0.363333,0.363333,0.363333,
06/30/2009,1033.0,1033.0,-481.0,481.0,552.0,0.0,-96.0,96.0,0.0,456.0,-1.0,,2.0,-1.0,,,0.0,455.0,-169.0,286,0.0,0.0,0.0,286.0,0.0,286,0.0,0.0,286,286.0,0.0,502.98,0.57,0.57,0.57,503.37,0.57,0.57,0.57,
09/30/2009,953.0,953.0,-465.0,465.0,488.0,0.0,-96.0,96.0,0.0,392.0,-14.0,,15.0,-1.0,,,0.0,378.0,-143.0,235,0.0,0.0,0.0,235.0,0.0,235,0.0,0.0,235,235.0,0.0,490.74,0.48,0.48,0.48,491.16,0.48,0.48,0.48,
12/31/2009,932.0,932.0,-451.0,451.0,481.0,0.0,-83.0,83.0,0.0,398.0,-8.0,,9.0,-1.0,,,0.0,390.0,-148.0,242,0.0,0.0,0.0,242.0,0.0,242,0.0,0.0,242,242.0,0.0,476.16,0.506667,0.506667,0.506667,476.67,0.506667,0.506667,0.506667,
03/31/2010,923.0,923.0,-445.0,445.0,478.0,0.0,-96.0,96.0,0.0,382.0,-9.0,,10.0,-1.0,,,0.0,373.0,-141.0,232,0.0,0.0,0.0,232.0,0.0,232,0.0,0.0,232,232.0,0.0,463.65,0.5,0.5,0.5,464.16,0.5,0.5,0.5,
06/30/2010,1038.0,1038.0,-496.0,496.0,542.0,0.0,-97.0,97.0,0.0,445.0,-27.0,,28.0,-1.0,,,0.0,418.0,-155.0,263,0.0,0.0,0.0,263.0,0.0,263,0.0,0.0,263,263.0,0.0,456.12,0.576667,0.576667,0.576667,456.66,0.576667,0.576667,0.576667,
09/30/2010,1073.0,1073.0,-507.0,507.0,566.0,0.0,-101.0,101.0,0.0,465.0,-28.0,,29.0,-1.0,,,0.0,437.0,-163.0,274,0.0,0.0,0.0,274.0,0.0,274,0.0,0.0,274,274.0,0.0,453.99,0.606667,0.606667,0.606667,454.62,0.603333,0.603333,0.603333,
12/31/2010,1020.0,1020.0,-482.0,482.0,538.0,0.0,-105.0,105.0,0.0,433.0,-27.0,,28.0,-1.0,,,0.0,406.0,-147.0,259,0.0,0.0,0.0,259.0,0.0,259,0.0,0.0,259,259.0,0.0,445.47,0.58,0.58,0.58,446.28,0.58,0.58,0.58,
03/31/2011,1056.0,1056.0,-513.0,513.0,543.0,0.0,-122.0,122.0,0.0,421.0,-27.0,,28.0,-1.0,,,0.0,394.0,-146.0,248,0.0,0.0,0.0,248.0,0.0,248,0.0,-1.0,247,247.0,0.0,434.4,0.57,0.57,0.57,434.82,0.57,0.57,0.57,
06/30/2011,1159.0,1159.0,-560.0,560.0,599.0,0.0,-112.0,112.0,0.0,487.0,-27.0,,28.0,-1.0,,,0.0,460.0,-169.0,291,0.0,0.0,0.0,291.0,,291,0.0,0.0,291,291.0,0.0,425.37,0.683333,0.683333,0.683333,425.88,0.683333,0.683333,0.683333,
09/30/2011,1113.0,1113.0,-550.0,550.0,563.0,0.0,-108.0,108.0,0.0,455.0,-34.0,,34.0,0.0,,,0.0,421.0,-154.0,267,0.0,0.0,0.0,267.0,0.0,267,0.0,0.0,267,267.0,0.0,410.22,0.646667,0.646667,0.646667,411.06,0.646667,0.646667,0.646667,
12/31/2011,1125.0,1125.0,-487.0,487.0,638.0,0.0,-108.0,108.0,0.0,530.0,-34.0,,35.0,-1.0,,,0.0,496.0,-186.0,310,0.0,0.0,0.0,310.0,0.0,310,0.0,0.0,310,310.0,0.0,399.78,0.77,0.77,0.77,400.67,0.77,0.77,0.77,
03/31/2012,1059.0,1059.0,-536.0,536.0,523.0,0.0,-131.0,131.0,0.0,392.0,-38.0,,39.0,-1.0,,,0.0,354.0,-131.0,223,0.0,0.0,0.0,223.0,0.0,223,0.0,-1.0,222,228.0,6.0,391.45,0.57,0.57,0.58245,392.4,0.57,0.57,0.58245,
06/30/2012,1205.0,1205.0,-593.0,593.0,612.0,0.0,-128.0,128.0,0.0,484.0,-37.0,,37.0,0.0,,,0.0,447.0,-163.0,284,0.0,0.0,0.0,284.0,0.0,284,0.0,0.0,284,287.0,3.0,390.53,0.72,0.72,0.734899,391.44,0.72,0.72,0.727664,
09/30/2012,1163.0,1163.0,-561.0,561.0,602.0,0.0,-122.0,122.0,0.0,480.0,-37.0,,38.0,-1.0,,,0.0,443.0,-160.0,283,0.0,0.0,0.0,283.0,0.0,283,0.0,1.0,284,284.65,0.65,390.21,0.72,0.72,0.729479,391.05,0.72,0.72,0.721662,
12/31/2012,1209.0,1209.0,-565.0,565.0,644.0,0.0,-122.0,122.0,0.0,522.0,-38.0,,39.0,-1.0,,,0.0,484.0,-175.0,309,0.0,0.0,0.0,309.0,0.0,309,0.0,0.0,309,309.0,0.0,384.87,0.8,0.8,0.8,385.59,0.8,0.8,0.8,
