Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,142.214005,27.544001,25.429001,2.115,33.348999,,,24.929001,,,,,9.148,,,,94.970001,39.511002,,,7.09,,0.643,,,,0.643,47.244002,,6.419,6.419,,,,0.196,,,,17.330999,,,17.330999,23.945999,15.477,,,,3.434,,,,3.434,18.911,42.856999,0.0,65.195999,,,-0.486,,34.646999,99.356998,0.0,99.356998,142.213998,
06/30/1990,148.669006,42.214001,39.304001,2.91,30.855,,,23.312,,,,,3.415,,,,99.795998,41.689999,,,6.694,,0.489,,,,0.489,48.872998,,6.38,6.38,,,,0.557,,,,20.576,,,20.576,27.513,15.771,,,,3.434,,,,3.434,19.205,46.718,0.0,65.468002,,,-0.486,,36.969002,101.951004,0.0,101.951004,148.669004,
09/29/1990,152.466003,42.746,39.805,2.941,32.560001,,,22.954,,,,,3.581,,,,101.841003,43.584999,,,6.52,,0.52,,,,0.52,50.624999,,5.245,5.245,,,,0.615,,,,22.285001,,,22.285001,28.145,15.672,,,,3.434,,,,3.434,19.106,47.251,0.0,65.472,,,-0.486,,40.229,105.215,0.0,105.215,152.466001,
12/29/1990,157.022995,35.486998,32.641998,2.845,40.804001,,,24.351999,,,,,3.662,,,,104.305,47.472,63.061001,-15.589,4.971,,0.275,,,,0.275,52.718,,9.95,9.95,,,,0.706,,,,17.58,,,17.58,28.236,15.803,,,,4.592,,,,4.592,20.395,48.631,0.0,65.657997,,,-0.486,,43.220001,108.391998,0.0,108.391998,157.022998,
03/30/1991,168.291,24.842999,22.73,2.113,43.632999,,,31.274,,,,,3.919,,,,103.668999,52.241001,69.887001,-17.646,5.105,,7.276,,,,7.276,64.622001,,11.293,11.293,,,,0.714,,,,23.694999,,,23.694999,35.702,15.652,,,,4.944,,,,4.944,20.596,56.298,0.0,66.000999,,,-0.49,,46.482001,111.993,0.0,111.993,168.291,
06/29/1991,171.315994,13.661,11.491,2.17,52.820999,,,31.882999,,,,,3.304,,,,101.668999,55.479,74.205002,-18.726,7.256,,6.912,,,,6.912,69.647,,9.454,9.454,,,,1.365,,,,21.333,,,21.333,32.152,16.995001,,,,4.285,,,,4.285,21.280001,53.432001,0.0,70.570999,,,-0.503,,47.816,117.883999,0.0,117.883999,171.316,
09/28/1991,176.438004,18.614,16.444,2.17,52.433998,,,32.456001,,,,,2.875,,,,106.378998,55.421001,75.775002,-20.354,8.171,,6.467,,,,6.467,70.059001,,7.903,7.903,,,,1.034,,,,26.411,,,26.411,35.348,15.857,,,,4.285,,,,4.285,20.142,55.49,0.0,70.693001,,,-0.503,,50.758001,120.948002,0.0,120.948002,176.438002,
12/28/1991,189.815002,16.778,16.778,0.0,64.724998,,,27.643,,,,,3.231,,,,112.376999,57.620998,80.094002,-22.473,13.399,,6.418,,,,6.418,77.437998,,10.703,10.703,,,,6.055,,,,27.369998,,,27.369998,44.127998,15.746,,,,4.285,,,,4.285,20.031,64.158998,0.0,71.125,,,-0.503,,55.033998,125.655998,0.0,125.655998,189.814996,
03/28/1992,254.977005,67.844002,67.844002,0.0,68.967003,,,24.745001,,,,,11.052,,,,172.608002,59.257999,85.183998,-25.926001,14.722,,8.389,,,,8.389,82.368999,,11.456,11.456,,,,1.499,,,,23.586,,,23.586,36.541,76.621002,,,,10.07,,,,10.07,86.691002,123.232002,0.0,72.690002,,,-0.503,,59.558,131.745003,0.0,131.745003,254.977005,
06/27/1992,270.134003,55.501999,55.501999,0.0,77.957001,,,35.060001,,,,,10.092,,,,178.610992,61.682999,91.393997,-29.711,21.597,,8.243,,,,8.243,91.522999,,17.598,17.598,,,,1.56,,,,27.356,,,27.356,46.514,76.567001,,,,9.695,,,,9.695,86.262001,132.776001,0.0,72.866997,,,-0.503,,64.993997,137.357994,0.0,137.357994,270.133995,
09/26/1992,283.579987,51.631001,51.631001,0.0,87.069,,,42.319,,,,,7.591,,,,188.610001,64.417999,97.389,-32.971001,23.580999,,6.971,,,,6.971,94.969999,,14.29,14.29,,,,1.49,,,,36.866999,,,36.866999,52.646999,76.074997,,,,9.32,,,,9.32,85.394997,138.041996,0.0,78.509003,,,-0.503,,67.531999,145.538002,0.0,145.538002,283.579998,
01/02/1993,338.779999,62.103001,62.103001,0.0,96.920998,,,57.167999,,,,,16.959999,,,,233.151993,69.039001,107.678001,-38.639,29.83,,6.759,,,,6.759,105.628001,,27.648001,27.648001,,,,2.379,,,,53.79,,,53.79,83.817001,76.093002,,,,10.604,,,,10.604,86.697002,170.514003,0.0,107.538002,,,-0.503,,61.231001,168.266003,0.0,168.266003,338.780006,
04/03/1993,429.248993,138.100998,138.100998,0.0,104.463997,,,58.237,,,,,16.221001,,,,317.02301,69.059998,107.762001,-38.702,36.374001,,6.792,,,,6.792,112.225998,,19.106001,19.106001,,,,1.318,,,,50.382998,,,50.382998,70.806999,75.358002,,,,8.938,,,,8.938,84.296001,155.103001,0.0,181.097,,,-0.503,,93.552004,274.146004,0.0,274.146004,429.249004,
07/03/1993,498.618988,160.565994,160.565994,0.0,106.612999,,,74.116997,,,,,23.747999,,,,365.044006,76.079002,113.799004,-37.720001,52.676998,,4.819,,,,4.819,133.575,,31.375999,31.375999,,,,1.283,,,,79.338002,,,79.338002,111.997002,74.940002,,,,8.413,,,,8.413,83.353003,195.350004,0.0,183.264999,,,-0.503,,120.506998,303.268997,0.0,303.268997,498.619001,
10/02/1993,572.104004,137.511993,137.511993,0.0,158.429993,,,101.569,,,,,27.805,,,,425.31601,83.753998,129.123001,-45.368999,58.653999,,4.38,,,,4.38,146.787997,,42.344002,42.344002,,,,1.442,,,,84.911996,,,84.911996,128.697998,74.278999,,,,11.796,,,,11.796,86.074999,214.772997,0.0,215.044998,,,-0.503,,142.788996,357.330994,0.0,357.330994,572.103991,
12/31/1993,829.645996,345.299988,345.299988,0.0,157.225006,,,118.263,,,,,29.222,,,,650.01001,96.480003,144.496002,-48.015999,72.199997,,10.956,,,,10.956,179.636,,44.179001,44.179001,,,,1.262,,,,87.693002,,,87.693002,133.134003,274.028992,,,,3.389,,,,3.389,277.417992,410.551995,0.0,228.567001,,,-0.503,,191.029993,419.093994,0.0,419.093994,829.645989,
04/02/1994,939.710022,231.600006,231.600006,0.0,205.184006,,,144.763,,,,,36.095001,,,,617.642029,111.889,173.539993,-61.651001,187.934998,,22.243999,,,,22.243999,322.067997,,61.507,61.507,,,,1.209,,,,95.608005,,,95.608005,158.324005,304.36499,,,,3.393,,,,3.393,307.75799,466.081995,0.0,232.498993,,,-0.503,,240.551004,472.546997,1.081,473.627997,939.709992,
07/02/1994,1035.734985,219.951996,219.951996,0.0,249.667999,,,182.839005,,,,,35.453999,,,,687.913025,130.908005,195.891998,-64.984001,197.809006,,19.105,,,,19.105,347.82201,,95.612999,95.612999,,,,2.155,,,,100.062995,,,100.062995,197.830994,289.949005,,,,2.942,,,,2.942,292.891005,490.721999,0.0,249.061005,,,-2.264,,297.283989,544.080994,0.932,545.012994,1035.734992,
10/01/1994,1172.463989,232.251999,232.251999,0.0,295.718994,,,238.787003,,,,,44.782001,,,,811.539978,145.639008,218.225998,-72.586998,194.354004,,20.931,,,,20.931,360.924011,,114.821999,114.821999,,,,0.941,,,,143.924013,,,143.924013,259.687012,292.342987,,,,2.78,,,,2.78,295.122987,554.809999,0.0,251.647995,,,-0.652,,365.805992,616.801987,0.852,617.653987,1172.463985,
12/31/1994,1317.5,240.505997,240.505997,0.0,361.19101,,,251.095993,,,,,49.012001,,,,901.804993,173.016006,253.404999,-80.389,214.576004,,28.103001,,,,28.103001,415.695011,,122.264,122.264,,,,9.502,,,,169.697989,,,169.697989,301.463989,286.105988,,,,2.289,,,,2.289,288.394988,589.858977,0.0,283.641998,,,-0.823,,444.821993,727.640991,0.0,727.640991,1317.499968,
04/01/1995,1366.121948,237.281006,237.281006,0.0,365.553986,,,290.812012,,,,,52.056,,,,945.703003,187.673996,,,194.048996,,38.695999,,,,38.695999,420.418991,,78.508003,78.508003,,,,0.83,,,,189.437998,,,189.437998,268.776001,246.813995,,,,3.263,,,,3.263,250.076995,518.852996,0.0,325.364014,,,-1.161,,523.066029,847.269043,0.0,847.269043,1366.122039,
07/01/1995,1463.899048,221.688004,221.688004,0.0,446.309998,,,297.472992,,,,,51.087002,,,,1016.557983,191.768997,,,206.414993,,49.157001,,,,49.157001,447.340992,,66.350998,66.350998,,,,0.764,,,,209.995995,,,209.995995,277.110992,246.917999,,,,6.004,,,,6.004,252.921999,530.032992,0.0,332.016998,,,-1.191,,603.039999,933.865997,0.0,933.865997,1463.898989,
09/30/1995,1571.862061,208.996994,208.996994,0.0,527.208984,,,350.188995,,,,,53.463001,,,,1139.858032,199.070007,,,181.886002,,51.048,,,,51.048,432.004009,,87.218002,87.218002,,,,0.718,,,,220.188998,,,220.188998,308.125,246.738007,,,,7.827,,,,7.827,254.565007,562.690007,0.0,335.192993,,,-1.238,,675.217004,1009.171997,0.0,1009.171997,1571.862004,
12/30/1995,1745.729004,379.627991,379.627991,0.0,550.473022,,,330.160004,,,,,58.694,,,,1318.954956,218.901001,346.596008,-127.695,151.772995,,56.099998,,,,56.099998,426.773994,,111.721001,111.721001,,,,0.915,,,,246.723984,,,246.723984,359.359985,245.845001,,,,0.223,,,,0.223,246.068001,605.427986,0.0,353.313995,,,-1.238,,788.225,1140.300995,0.0,1140.300995,1745.728981,
03/30/1996,1852.459961,478.759003,478.759003,0.0,507.876007,,,316.994995,,,,,54.518002,,,,1358.147949,234.244003,,,152.492004,,107.575996,,,,107.575996,494.312004,,126.059998,126.059998,,,,5.833,,,,224.206001,,,224.206001,356.098999,273.734009,,,,2.089,,,,2.089,275.823009,631.922008,0.0,352.36499,,,-3.969,,872.141974,1220.537964,0.0,1220.537964,1852.459972,
06/29/1996,1937.81604,500.161987,500.161987,,531.530029,,,282.434998,,,,,58.148998,,,,1372.276001,244.214996,,,206.063004,,115.262001,,,,115.262001,565.540001,,118.046997,118.046997,,,,7.503,,,,225.00701,,,225.00701,350.557007,277.270996,,,,2.252,,,,2.252,279.522996,630.080003,0.0,347.390015,,,-0.938,,961.284008,1307.736023,0.0,1307.736023,1937.816026,
09/30/1996,2088.551025,593.406982,593.406982,0.0,564.411987,,,303.290009,,,,,59.985001,,,,1521.093994,256.209991,,,189.837997,,121.408997,,,,121.408997,567.456985,,151.220001,151.220001,,,,7.289,,,,231.658998,,,231.658998,390.167999,278.260986,,,,20.424,,,,20.424,298.684986,688.852985,0.0,355.175995,,,-0.388,,1044.909973,1399.697968,0.0,1399.697968,2088.550953,
12/31/1996,2293.545898,727.358017,496.377014,230.981003,627.408997,,,336.580994,,,,,62.787998,,,,1754.135986,276.386993,456.980988,-180.593994,133.513,,129.509995,,,,129.509995,539.409988,,172.871002,172.871002,,,,7.058,,,,237.573012,,,237.573012,417.502014,191.233994,,,,48.021,,,,48.021,239.254994,656.757008,0.0,466.069,,,0.0,,1170.719971,1636.788971,0.0,1636.788971,2293.545979,
03/31/1997,2948.809,1215.595,700.526,515.069,644.269,,,442.328,21.165,288.085,133.078,0.0,61.06,,,,2363.252,294.459,,,145.471,,145.627,129.007,,,16.62,585.557,,215.41,215.41,,,,6.863,,,,234.09,,,234.09,456.363,558.519,,,,41.793,,,,41.793,600.312,1056.675,0.0,610.838,,,0.0,1283.696,-2.4,1892.134,0.0,1892.134,2948.809,
