Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2015,36477,1362,1362,0,960,960,,2284,425,1115,672,72,3347,31.0,4679.0,724,7953,5425,11568,-6143,0,0.0,23099,6353,5249,1104,1308,,809,28524,,2193,1510,103,170,410,41,38,0.0,0.0,,3,2977,,19.0,392,5211,8786,8786,0.0,0.0,,8349,,2842,809,17135,22346,55.0,11413.0,1391,10022.0,-2825,8834,-5431,12046,2085,14131,36477,
12/31/2016,20038,1863,1863,0,974,974,0.0,2253,408,1144,625,76,802,10.0,,788,5892,5499,11572,-6073,1020,1020.0,7627,6136,5148,988,1234,6.0,241,14146,,2380,1744,85,153,398,40,36,0.0,0.0,,4,329,0.0,3.0,324,2749,8044,8044,0.0,0.0,,4104,0.0,3234,867,12148,14897,58.0,8652.0,438,8214.0,0,-1027,-2568,5115,26,5141,20038,
03/31/2017,20157,2553,2553,0,1148,1148,0.0,2328,380,1223,648,77,681,24.0,,641,6710,5473,11633,-6160,446,446.0,7528,5170,5170,0,1084,,1250,13447,,2120,1597,81,114,328,47,47,,,,0,420,,11.0,392,2587,8046,8046,,,,4029,,3160,858,12075,14662,1305.0,7443.0,441,7002.0,0,-768,-2498,5482,13,5495,20157,
06/30/2017,19106,1785,1785,0,1170,1170,0.0,2416,383,1300,652,81,662,12.0,,643,6033,5507,11738,-6231,0,0.0,7566,5215,5215,0,1080,,1259,13073,,2231,1667,77,124,363,48,48,,,,0,379,,9.0,365,2658,6796,6796,,,,3899,,3024,866,10695,13353,1305.0,7456.0,441,7015.0,0,-567,-2454,5740,13,5753,19106,
09/30/2017,19237,1815,1815,0,1150,1150,0.0,2453,386,1332,651,84,730,24.0,,689,6148,5526,11791,-6265,0,0.0,7563,5246,5246,0,1024,,1269,13089,,2210,1656,74,101,379,55,54,,,,1,412,,11.0,381,2677,6802,6802,,,,3797,,2921,865,10599,13276,55.0,8739.0,442,8297.0,0,-519,-2327,5948,13,5961,19237,
12/31/2017,18718,2150,2150,0,1035,1035,0.0,2480,381,1349,669,81,713,33.0,,652,6378,5594,11986,-6392,0,0.0,6746,5522,4535,987,743,89.0,359,12340,,2437,1839,75,124,399,38,37,0.0,0.0,,1,349,0.0,14.0,304,2824,6806,6806,0.0,0.0,,4164,0.0,3405,745,10970,13794,54.6024,8747.3976,481,8266.3976,0,-1248,-2644,4910,14,4924,18718,
03/31/2018,18219,1205,1205,0,1179,1179,0.0,2648,435,1406,718,89,863,19.0,,826,5895,5628,12349,-6721,0,0.0,6696,5563,4573,990,675,,439,12324,,2387,1874,83,97,333,45,42,,,,3,370,,8.0,341,2802,6309,6309,,,,3826,,3082,736,10135,12937,54.6024,8763.3976,483,8280.3976,0,-1164,-2386,5268,14,5282,18219,
06/30/2018,18219,1455,1455,0,1159,1159,0.0,2659,401,1485,682,91,802,,,802,6075,5582,12256,-6674,0,,6562,5481,4518,963,626,,455,12144,,2570,2024,69,113,364,45,42,,,,3,362,,,362,2977,6312,6312,,,,3712,,2999,713,10024,13001,55.0,8778.0,483,8295.0,0,-1073,-2556,5204,14,5218,18219,
09/30/2018,18327,1535,1535,0,1147,1147,0.0,2622,398,1467,667,90,828,,,828,6132,5645,12423,-6778,0,0.0,6550,5471,4517,954,605,,474,12195,,2601,2061,84,97,359,42,39,,,,3,371,,,371,3014,6315,6315,,,,3623,,2893,730,9938,12952,55.0,8793.0,483,8310.0,0,-943,-2544,5361,14,5375,18327,
12/31/2018,18693,2277,2277,0,1047,1047,0.0,2492,366,1371,668,87,765,,,765,6581,5704,12473,-6769,0,,6408,5419,4500,919,573,111.0,305,12112,,2730,2129,113,118,370,434,29,0.0,0.0,,405,356,0.0,,356,3520,5896,5896,0.0,0.0,,3692,0.0,2953,739,9588,13108,54.6024,8802.3976,483,8319.3976,0,-358,-2926,5573,12,5585,18693,
03/31/2019,18361,1319,1319,0,1170,1170,0.0,2612,371,1448,699,94,952,,,952,6053,6029,12840,-6811,0,0.0,6279,5421,4509,912,480,,378,12308,,2743,2193,114,97,339,529,30,94.0,,94.0,405,387,,,387,3659,6114,5899,215.0,,215.0,3410,,2808,602,9524,13183,54.6024,8097.3976,453,7644.3976,0,-134,-2852,5166,12,5178,18361,
06/30/2019,17913,1357,1357,0,1155,1155,0.0,2606,361,1447,701,97,900,,,900,6018,5794,12807,-7013,0,,6101,5186,4500,686,568,,347,11895,,2708,2095,113,116,384,511,29,77.0,,77.0,405,402,,,402,3621,6112,5901,211.0,,211.0,3314,,2720,594,9426,13047,54.6024,7924.3976,440,7484.3976,0,-256,-2869,4854,12,4866,17913,
