Date,Cash From Operating Activities,Net Income,Other Non-Cash Adjustments,Cash From Operations,Cash From Investing Activities,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,9.478,,48.915001,,,,,
06/30/1990,,42.580002,,121.776001,,,,,
09/30/1990,,27.552999,,18.957001,,,,,
12/31/1990,,33.382999,,79.644997,,,,,
03/31/1991,,5.228,,-48.598999,,,,,
06/30/1991,,20.061001,,-4.03,,,,,
09/30/1991,,28.129,,75.639999,,,,,
12/31/1991,,59.629002,,42.689999,,,,,
03/31/1992,,3.885,,53.026001,,,,,
06/30/1992,,1.253,,-5.384,,,,,
09/30/1992,,6.524,,20.41,,,,,
12/31/1992,,-26.537001,,118.764,,,,,
03/31/1993,,15.024,,61.453999,,,,,
06/30/1993,,6.241,,54.117001,,,,,
09/30/1993,,15.264,,-10.403,,,,,
12/31/1993,,24.326,,67.580002,,,,,
03/31/1994,,21.952999,,21.952999,,,,,
06/30/1994,,8.203,,9.606,,,,,
09/30/1994,,16.042,,-20.99,,,,,
12/31/1994,,9.498,,169.710007,,,169.710007,,
03/31/1995,,-48.292,-46.316,-1.976,,,-1.976,,
06/30/1995,,-138.906998,-163.492998,24.586,,,24.586,,
09/30/1995,,-13.536,13.570001,-27.106001,,,-27.106001,,
12/31/1995,,-25.629,,98.296997,,,,,
03/31/1996,,-24.129,,-69.235001,,,,,
