Date,Cash From Operating Activities,Net Income,Depreciation Expense,Amortization - Nuclear Fuel,AFC - Debts & Equity,Deferred Income Taxes,Investment Tax Credits,Other Non-Cash Adjustments,Changes In Restricted Bond Proceeds,Accts Receivable & Unbilled Revenue,Changes in Fossil Fuel,Change In Inventories,Prepayments & Others,Accounts Payable & Accruals,Accrued Taxes,Change in Other Working Capital,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Additions to Utility Plant Less AFC,Changes in Decommissioning Funds,Non-Utility Cap Expenditure,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/2001,832.0,410,490,0.0,0.0,65,0.0,0,0.0,57,0.0,0.0,0.0,-174,0,-16.0,,0.0,-492,-492,0.0,0.0,0.0,0.0,-49,-541,8,-187,257,827,-1029,36,0,104,299.0,
06/30/2001,1144.0,327,449,0.0,0.0,-58,0.0,-24,0.0,11,0.0,-12.0,0.0,454,0,-3.0,,0.0,-445,-445,0.0,0.0,0.0,0.0,-12,-457,-352,-148,-1206,1231,-124,15,0,-120,335.0,
09/30/2001,1119.0,415,542,0.0,0.0,-76,0.0,64,0.0,-210,0.0,53.0,0.0,283,0,48.0,,0.0,-478,-478,0.0,0.0,0.0,0.0,-171,-649,-253,-157,-8,68,-280,42,-18,100,217.0,
03/31/2002,837.0,19,427,0.0,0.0,67,0.0,266,0.0,58,0.0,13.0,0.0,-7,0,-6.0,,0.0,-611,-586,-25.0,0.0,0.0,0.0,-19,-630,4,-152,78,408,-471,18,0,123,211.0,
06/30/2002,817.0,496,421,0.0,0.0,-77,0.0,-140,0.0,-317,0.0,-55.0,0.0,349,0,140.0,,0.0,-522,-468,-54.0,0.0,0.0,0.0,-109,-631,-169,-151,32,293,-226,42,0,-159,17.0,
09/30/2002,974.0,562,436,0.0,0.0,303,0.0,7,0.0,-61,0.0,11.0,30.0,-348,0,34.0,,0.0,-598,-506,-92.0,0.0,0.0,2.0,67,-529,-697,-151,318,255,-1249,4,-18,144,-252.0,
03/31/2003,383.0,361,423,0.0,0.0,-64,0.0,102,0.0,-57,0.0,43.0,0.0,-99,0,-326.0,,0.0,-477,-427,-50.0,0.0,0.0,0.0,20,-457,108,-145,219,951,-963,231,-200,15,34.0,
06/30/2003,909.0,372,423,0.0,0.0,-36,0.0,88,0.0,123,0.0,-59.0,0.0,37,0,-39.0,,0.0,-648,-592,-56.0,0.0,0.0,0.0,118,-530,-392,-140,-319,1162,-516,0,-240,-339,-13.0,
09/30/2003,1269.0,-94,444,0.0,0.0,-263,0.0,1193,0.0,-85,0.0,-39.0,0.0,112,0,1.0,,0.0,-539,-482,-57.0,0.0,0.0,0.0,225,-314,-829,-184,-396,292,-846,390,-192,107,126.0,
12/31/2003,3384.0,905,1718,0.0,0.0,-330,0.0,1334,0.0,21,0.0,-54.0,-84.0,-126,0,,,0.0,-1954,-1954,,0.0,-2564.0,2604.0,-103,-2017,-1332,-620,-355,3318,-3172,181,-50,-634,35.0,
03/31/2004,849.000002,412,445,,,40,,-62,0.0,50,0.0,71.000002,-113.0,-174,180,0.0,,48.0,-508,-437,-71.0,0.0,-8.0,5.0,92,-371,-472,-181,-10,0,-390,106,0,3,6.000002,
06/30/2004,1057.0,521,472,0.0,0.0,-63,0.0,-123,0.0,247,0.0,-57.0,16.0,31,0,12.0,,0.0,-470,-405,-65.0,0.0,0.0,0.0,174,-296,-466,-184,-55,75,-294,34,-75,33,294.0,
09/30/2004,1248.0,569,519,0.0,0.0,160,0.0,-139,0.0,-275,0.0,-34.0,171.0,42,149,86.0,,50.0,-517,-451,-66.0,0.0,0.0,238.0,-309,-538,-949,-202,64,0,-890,52,0,27,-239.0,
12/31/2004,1249.0,363,504,0.0,0.0,65,0.0,527,0.0,99,0.0,-40.0,-39.0,158,-204,-184.0,,0.0,-693,-723,-65.0,0.0,-189.0,0.0,471,-506,-745,-269,165,157,-783,48,-7,-56,-2.0,
03/31/2005,-1008.0,522,478,,,634,,-2042,0.0,101,0.0,74.0,-201.0,-230,-344,0.0,,2.0,-541,-489,-52.0,0.0,-28.0,103.0,-102,-566,1435,-268,1836,91,-316,103,-8,-3,-139.0,
06/30/2005,1295.0,514,483,,,-106,,60,0.0,-48,0.0,-48.0,76.0,-5,368,0.0,,0.0,-573,-518,-55.0,0.0,0.0,28.0,-30,-577,-533,-268,-1697,1697,-266,53,0,-52,185.0,
09/30/2005,1259.0,725,516,0.0,0.0,-41,0.0,-249,0.0,-266,0.0,-80.0,125.0,296,233,0.0,,0.0,-560,-516,-46.0,0.0,0.0,4.0,14,-542,-1109,-268,-183,0,-439,37,-254,-2,-392.0,
12/31/2005,560.0,-837,490,0.0,0.0,6,0.0,1040,0.0,-66,0.0,-64.0,63.0,47,-119,0.0,,0.0,-718,-644,-74.0,0.0,-102.0,0.0,61,-759,186,-268,844,0,-322,29,-100,3,-13.0,
03/31/2006,848.0,400,524,0.0,0.0,-35,0.0,199,0.0,253,0.0,65.0,-139.0,-454,35,0.0,,0.0,-681,-613,-68.0,0.0,-33.0,0.0,1,-713,-101,-267,30,320,-231,81,-54,20,34.0,
06/30/2006,2188.0,1044,1060,0.0,0.0,-81,0.0,166,0.0,230,0.0,11.0,-136.0,-406,300,0.0,,0.0,-1308,-1156,-152.0,0.0,-53.0,1.0,0,-1360,-686,-535,-106,326,-456,107,-53,31,142.0,
09/30/2006,1365.0,-44,561,0.0,0.0,61,0.0,879,0.0,-58,0.0,-34.0,136.0,99,-236,0.0,,0.0,-668,-596,-72.0,0.0,0.0,54.0,-60,-674,-694,-267,-731,594,-299,42,0,-31,-3.0,
12/31/2006,1330.0,591,511,0.0,0.0,93,0.0,26,0.0,-234,0.0,-36.0,0.0,374,5,0.0,,0.0,-730,-666,-64.0,0.0,0.0,0.0,-46,-776,-609,-268,-148,450,-557,35,-132,11,-55.0,
03/31/2007,668.0,691,533,0.0,0.0,-75,0.0,-446,0.0,-295,0.0,141.0,0.0,-200,319,0.0,,0.0,-734,-672,-62.0,0.0,0.0,95.0,-20,-659,147,-296,331,460,-443,98,-37,34,156.0,
06/30/2007,958.0,702,533,0.0,0.0,-53,0.0,53,-42.0,-9,0.0,-72.0,0.0,78,-232,0.0,,0.0,-684,-612,-72.0,0.0,0.0,0.0,-24,-708,-495,-296,17,5,-289,47,0,21,-245.0,
09/30/2007,1887.0,780,577,0.0,0.0,95,0.0,340,23.0,-171,0.0,-65.0,0.0,186,122,0.0,,0.0,-669,-608,-61.0,0.0,0.0,0.0,-29,-698,-884,-297,-168,1121,-337,37,-1171,-69,305.0,
12/31/2007,983.0,563,540,0.0,0.0,-71,0.0,-165,4.0,-110,0.0,5.0,0.0,266,-49,0.0,,0.0,-802,-782,-20.0,0.0,0.0,0.0,-42,-844,-268,-291,131,35,-213,33,0,37,-129.0,
03/31/2008,718.0,581,552,0.0,0.0,51,0.0,-332,11.0,181,0.0,70.0,,-391,-5,0.0,,0.0,-962,-897,-65.0,0.0,0.0,0.0,-143,-1105,238,-330,15,1781,-798,44,-436,-38,-149.0,
06/30/2008,956.0,748,544,0.0,0.0,48,0.0,-723,11.0,-87,0.0,-110.0,-11.0,254,282,0.0,,0.0,-713,-614,-99.0,0.0,0.0,0.0,119,-594,-192,-329,842,188,-983,61,0,29,170.0,
09/30/2008,2693.0,700,629,0.0,0.0,12,0.0,1382,3.0,132,0.0,-118.0,0.0,-227,180,0.0,,0.0,-836,-771,-65.0,0.0,0.0,0.0,58,-778,-2065,-330,-1288,0,-478,17,0,14,-150.0,
12/31/2008,2184.0,707,583,0.0,0.0,263,0.0,736,0.0,-159,,49.0,0.0,500,-495,0.0,,0.0,-891,-835,-56.0,0.0,0.0,0.0,-10,-901,-194,-346,26,296,-177,8,0,-1,1089.0,
03/31/2009,1950.0,712,622,0.0,0.0,-80,0.0,830,0.0,108,,132.0,0.0,-535,161,0.0,,0.0,-771,-712,-59.0,0.0,0.0,0.0,19,-752,-320,-346,-4,249,-233,9,0,5,878.0,
06/30/2009,1097.0,657,631,0.0,0.0,229,0.0,-332,-2.0,178,,-57.0,0.0,131,-338,0.0,,0.0,-802,-732,-70.0,0.0,0.0,0.0,8,-794,-614,-346,-162,236,-352,10,0,0,-311.0,
