Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,268.149994,162.640999,68.498001,94.142998,21.075001,,,0.0,,,,,2.76,,,,186.475998,23.384001,,,0.0,,58.290001,,,,58.290001,81.674002,,11.027,11.027,,0.0,,,,,,114.698998,,,114.698998,125.725998,57.946999,,,,,16.400999,,,,,,16.400999,74.347998,200.073996,0.0,,,,0.0,,67.318001,67.318001,0.758,68.076001,268.149997,
06/30/1990,272.519989,163.931999,71.112999,92.819,21.34,,,0.0,,,,,3.13,,,,188.401993,22.615999,,,0.0,,61.501999,,,,61.501999,84.117998,,7.652,7.652,,0.0,,,,,,114.692002,,,114.692002,122.344002,44.869999,,,,,16.075001,,,,,,16.075001,60.945,183.289002,0.0,,,,0.0,,88.32,88.32,0.911,89.231,272.520002,
09/30/1990,284.179993,174.056999,52.638,121.418999,25.832001,,,0.0,,,,,2.931,,,,202.820007,21.322001,,,0.0,,60.037998,,,,60.037998,81.359999,,9.725,9.725,,0.0,,,,,,115.201003,,,115.201003,124.926003,6.075,,,,,15.023,,,,,,15.023,21.098,146.024003,0.0,,,,0.0,,137.171005,137.171005,0.985,138.156005,284.180008,
12/31/1990,293.274994,113.021,53.939999,59.081001,26.228001,,,0.0,,,,,2.353,,,,141.602005,22.865,43.714001,-20.849001,82.542999,,46.264999,,,,46.264999,151.672998,,13.093,13.093,,,,,,,,126.401003,,,126.401003,139.494003,6.971,,,,,20.111,,,,,,20.111,27.082,166.576003,0.0,124.609001,,,0.0,,1.114,125.723001,0.976,126.699001,293.275004,
03/31/1991,407.079987,161.552001,59.724998,101.827003,36.349998,,,0.0,,,,,3.132,,,,201.033997,25.079,,,134.932007,,46.035,,,,46.035,206.046007,,14.158,14.158,,0.0,,,,,,125.862004,,,125.862004,140.020004,6.61,,,,,18.811001,,,,,,18.811001,25.421001,165.441005,0.0,,,,0.0,,241.005005,241.005005,0.634,241.639005,407.08001,
06/30/1991,432.303986,164.110005,44.103001,120.007004,32.252998,,,0.0,,,,,3.12,,,,199.483002,25.070999,,,158.154999,,49.595001,,,,49.595001,232.820999,,17.729,17.729,,0.0,,,,,,127.078999,,,127.078999,144.807999,5.84,,,,,18.846001,,,,,,18.846001,24.686001,169.494,0.0,,,,0.0,,262.134003,262.134003,0.676,262.810003,432.304003,
09/30/1991,515.120972,187.390007,58.902,128.488007,40.098999,,,0.0,,,,,3.57,,,,231.059006,26.837,,,178.447006,,78.778,,,,78.778,284.062006,,23.003,23.003,,0.0,,,,,,184.053,,,184.053,207.056,4.995,,,,,19.329,,,,,,19.329,24.324,231.38,0.0,229.076004,,,0.0,,53.938,283.014004,0.727,283.741004,515.121004,
12/31/1991,573.955994,251.389999,138.046997,113.343002,45.187,,,0.0,,,,,4.471,,,,301.048004,32.493999,62.088001,-29.594,160.046005,,80.367996,,,,80.367996,272.908,,20.400999,20.400999,,,,,,,,214.099001,,,214.099001,234.5,3.381,,,,,16.51,,,,,,16.51,19.891,254.391,0.0,243.427994,,,0.0,,75.283997,318.711991,0.853,319.564991,573.955991,
03/31/1992,804.286011,241.611008,102.597,139.014008,50.834999,,,0.0,,,,,5.148,,,,297.593994,37.23,,,328.479004,,140.983002,,,,140.983002,506.692006,,27.096001,27.096001,,0.0,,,,,,221.310005,,,221.310005,248.406006,0.0,,,,,15.472,,,,,,15.472,15.472,263.878006,0.0,440.178986,,,0.0,,99.233002,539.411988,0.996,540.407988,804.285994,
06/30/1992,821.088013,123.025004,30.127001,92.898003,56.015999,,,0.0,,,,,5.231,,,,184.272003,39.641998,,,456.128998,,141.044998,,,,141.044998,636.815994,,24.257,24.257,,0.0,,,,,,216.285007,,,216.285007,240.542007,0.0,,,,,10.208,,,,,,10.208,10.208,250.750007,0.0,442.355011,,,0.0,,126.917,569.272011,1.066,570.338011,821.088018,
09/30/1992,893.763,158.757003,62.791,95.966003,58.938,,,0.0,,,,,4.773,,,,222.468002,41.168999,,,485.571991,,144.554001,,,,144.554001,671.294991,,28.464001,28.464001,,0.0,,,,,,246.922992,,,246.922992,275.386993,0.0,,,,,8.54,,,,,,8.54,8.54,283.926993,0.0,452.222992,,,0.0,,156.408005,608.630997,1.205,609.835997,893.76299,
12/31/1992,1102.767944,289.933998,168.703995,121.230003,93.055,,,0.0,,,,,6.866,,,,389.855011,50.846001,107.899002,-57.053001,480.662994,,181.404007,,,,181.404007,712.913002,,45.379002,45.379002,,0.0,,,,,,334.771999,,,334.771999,380.151001,0.406,,,,,2.084,,,,,,2.084,2.49,382.641001,0.0,506.846985,,,0.0,,211.873001,718.719986,1.407,720.126986,1102.767987,
03/31/1993,1126.25,160.130005,69.552002,90.578003,90.977997,,,0.0,,,,,28.921,,,,280.028992,58.259998,,,535.723999,,252.237,,,,252.237,846.220997,,46.474998,46.474998,,,,,,,,363.064003,,,363.064003,409.539001,0.0,,,,,22.323,,,,,,22.323,22.323,431.862001,0.0,467.929993,,,0.0,,224.841995,692.771988,1.616,694.387988,1126.249989,
06/30/1993,1155.569946,97.821,47.742001,50.078999,94.953003,,,0.0,,,,,30.257999,,,,223.031998,63.313,,,617.424011,,251.800995,,,,251.800995,932.538006,,47.59,47.59,,0.0,,,,,,346.204006,,,346.204006,393.794006,0.0,,,,,21.683001,,,,,,21.683001,21.683001,415.477007,0.0,472.229004,,,0.0,,266.209015,738.438019,1.655,740.093019,1155.570026,
09/30/1993,1344.823975,111.801003,59.478001,52.323002,136.304993,,,0.0,,,,,33.835999,,,,281.941986,77.801003,,,724.882996,,260.197998,,,,260.197998,1062.881997,,48.783001,48.783001,,0.0,,,,,,405.667988,,,405.667988,454.450989,0.0,,,,,20.309,,,,,,20.309,20.309,474.759989,0.0,519.265015,,,0.0,,348.972992,868.238007,1.826,870.064007,1344.823996,
12/31/1993,1787.354004,400.869996,228.259995,172.610001,169.074997,,,0.0,,,,,44.022999,,,,613.968018,126.741997,,,713.879028,,332.765015,,,,332.765015,1173.38604,,76.662003,76.662003,,0.0,,,,,,582.072006,,,582.072006,658.734009,0.0,,,,,39.098999,,,,,,39.098999,39.098999,697.833008,0.0,661.049988,,,0.0,,424.359985,1085.409973,4.111,1089.520973,1787.353981,
03/31/1994,1567.878052,219.281998,129.832001,89.449997,145.727005,,,0.0,,,,,46.994999,,,,412.003998,99.203003,,,789.710022,,266.960999,,,,266.960999,1155.874024,,60.035,60.035,,355.165985,,,,,,115.488041,,,115.488041,530.689026,0.671,,,,,19.391001,,,,,,19.391001,20.062001,550.751027,0.0,563.713989,,,0.0,,451.326996,1015.040985,2.086,1017.126985,1567.878012,
06/30/1994,4066.39209,2347.177086,2253.413086,93.764,172.669006,,,0.0,,,,,65.349998,,,,2585.196045,140.753998,,,1018.718994,,321.722992,,,,321.722992,1481.195984,,102.733002,102.733002,,,,,,,,1333.572052,,,1333.572052,1436.305054,0.0,,,,,27.122999,,,,,,27.122999,27.122999,1463.428053,0.0,705.898987,,,0.0,,1892.016968,2597.915955,5.048,2602.963955,4066.392008,
09/30/1994,3529.056885,1843.727035,1662.535034,181.192001,157.938995,,,0.0,,,,,60.935001,,,,2062.601074,143.440994,,,1000.721008,,322.294006,,,,322.294006,1466.456008,,74.303001,74.303001,,,,,,,,723.82798,,,723.82798,798.130981,0.0,,,,,23.955999,,,,,,23.955999,23.955999,822.08698,0.0,732.767029,,,0.0,,1969.005981,2701.77301,5.197,2706.97001,3529.05699,
12/31/1994,3489.479004,1654.335953,1519.04895,135.287003,167.369003,,,0.0,,,,,86.510002,,,,1908.214966,162.597,273.431,-110.834,1115.053955,,303.613007,,,,303.613007,1581.263962,,66.938004,66.938004,,0.0,,,,,,597.363998,,,597.363998,664.302002,0.0,,,,,24.275,,,,,,24.275,24.275,688.577002,0.0,754.200012,,,0.0,,2041.255981,2795.455993,5.446,2800.901993,3489.478995,
03/31/1995,3700.831055,945.073029,594.314026,350.759003,202.080002,,,0.0,,,,,74.598,,,,1221.750977,180.712006,,,1488.75,,809.617981,,,,809.617981,2479.079987,,103.879997,103.879997,,,,,,,,662.244026,,,662.244026,766.124023,0.0,,,,,25.142,,,,,,25.142,25.142,791.266023,0.0,761.239014,,,0.0,,2142.47998,2903.718994,5.846,2909.564994,3700.831017,
06/30/1995,3755.986084,1031.171997,672.257996,358.914001,217.681,,,0.0,,,,,55.262001,,,,1304.11499,187.591003,,,1456.333008,,807.947021,,,,807.947021,2451.871032,,83.522003,83.522003,,0.0,,,,,,620.141022,,,620.141022,703.663025,20.545,,,,,0.0,,,,,,0.0,20.545,724.208025,0.0,770.921997,,,0.0,,2254.481934,3025.403931,6.374,3031.777931,3755.985956,
