Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1996,20497,1811,68,1743,1382,,,633,,,,,644,,,4470,13305,20348.0,-7043.0,0.0,2722,,,,,2722,16027,,1068,1068,,,,554,,,,,,3944,,,3944,5566,4542,,,,,4721,,,4721,9263,14829,0.0,3257,,,0.0,,2411,5668,0.0,5668,20497,
03/31/1997,20323,1746,89,1657,1493,,,611,,,,,661,,,4511,13054,,,0.0,2758,,,,,2758,15812,,990,990,,,,430,,,,,,3879,,,3879,5299,4411,,,,,4789,,,4789,9200,14499,0.0,3261,,,0.0,,2563,5824,0.0,5824,20323,
06/30/1997,20703,2199,22,2177,1524,,,613,,,,,639,,,4975,13018,20471.0,-7453.0,0.0,2710,,,,,2710,15728,,959,959,,,,432,,,,,,4051,,,4051,5442,4406,,,,,4849,,,4849,9255,14697,0.0,3298,,,-158.0,,2866,6006,0.0,6006,20703,
09/30/1997,21339,2918,27,2891,1546,,,629,,,,,613,,,5706,12914,20611.0,-7697.0,0.0,2719,,,,,2719,15633,,1178,1178,,,,601,,,,,,4458,,,4458,6237,4169,,,,,4943,,,4943,9112,15349,0.0,3253,,,-452.0,,3189,5990,0.0,5990,21339,
12/31/1997,20859,2432,62,2370,1301,,,626,,,626.0,,627,,,4986,13159,20975.0,-7816.0,0.0,2714,1270.0,,,,1444,15873,,1028,1028,,,,530,,,,,,4014,,,4014,5572,3877,,,,,5194,,,5194,9071,14643,0.0,3286,,,-485.0,,3415,6216,0.0,6216,20859,
03/31/1998,21294,2181,124,2057,1596,,,636,0.0,0.0,636.0,0.0,632,,,5045,13382,21466.0,-8084.0,0.0,2867,937.0,,,,1930,16249,,1130,1130,,,,504,,,,,,4056,,,4056,5690,3819,,,,,5385,,,5385,9204,14894,0.0,3272,,,-562.0,,3690,6400,0.0,6400,21294,
06/30/1998,21945,2232,108,2124,1753,,,651,0.0,0.0,651.0,0.0,625,,,5261,13717,22009.0,-8292.0,0.0,2967,930.0,,,,2037,16684,,1104,1104,,,,514,,,,,,4257,,,4257,5875,3845,,,,,5584,,,5584,9429,15304,0.0,3255,,,-699.0,,4085,6641,0.0,6641,21945,
09/30/1998,22194,2252,72,2180,1732,,,609,0.0,0.0,609.0,0.0,596,,,5189,14035,22454.0,-8419.0,0.0,2970,923.0,,,,2047,17005,,1287,1287,,,,343,,,,,,4319,,,4319,5949,3972,,,,,5713,,,5713,9685,15634,0.0,3250,,,-1201.0,,4511,6560,0.0,6560,22194,
12/31/1998,22303,2073,95,1978,1543,,,596,,,596.0,,663,,,4875,14386,22981.0,-8595.0,0.0,3042,1228.0,,,,1814,17428,,1152,1152,,,,202,,,,,,4285,,,4285,5639,4200,,,,,5766,,,5766,9966,15605,0.0,3257,,,-1288.0,,4729,6698,0.0,6698,22303,
03/31/1999,22224,1183,62,1121,1704,1704.0,,639,,,,,714,,,4240,15089,15089.0,,,2895,909.0,,,,1986,17984,,1233,1233,,,,412,247.0,165.0,165.0,,,4328,,,4328,5973,4023,2311.0,1712.0,1712.0,,5770,,,5770,9793,15766,0.0,3252,,,-1681.0,4891.0,-4,6458,0.0,6458,22224,
06/30/1999,23511,1565,79,1486,1689,1689.0,,657,,,,,702,,,4613,15834,15834.0,,,3064,901.0,,,,2163,18898,,1245,1245,,,,448,282.0,166.0,166.0,,,4611,,,4611,6304,4643,2959.0,1684.0,1684.0,,6126,,,6126,10769,17073,0.0,3240,,,-1910.0,5112.0,-4,6438,0.0,6438,23511,
09/30/1999,24364,1965,96,1869,1742,1742.0,,703,,,,,702,,,5112,16364,16364.0,,,2888,894.0,,,,1994,19252,,1249,1249,,,,475,307.0,168.0,168.0,,,4785,,,4785,6509,5217,3525.0,1692.0,1692.0,,6140,,,6140,11357,17866,0.0,3243,,,-2111.0,5370.0,-4,6498,0.0,6498,24364,
12/31/1999,24374,1791,85,1706,1134,,,708,0.0,0.0,708.0,0.0,791,,,4424,16287,25037.0,-8750.0,0.0,3663,1191.0,,,,2472,19950,,1115,1115,,,,538,,,,,,4214,,,4214,5867,5689,,,,,5960,,,5960,11649,17516,0.0,3243,,,-2101.0,,5716,6858,0.0,6858,24374,
03/31/2000,24314,1969,76,1893,1493,1493.0,,717,,,,,820,,,4999,16734,16734.0,,,2581,880.0,,,,1701,19315,,1231,1231,,,,472,241.0,231.0,231.0,,,4576,,,4576,6279,5544,4018.0,1526.0,1526.0,,6069,,,6069,11613,17892,0.0,3229,,,-2075.0,5270.0,-2,6422,0.0,6422,24314,
06/30/2000,25473,2397,128,2269,1447,1447.0,,713,,,,,820,,,5377,17522,17522.0,,,2574,872.0,,,,1702,20096,,1273,1273,,,,742,496.0,246.0,246.0,,,5091,,,5091,7106,5395,3930.0,1465.0,1465.0,,6198,,,6198,11593,18699,0.0,3181,,,-2002.0,5597.0,-2,6774,0.0,6774,25473,
09/30/2000,25899,2334,171,2163,1496,1496.0,,730,,,,,792,,,5352,18047,18047.0,,,2500,865.0,,,,1635,20547,,1299,1299,,,,768,495.0,273.0,273.0,,,5213,,,5213,7280,5198,3795.0,1403.0,1403.0,,6328,,,6328,11526,18806,0.0,3156,,,-1968.0,5907.0,-2,7093,0.0,7093,25899,
12/31/2000,26213,2233,89,2144,1303,1303.0,,757,0.0,0.0,757.0,0.0,886,,,5179,18636,28157.0,-9521.0,0.0,2398,1143.0,,,,1255,21034,,1267,1267,,,,796,569.0,227.0,227.0,,,4927,,,4927,6990,5474,4151.0,1323.0,1323.0,,6573,,,6573,12047,19037,0.0,3093,,,-1865.0,5950.0,-2,7176,0.0,7176,26213,
03/31/2001,26534,1558,172,1386,1383,1383.0,,727,,,,,905,,,4573,19075,19075.0,,,2886,1131.0,,,,1755,21961,,1261,1261,,,,696,451.0,245.0,245.0,,,4787,,,4787,6744,5877,4669.0,1208.0,1208.0,,6680,,,6680,12557,19301,0.0,3025,,,-1771.0,5907.0,72,7233,0.0,7233,26534,
06/30/2001,29002,1487,265,1222,1670,1670.0,,883,,,,,1134,,,5174,20008,20008.0,,,3820,1411.0,,,,2409,23828,,1495,1495,,,,613,301.0,312.0,312.0,,,5786,,,5786,7894,7167,5554.0,1613.0,1613.0,,7201,,,7201,14368,22262,0.0,2998,,,-1728.0,5402.0,68,6740,0.0,6740,29002,
09/30/2001,31840,2340,69,2271,1829,1829.0,,871,,,,,1041,,,6081,19854,19854.0,,,5905,1350.0,,,,4555,25759,,1613,1613,,,,776,509.0,267.0,267.0,,,5714,,,5714,8103,8098,6491.0,1607.0,1607.0,,9408,,,9408,17506,25609,0.0,2992,,,-1719.0,4986.0,-28,6231,0.0,6231,31840,
12/31/2001,32841,2992,120,2872,1414,,,822,0.0,0.0,822.0,0.0,1312,,,6540,19655,29659.0,-10004.0,0.0,6646,2717.0,1392.0,1325.0,,3929,26301,,1785,1785,,,,772,556.0,216.0,216.0,,,4955,,,4955,7512,9834,8310.0,1524.0,1524.0,,10122,,,10122,19956,27468,0.0,3047,,,-1716.0,,4042,5373,0.0,5373,32841,
03/31/2002,32963,2315,134,2181,1839,1839.0,,758,,,,,1340,,,6252,19952,19952.0,,,6759,2717.0,2230.0,487.0,,4042,26711,,1462,1462,,,,711,520.0,191.0,191.0,,,5214,,,5214,7387,10238,8784.0,1454.0,1454.0,,10460,,,10460,20698,28085,0.0,3029,,,-1693.0,3613.0,-71,4878,0.0,4878,32963,
06/30/2002,32889,2563,195,2368,1556,1556.0,,743,,,,,986,,,5848,20084,20084.0,,,6957,2661.0,1351.0,1310.0,,4296,27041,,1559,1559,,,,497,350.0,147.0,147.0,,,5403,,,5403,7459,10616,9172.0,1444.0,1444.0,,10419,,,10419,21035,28494,0.0,2994,,,-1645.0,3118.0,-72,4395,0.0,4395,32889,
09/30/2002,31502,2830,123,2707,1563,1563.0,,648,,,,,946,,,5987,19741,19741.0,,,5774,1299.0,,,,4475,25515,,1360,1360,,,,550,405.0,145.0,145.0,,,5308,,,5308,7218,11931,10509.0,1422.0,1422.0,,9842,,,9842,21773,28991,0.0,2988,,,-1638.0,1206.0,-45,2511,0.0,2511,31502,
12/31/2002,30267,1950,104,1846,858,858.0,,627,,,,,1502,,,4937,19694,29073.0,-9379.0,,5636,1292.0,,,,4344,25330,,1198,1198,,,,868,713.0,155.0,155.0,,,5174,,,5174,7240,12310,10888.0,1422.0,1422.0,,9760,,,9760,22070,29310,0.0,2977,,,-1621.0,677.0,-1076,957,0.0,957,30267,
03/31/2003,29086,1272,157,1115,873,873.0,,618,,,,,871,,,3634,19750,19750.0,,,5702,1277.0,,,,4425,25452,,1052,1052,,,,807,649.0,158.0,158.0,,,5214,,,5214,7073,12345,10995.0,1350.0,1350.0,,9770,,,9770,22115,29188,0.0,2962,,,-1602.0,-366.0,-1096,-102,0.0,-102,29086,
06/30/2003,29220,1827,157,1670,873,873.0,,557,,,,,990,,,4247,19848,19848.0,,,5125,1270.0,,,,3855,24973,,1100,1100,,,,722,564.0,158.0,158.0,,,5259,,,5259,7081,12535,11241.0,1294.0,1294.0,,10106,,,10106,22641,29722,0.0,2810,,,-1433.0,-441.0,-1438,-502,0.0,-502,29220,
09/30/2003,29943,2724,158,2566,885,885.0,,527,,,,,940,,,5076,19765,19765.0,,,5102,1263.0,,,,3839,24867,,1075,1075,,,,738,538.0,200.0,200.0,,,5319,,,5319,7132,13167,11933.0,1234.0,1234.0,,10165,,,10165,23332,30464,0.0,2794,,,-1414.0,-440.0,-1461,-521,0.0,-521,29943,
