Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,6583.672852,84.195,84.195,0.0,500.690002,,,952.896973,,,,,64.404999,,,,,1602.187012,4509.978027,9349.927734,-4839.950195,4.643,,466.86499,,,,,,466.86499,4981.486018,,417.735992,417.735992,,,,169.464996,,,,,,609.722961,,,609.722961,1196.92395,2264.875977,,,,,519.106995,,,,519.106995,2783.982971,3980.906921,0.0,307.90799,,,0.0,,2294.85791,2602.7659,0.0,2602.7659,6583.672821,
06/30/1990,6514.953125,99.782997,99.782997,0.0,383.321014,,,927.439026,,,,,67.870003,,,,,1478.412964,4563.148926,9620.662109,-5057.513184,4.747,,468.644012,,,,,,468.644012,5036.539938,,289.466003,289.466003,,,,160.692993,,,,,,579.251038,,,579.251038,1029.410034,2376.253906,,,,,557.63501,,,,557.63501,2933.888916,3963.29895,0.0,311.346985,,,0.0,,2240.306885,2551.65387,0.0,2551.65387,6514.95282,
09/30/1990,7894.578125,162.274002,162.274002,0.0,928.978027,,,1269.657959,,,,,152.416,,,,,2513.325928,4854.199219,10145.458984,-5291.259766,4.605,,522.447998,,,,,,522.447998,5381.252217,,791.539978,791.539978,,,,313.576996,,,,,,871.110077,,,871.110077,1976.227051,2391.668945,,,,,659.390015,,,,659.390015,3051.05896,5027.286011,0.0,312.483002,,,0.0,,2554.809082,2867.292084,0.0,2867.292084,7894.578094,
12/31/1990,9056.635742,129.914001,129.914001,0.0,1582.67395,,,1345.732056,,,,,221.565002,,,,,3279.88501,5563.583984,11157.983398,-5594.398926,4.599,,208.567993,,,,,,208.567993,5776.750977,,1442.001953,1442.001953,,,,393.311005,,,,,,841.328155,,,841.328155,2676.641113,2531.974121,,,,,741.992004,,,,741.992004,3273.966125,5950.607238,0.0,312.518005,,,0.0,,2793.510986,3106.028991,0.0,3106.028991,9056.636229,
03/31/1991,7812.685059,150.875,150.875,0.0,1040.477051,,,807.674011,,,,,178.979004,,,,,2178.004883,5480.491211,11107.461914,-5626.971191,4.599,,149.589996,,,,,,149.589996,5634.680207,,1046.51001,1046.51001,,,,132.231995,,,,,,688.654968,,,688.654968,1867.396973,2089.226074,,,,,769.901001,,,,769.901001,2859.127075,4726.524048,0.0,312.540009,,,0.0,,2773.621094,3086.161102,0.0,3086.161102,7812.68515,
06/30/1991,7833.870117,82.471001,82.471001,0.0,1000.03302,,,876.755005,,,,,169.925003,,,,,2129.184082,5549.476074,11248.824219,-5699.348145,4.645,,150.565002,,,,,,150.565002,5704.686077,,911.549011,911.549011,,,,91.456001,,,,,,686.619987,,,686.619987,1689.625,2326.705078,,,,,710.219971,,,,710.219971,3036.925049,4726.550049,0.0,320.988007,,,0.0,,2786.332031,3107.320038,0.0,3107.320038,7833.870087,
09/30/1991,8388.955078,125.346001,125.346001,0.0,888.267029,,,1095.177979,,,,,185.766006,,,,,2294.556885,5949.225098,11929.878906,-5980.653809,4.654,,140.518997,,,,,,140.518997,6094.398095,,810.179016,810.179016,,,,154.078995,,,,,,652.078049,,,652.078049,1616.33606,2834.50293,,,,,789.776978,,,,789.776978,3624.279907,5240.615967,0.0,320.984985,,,0.0,,2827.354004,3148.338989,0.0,3148.338989,8388.954956,
12/31/1991,8841.43457,120.169998,120.169998,0.0,1016.054016,,,975.406982,,,,,364.503998,,,,,2476.13501,6190.600098,12529.832031,-6339.231934,0.0,,174.699997,,,,,,174.699997,6365.300095,,1046.331055,1046.331055,,,,243.542999,,,,,,560.890961,,,560.890961,1850.765015,3022.6521,,,,,836.036011,,,,836.036011,3858.688111,5709.453126,0.0,320.764008,,,0.0,,2811.218018,3131.982026,0.0,3131.982026,8841.435152,
03/31/1992,8266.231445,88.814003,88.814003,0.0,870.343994,,,801.960999,,,,,184.425003,,,,,1945.543945,6153.606934,12556.037109,-6402.430176,0.0,,167.080002,,,,,,167.080002,6320.686935,,797.19397,797.19397,,,,107.461998,,,,,,515.874062,,,515.874062,1420.530029,3067.525879,,,,,748.609985,,,,748.609985,3816.135864,5236.665894,0.0,321.09201,,,0.0,,2708.4729,3029.564911,0.0,3029.564911,8266.230804,
06/30/1992,8762.551758,126.693001,126.693001,0.0,813.283997,,,946.590027,,,,,221.546005,,,,,2108.113037,6488.682129,13262.621094,-6773.938965,0.0,,165.757004,,,,,,165.757004,6654.439133,,879.843994,879.843994,,,,102.790001,,,,,,581.987953,,,581.987953,1564.621948,2769.988037,,,,,841.140015,,,,841.140015,3611.128052,5175.75,0.0,817.849976,,,0.0,,2768.951904,3586.80188,0.0,3586.80188,8762.55188,
