Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1993,12.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.893,,,2.893,2.893,,53.751999,0.055,0.055,,53.751999,0.055,0.055,0.055,
06/30/1993,16.424999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.464,,,3.464,3.464,,56.568001,0.06,0.06,,56.568001,0.06,0.06,0.06,
09/30/1993,14.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66,,,3.66,3.66,,56.556,0.065,0.065,,56.556,0.065,0.065,0.065,
12/31/1993,16.646999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.011,,,4.011,4.011,,64.092003,0.0625,0.0625,,64.092003,0.0625,0.0625,0.0625,
03/31/1994,13.856,,,-8.43,,,5.426,,-1.519,,,,3.907,0.614,,0.022,,0.0,-0.636,4.521,-1.585,,,,2.936,0.0,,,2.936,0.0,2.936,0.0,,2.936,2.936,,71.475998,0.04,0.04,,71.475998,0.04,0.04,0.04,
06/30/1994,16.399,,,-9.845,,,6.554,,-1.415,,,,5.139,0.358,,0.047,,0.0,-0.405,5.497,-2.057,,,,3.44,0.0,,,3.44,0.0,3.44,0.0,,3.44,3.44,,71.428001,0.0475,0.0475,,71.428001,0.0475,0.0475,0.0475,
09/30/1994,18.947001,,,-11.993,,,6.954,,-0.604,,,,6.35,0.308,,0.269,,0.0,-0.577,6.658,-2.341,,,,4.317,0.0,,,4.317,0.0,4.317,0.0,,4.317,4.317,,72.192001,0.06,0.06,,72.192001,0.06,0.06,0.06,
12/31/1994,20.525999,,,-13.405,,,7.120999,,-1.348,,,,5.773,0.099,,0.025,,0.0,-0.124,5.872,-2.125,,,,3.747,0.0,,,3.747,0.0,3.747,0.0,,3.747,3.747,,72.168,0.0525,0.0525,0.0525,72.168,0.0525,0.0525,0.0525,
03/31/1995,19.028999,,,-12.656,,,6.372999,,-1.469,,,,4.904,0.328,,0.074,,0.0,-0.402,5.232,-1.829,,,,3.403,0.0,,,3.403,0.0,3.403,0.0,,3.403,3.403,,71.683998,0.0475,0.0475,,71.683998,0.0475,0.0475,0.0475,
06/30/1995,24.811001,,,-16.643,,,8.168001,,-1.527,,,,6.641,0.154,,0.056,,0.0,-0.21,6.795,-2.378,,,,4.417,0.0,,,4.417,0.0,4.417,0.0,,4.417,4.417,,72.396004,0.06,0.06,,72.396004,0.06,0.06,0.06,
