Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1991,1.67825,,,-2.491,,-0.81275,,-0.667,,,,-1.48008,0.346899,,0.001638,,,0.0,,-0.348537,-1.133181,0.0,,,-1.133181,0.0,,,-1.133181,0.0,-1.133181,0.0,,-1.133181,-1.133181,,15.364703,-0.07,-0.07,,15.364703,-0.07,-0.07,-0.07,
06/30/1991,1.741684,,,-2.865,,-1.123316,,-0.744,,,,-1.867093,1.526071,,0.005677,,,0.0,,-1.531748,-0.341022,0.0,,,-0.341022,0.0,,,-0.341022,0.0,-0.341022,0.0,,-0.341022,-0.341022,,15.364171,-0.02,-0.02,,15.364171,-0.02,-0.02,-0.02,
09/30/1991,1.87199,,,-2.435,,-0.56301,,-2.043,,,,-2.606,1.729426,,0.023773,,,0.0,,-1.753199,-0.876574,0.0,,,-0.87722,0.0,,,-0.876574,0.0,-0.87722,0.0,,-0.87722,-0.87722,,15.363667,-0.06,-0.06,,15.363667,-0.06,-0.06,-0.06,
12/31/1991,2.020888,,,-4.995,,-2.974112,,-0.647,,,,-3.62059,1.503905,,0.05749,,,0.0,,-1.561395,-2.116685,0.0,,,-2.116685,0.0,,,-2.116685,0.0,-2.116685,0.0,,-2.116685,-2.116685,,15.364,-0.14,-0.14,,15.364,-0.14,-0.14,-0.14,
03/31/1992,2.1572,,,-4.978,,-2.8208,,-1.679,,,,-4.499744,1.222519,,0.138543,,,0.0,,-1.361062,-3.277225,0.0,,,-3.277225,0.0,,,-3.277225,0.0,-3.277225,0.0,,-3.277225,-3.277225,,15.361679,-0.21,-0.21,,15.361679,-0.21,-0.21,-0.21,
06/30/1992,1.896401,,,-5.024,,-3.127599,,-1.706,,,,-4.833738,1.135022,,0.176034,,,0.0,,-1.311056,-3.698716,0.0,,,-3.698716,0.0,,,-3.698716,0.0,-3.698716,0.0,,-3.698716,-3.698716,,15.349741,-0.24,-0.24,,15.349741,-0.24,-0.24,-0.24,
09/30/1992,1.25,,,-6.44,,-5.19,,-1.575,,,,-6.76488,1.001838,,0.194802,,,0.0,,-1.19664,-5.763042,0.0,,,-5.763042,0.0,,,-5.763042,0.0,-5.763042,0.0,,-5.763042,-5.763042,,15.349425,-0.38,-0.38,,15.349425,-0.38,-0.38,-0.38,
12/31/1992,1.25,,,-6.672,,-5.422,,-1.838,,,,-7.26,0.887106,,0.226804,,,0.0,,-1.11391,-6.372894,0.0,,,-6.373,0.0,,,-6.372894,0.0,-6.373,0.0,,-6.373,-6.373,,15.353,-0.42,-0.42,,15.353,-0.42,-0.42,-0.42,
03/31/1993,1.25,,,-8.948,,-7.698,,-2.266,,,,-9.964,0.646,,0.242,,,0.0,,-0.888,-9.318,0.0,,,-9.318,0.0,,,-9.318,0.0,-9.318,0.0,,-9.318,-9.318,,15.361,-0.61,-0.61,,15.361,-0.61,-0.61,-0.61,
06/30/1993,1.25,,,-8.981,,-7.731,,-2.146,,,,-9.877,0.448,,0.26,,,0.0,,-0.708,-9.429,0.0,,,-9.429,0.0,,,-9.429,0.0,-9.42889,0.0,,-9.42889,-9.42889,,15.35177,-0.61,-0.61,,15.35177,-0.61,-0.61,-0.61,
