Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2009,4191.2,57.8,57.8,,877.6,353.0,,297.7,149.4,,148.3,,136.3,,,,,1369.4,590.2,1443.8,-853.6,,2231.6,2173.9,1363.3,810.6,57.7,2821.8,,235.4,235.4,,,,1.2,1.2,0.0,0.0,,,316.4,,,,316.4,553.0,3248.8,3248.8,0.0,0.0,,548.7,,,548.7,3797.5,4350.5,,670.5,,,0.0,-742.6,-90.1,-162.2,2.9,-159.3,4191.2,
09/30/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
12/31/2010,4257.6,60.7,60.7,0.0,945.9,374.2,571.7,332.1,140.7,39.1,152.3,0.0,127.3,0.0,1.8,,85.3,1466.0,550.0,1461.3,-911.3,0.0,2241.6,2163.7,1364.9,798.8,76.1,2791.6,,570.6,252.8,0.0,0.0,317.8,3.0,3.0,0.0,0.0,,0.0,2.9,0.0,0.0,267.4,0.0,576.5,3230.8,3230.8,0.0,0.0,,507.0,0.0,136.0,103.6,3737.8,4314.3,0.0,703.3,0.0,703.3,0.0,-793.0,29.5,-60.2,3.5,-56.7,4257.6,
09/30/2011,3840.9,127.6,127.6,0.0,404.6,391.8,12.8,368.8,195.5,0.0,173.3,0.0,114.1,,,,111.6,1015.1,538.1,1486.8,-948.7,0.0,2287.7,2158.7,1366.5,792.2,129.0,2825.8,,807.3,258.4,,548.9,,59.7,59.7,,,,,279.2,,,258.2,277.5,1146.2,16.8,16.8,,,,549.5,,187.8,103.5,566.3,1712.5,0.0,2864.7,1.6,2863.1,0.0,-635.4,-104.4,2124.9,3.5,2128.4,3840.9,
12/31/2011,3637.9,120.8,120.8,0.0,346.1,346.1,0.0,336.3,137.1,39.9,159.3,0.0,150.3,0.0,6.0,,104.8,953.5,525.8,1477.4,-951.6,0.0,2158.6,2069.5,1366.6,702.9,83.1,2684.4,,572.2,260.7,0.0,0.0,311.5,21.3,3.8,0.0,0.0,,17.5,4.3,0.0,0.0,204.1,0.0,597.8,389.3,389.3,0.0,0.0,,526.3,0.0,248.2,74.0,915.6,1513.4,0.0,2188.0,1.6,2186.4,-0.1,-77.7,10.6,2120.8,3.7,2124.5,3637.9,
03/31/2012,3647.5,120.6,120.6,0.0,379.3,379.3,0.0,350.7,135.0,40.7,175.0,0.0,123.3,,,,121.4,973.9,515.0,1472.4,-957.4,0.0,2158.6,2068.8,1367.4,701.4,89.8,2673.6,,254.7,254.7,,,,21.8,4.3,,,,17.5,240.4,,,213.4,239.2,516.9,409.3,409.3,,,,537.8,,250.0,74.4,947.1,1464.0,0.0,2234.6,1.6,2233.0,-3.9,-65.2,15.0,2180.5,3.0,2183.5,3647.5,
06/30/2012,3726.0,147.2,147.2,0.0,405.2,405.2,0.0,385.5,151.2,38.3,196.0,0.0,130.2,,,,128.0,1068.1,509.9,1479.7,-969.8,0.0,2148.0,2062.5,1366.4,696.1,85.5,2657.9,,287.8,287.8,,,,22.1,4.6,,,,17.5,286.5,,,213.3,285.1,596.4,339.3,339.3,,,,540.1,,252.1,74.7,879.4,1475.8,0.0,2257.8,1.6,2256.2,-3.9,-17.4,10.5,2247.0,3.2,2250.2,3726.0,
09/30/2012,3784.5,216.1,216.1,0.0,407.1,407.1,0.0,392.3,160.7,36.8,194.8,0.0,122.9,,,,121.8,1138.4,497.8,1479.3,-981.5,0.0,2148.3,2066.5,1368.4,698.1,81.8,2646.1,,253.5,253.5,,,,5.3,5.3,,,,0.0,339.0,,,205.0,336.1,597.8,339.3,339.3,,,,513.1,,229.9,78.2,852.4,1450.2,0.0,2291.2,1.6,2289.6,-7.2,22.6,24.3,2330.9,3.4,2334.3,3784.5,
12/31/2012,3873.9,336.0,336.0,0.0,381.7,381.7,0.0,357.2,144.3,38.6,174.3,0.0,153.0,0.0,1.8,,96.2,1227.9,509.4,1491.2,-981.8,0.0,2136.6,2065.0,1381.4,683.6,69.8,2646.0,,287.0,287.0,0.0,0.0,0.0,28.0,5.5,0.0,0.0,,22.5,317.4,0.0,0.0,224.0,315.3,632.4,297.5,297.5,0.0,0.0,,559.3,0.0,252.7,82.6,856.8,1489.2,0.0,2326.4,1.6,2324.8,-16.9,41.0,30.6,2381.1,3.6,2384.7,3873.9,
03/31/2013,3823.8,258.9,258.9,0.0,429.1,429.1,0.0,380.0,148.2,40.6,191.2,0.0,131.2,,,0.0,129.3,1199.2,499.5,1485.4,-985.9,0.0,2125.1,2057.8,1379.9,677.9,67.3,2624.6,,300.9,300.9,,,,28.9,6.4,,,,22.5,229.9,0.0,0.0,225.5,229.2,559.7,297.5,297.5,,,,505.4,,200.7,79.2,802.9,1362.6,0.0,2356.4,1.6,2354.8,-33.9,78.3,57.7,2458.5,2.7,2461.2,3823.8,
