Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,10208,335,335,,1558,,,,2180,,,,,101,,,,,4174,3375,5966.0,-2591.0,992,,1667,,,,,1667,6034,,1055,1055,,,,632,,,,,,1675,,,1675,3362,1888,,,,,1620,,,,1620,3508,6870,,2747,,,-1434.0,,2025.0,3338,,3338,10208,
06/30/1990,10413,292,292,,1613,,,,2201,,,,,110,,,,,4216,3399,6086.0,-2687.0,1117,,1681,,,,,1681,6197,,1064,1064,,,,1000,,,,,,1658,,,1658,3722,1747,,,,,1617,,,,1617,3364,7086,,2747,,,-1491.0,,2071.0,3327,,3327,10413,
09/30/1990,10438,276,276,,1600,,,,2194,,,,,111,,,,,4181,3402,6085.0,-2683.0,1183,,1672,,,,,1672,6257,,1031,1031,,,,1020,,,,,,1591,,,1591,3642,1809,,,,,1673,,,,1673,3482,7124,,2747,,,-1592.0,,2159.0,3314,,3314,10438,
12/31/1990,10456,382,382,,1452,,,,25168,,,,,314,,,,,4316,3584,6435.0,-2851.0,1139,,1417,,,,,1417,6140,,1256,1256,,,,697,,,,,,1471,,,1471,3424,2051,,,,,1601,,,,1601,3652,7076,,2747,,,-1578.0,,2211.0,3380,,3380,10456,
03/31/1991,10520,270,270,,1542,,,,2187,,,,,299,,,,,4298,3601,6546.0,-2945.0,1179,,1442,,,,,1442,6222,,1062,1062,,,,1066,,,,,,1361,,,1361,3489,2046,,,,,1555,,,,1555,3601,7090,,2747,,,-1531.0,,2214.0,3430,,3430,10520,
06/30/1991,10464,286,286,,1558,,,,2093,,,,,317,,,,,4254,3570,6574.0,-3004.0,1219,,1421,,,,,1421,6210,,1033,1033,,,,880,,,,,,1495,,,1495,3408,2068,,,,,1573,,,,1573,3641,7049,,2747,,,-1493.0,,2161.0,3415,,3415,10464,
09/30/1991,10324,335,335,,1456,,,,2015,,,,,405,,,,,4211,3520,6619.0,-3099.0,1166,,1427,,,,,1427,6113,,1002,1002,,,,814,,,,,,1780,,,1780,3596,2108,,,,,1783,,,,1783,3891,7487,,2747,,,-1453.0,,1543.0,2837,,2837,10324,
12/31/1991,10382,238,238,,1445,,,,1996,,,,,450,,,,,4129,3638,6862.0,-3224.0,1179,,1436,,,,,1436,6253,,1073,1073,,,,881,,,,,,1649,,,1649,3603,1914,,,,,1882,,,,1882,3796,7399,,2747,,,-1423.0,,1659.0,2983,,2983,10382,
03/31/1992,10450,316,316,,1559,,,,1975,,,,,433,,,,,4283,3613,6928.0,-3315.0,1128,,1426,,,,,1426,6167,,1042,1042,,,,1022,,,,,,1696,,,1696,3760,1716,,,,,1823,,,,1823,3539,7299,,2748,,,-1347.0,,1750.0,3151,,3151,10450,
06/30/1992,10509,400,400,,1652,,,,1899,,,,,418,,,,,4369,3631,7042.0,-3411.0,1072,,1437,,,,,1437,6140,,1077,1077,,,,858,,,,,,1751,,,1751,3686,1755,,,,,1760,,,,1760,3515,7201,,2748,,,-1327.0,,1887.0,3308,,3308,10509,
09/30/1992,10392,539,539,0.0,1629,,,,1953,,,,,706,,,,,4827,3729,7324.0,-3595.0,398,,1438,,,,,1438,5565,,1111,1111,,,,591,,,,,,1699,,,1699,3401,1811,,,,,1693,,,,1693,3504,6905,0.0,2749,,,-1315.0,,2053.0,3487,0.0,3487,10392,
12/31/1992,10756,931,931,0.0,1306,,,,1871,,,,,811,,,,,4919,3897,7629.0,-3732.0,120,,1820,,,,,1820,5837,,1221,1221,,,,336,,,,,,1948,,,1948,3505,1777,,,,,3223,,,,3223,5000,8505,0.0,2782,,,-1336.0,,805.0,2251,0.0,2251,10756,
03/31/1993,10620,802,802,0.0,1532,,,,1859,,,,,592,,,,,4785,3872,7705.0,-3833.0,469,,1494,,,,,1494,5835,,1090,1090,,,,540,,,,,,1849,,,1849,3479,1577,,,,,3262,,,,3262,4839,8318,0.0,2787,,,0.0,,-485.0,2302,0.0,2302,10620,
06/30/1993,10703,877,877,0.0,1512,,,,1850,,,,,591,,,,,4830,3910,7817.0,-3907.0,460,,1503,,,,,1503,5873,,1117,1117,,,,331,,,,,,2024,,,2024,3472,1571,,,,,3274,,,,3274,4845,8317,0.0,2792,,,-1446.0,,1040.0,2386,0.0,2386,10703,
09/30/1993,10482,802,802,0.0,1349,,,,1846,,,,,581,,,,,4578,3909,7903.0,-3994.0,477,,1518,,,,,1518,5904,,1037,1037,,,,276,,,,,,1879,,,1879,3192,1573,,,,,3210,,,,3210,4783,7975,0.0,2805,,,-1434.0,,1136.0,2507,0.0,2507,10482,
12/31/1993,10829,892,892,0.0,1343,,,,1745,,,,,587,,,,,4567,4094,8168.0,-4074.0,553,,1615,,,,,1615,6262,,1207,1207,,,,358,,,,,,1924,,,1924,3489,1602,,,,,3348,,,,3348,4950,8439,0.0,2811,,,-1437.0,,1016.0,2390,0.0,2390,10829,
03/31/1994,10850,811,811,0.0,1451,,,,1744,,,,,588,,,,,4594,4087,8274.0,-4187.0,550,,1619,,,,,1619,6256,,1200,1200,,,,228,,,,,,2005,,,2005,3433,1552,,,,,3336,,,,3336,4888,8321,0.0,2811,,,-1.44,,-280.56,2529,0.0,2529,10850,
06/30/1994,10788,688,688,0.0,1531,,,,1694,,,,,616,,,,,4529,4069,8342.0,-4273.0,538,,1652,,,,,1652,6259,,1233,1233,,,,189,,,,,,1826,,,1826,3248,1531,,,,,3382,,,,3382,4913,8161,0.0,2813,,,-1505.0,,1319.0,2627,0.0,2627,10788,
09/30/1994,10904,790,790,0.0,1539,,,,1693,,,,,610,,,,,4632,4104,8502.0,-4398.0,475,,1693,,,,,1693,6272,,1273,1273,,,,213,,,,,,1742,,,1742,3228,1446,,,,,3432,,,,3432,4878,8106,0.0,2815,,,-1507.0,,1490.0,2798,0.0,2798,10904,
12/31/1994,11321,508,508,0.0,1493,,,,1743,,,,,841,,,,,4585,4260,8792.0,-4532.0,59,,2417,,,,,2417,6736,,1296,1296,,,,263,,,,,,1832,,,1832,3391,1424,,,,,3524,,,,3524,4948,8339,0.0,2816,,,-1505.0,,1671.0,2982,0.0,2982,11321,
03/31/1995,11717,512,512,0.0,1861,,,,1877,,,,,653,,,,,4903,4292,9010.0,-4718.0,504,,2018,,,,,2018,6814,,1291,1291,,,,411,,,,,,1953,,,1953,3655,1317,,,,,3542,,,,3542,4859,8514,0.0,2822,,,-1488.0,,1869.0,3203,0.0,3203,11717,
06/30/1995,12045,575,575,0.0,1847,,,,1921,,,,,679,,,,,5022,4434,9285.0,-4851.0,497,,2092,,,,,2092,7023,,1255,1255,,,,705,,,,,,1870,,,1870,3830,1304,,,,,3566,,,,3566,4870,8700,0.0,2830,,,-1561.0,,2076.0,3345,0.0,3345,12045,
09/30/1995,12061,545,545,0.0,1780,,,,1997,,,,,663,,,,,4985,4463,9408.0,-4945.0,524,,2089,,,,,2089,7076,,1193,1193,,,,273,,,,,,2164,,,2164,3630,1377,,,,,3617,,,,3617,4994,8624,0.0,2841,,,-1614.0,,2210.0,3437,0.0,3437,12061,
12/31/1995,12465,540,540,0.0,1443,,,,1991,,,,,916,,,,,4890,4742,9785.0,-5043.0,97,,2736,,,,,2736,7575,,1385,1385,,,,644,,,,,,1775,,,1775,3804,1366,,,,,3703,,,,3703,5069,8873,0.0,2847,,,-1658.0,,2403.0,3592,0.0,3592,12465,
03/31/1996,12622,558,558,0.0,1580,,,,2123,,,,,860,,,,,5121,4689,9876.0,-5187.0,460,,2352,,,,,2352,7501,,1400,1400,,,,798,,,,,,1781,,,1781,3979,1344,,,,,3608,,,,3608,4952,8931,0.0,2866,,,-1754.0,,2579.0,3691,0.0,3691,12622,
06/30/1996,12955,1714,1714,0.0,1260,,,,1998,,,,,1291,,,,,6263,4046,8758.0,-4712.0,469,,2177,,,,,2177,6692,,1111,1111,,,,908,,,,,,2141,,,2141,4160,1330,,,,,3618,,,,3618,4948,9108,0.0,2875,,,-1801.0,,2773.0,3847,0.0,3847,12955,
09/30/1996,12932,1801,1801,0.0,1277,,,,2041,,,,,1029,,,,,6148,4097,8826.0,-4729.0,514,,2173,,,,,2173,6784,,1103,1103,,,,904,,,,,,1905,,,1905,3912,1317,,,,,3676,,,,3676,4993,8905,0.0,2890,,,-1883.0,,3020.0,4027,0.0,4027,12932,
12/31/1996,12829,1766,1465,301.0,1299,,,,1946,,,,,828,,,,,5839,4219,8976.0,-4757.0,94,,2677,,,,,2677,6990,,1187,1187,,,,614,,,,,,1895,,,1895,3696,1317,,,,,3636,,,,3636,4953,8649,0.0,2905,,,-1953.0,,3228.0,4180,0.0,4180,12829,
03/31/1997,12718,1665,1265,400.0,1636,,,,2050,,,,,444,,,,,5795,4163,8996.0,-4833.0,446,,2314,,,,,2314,6923,,1135,1135,,,,672,,,,,,1749,,,1749,3556,1256,,,,,3716,,,,3716,4972,8528,0.0,2954,,,-2093.0,,3329.0,4190,0.0,4190,12718,
06/30/1997,12912,1465,1000,465.0,1213,,,,2129,,,,,831,,,,,5638,4200,9118.0,-4918.0,459,,2615,,,,,2615,7274,,1180,1180,,,,831,,,,,,1583,,,1583,3594,1263,,,,,3703,,,,3703,4966,8560,0.0,3012,,,-2184.0,,3524.0,4352,0.0,4352,12912,
09/30/1997,13074,959,485,474.0,1629,,,,2191,,,,,449,,,,,5228,4248,9253.0,-5005.0,495,,3103,,,,,3103,7846,,1197,1197,,,,1053,,,,,,1608,,,1608,3858,1313,,,,,3484,,,,3484,4797,8655,0.0,3105,,,-2398.0,,3712.0,4419,0.0,4419,13074,
12/31/1997,13707,1041,611,430.0,1429,,,,2093,694.0,722.0,905.0,-228.0,1010,,,,,5573,4251,9189.0,-4938.0,480,,3403,2426.0,2426.0,0.0,,977,8134,,1345,1345,,,,1092,,,,,,1999,,,1999,4436,1215,,,,,3670,,,,3670,4885,9321,0.0,3141,,,-2665.0,,3910.0,4386,0.0,4386,13707,
03/31/1998,13608,537,483,54.0,1517,,,,2330,,,,,985,,,,,5369,4208,9173.0,-4965.0,478,,3553,2580.0,,,,973,8239,,1343,1343,,,,457,,,,,,1935,,,1935,3735,1592,,,,,3510,,,,3510,5102,8837,0.0,3515,,,-2827.0,,4083.0,4771,0.0,4771,13608,
06/30/1998,13897,529,507,22.0,1442,,,,2409,,,,,932,,,,,5312,4197,9106.0,-4909.0,526,,3862,2881.0,,,,981,8585,,1386,1386,,,,864,,,,,,1668,,,1668,3918,1638,,,,,3518,,,,3518,5156,9074,0.0,3582,,,-3108.0,,4349.0,4823,0.0,4823,13897,
09/30/1998,14024,566,566,0.0,1390,,,,2446,,,,,906,,,,,5308,4287,9359.0,-5072.0,430,,3999,2988.0,,,,1011,8716,,1268,1268,,,,1000,,,,,,1736,,,1736,4004,1459,,,,,3529,,,,3529,4988,8992,0.0,3633,,,-3246.0,,4645.0,5032,0.0,5032,14024,
12/31/1998,22738,1018,1018,0.0,3899,,,,3456,996.0,1095.0,1555.0,0.0,981,,,,,9354,5600,12657.0,-7057.0,1792,,5992,4365.0,3951.0,414.0,,1627,13384,,2018,2018,,,,2190,,,,,,3437,,,3437,7645,2776,,,,,4234,,,,4234,7010,14655,0.0,2672,,,-3413.0,,8824.0,8083,0.0,8083,22738,
03/31/1999,15380,795,795,,1817,,,,2344,715.0,637.0,1137.0,-145.0,561,,,,,5517,4293,9262.0,-4969.0,1509,,4061,2975.0,2975.0,0.0,,1086,9863,,1328,1328,,,,2120,,,,,,1636,,,1636,5084,1457,,,,,3542,,,,3542,4999,10083,,3825,,,-3714.0,5322.0,-136.0,5297,,5297,15380,
06/30/1999,14089,648,648,,1838,,,,2345,718.0,604.0,1170.0,-147.0,552,,,,,5383,4215,9189.0,-4974.0,433,,4058,2910.0,2910.0,0.0,,1148,8706,,1346,1346,,,,1099,,,,,,1647,,,1647,4092,1453,,,,,3518,,,,3518,4971,9063,,3958,,,-4285.0,5628.0,-275.0,5026,,5026,14089,
09/30/1999,14953,981,981,,1984,,,,2326,731.0,628.0,1101.0,-134.0,576,,,,,5867,4352,9317.0,-4965.0,436,,4298,3094.0,3094.0,0.0,,1204,9086,,1273,1273,,,,1766,,,,,,1745,,,1745,4784,1287,,,,,3459,,,,3459,4746,9530,,4039,,,-4265.0,5919.0,-270.0,5423,,5423,14953,
