Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Compensation,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1991,316.270996,2.161,2.161,0.0,20.546,,,2.035,,,,,0.542,,,,,,,25.284,290.421997,,,0,0.565,,,,,0.565,290.986997,,4.596,4.596,,,,3.215,,,,,,25.96,,,,25.96,33.771,83.0,,,,,74.027,,,,74.027,157.027,190.798,0.0,108.599998,,,0.0,,16.872999,125.472998,0.0,125.472998,316.270998,
06/30/1991,313.194,0.174,0.174,0.0,15.149,,,3.158,,,,,1.045,,,,,,,19.525999,293.144012,,,0,0.524,,,,,0.524,293.668012,,5.418,5.418,,,,2.5,,,,,,24.915999,,,,24.915999,32.834,86.0,,,,,71.488998,,,,71.488998,157.488998,190.322998,0.0,108.704002,,,0.0,,14.167,122.871002,0.0,122.871002,313.194,
09/30/1991,321.355988,1.671,1.671,0.0,13.456,,,5.625,,,,,1.018,,,,,,,21.77,299.213989,,,0,0.372,,,,,0.372,299.585989,,12.702,12.702,,,,2.327,,,,,,20.736999,,,,20.736999,35.765999,96.0,,,,,69.262001,,,,69.262001,165.262001,201.028,0.0,108.808998,,,0.0,,11.519,120.327998,0.0,120.327998,321.355998,
01/01/1992,334.311005,2.192,2.192,0.0,23.955999,,,4.509,,,,,2.248,,,,,,,32.904999,301.06601,553.359009,-252.292999,0,0.34,,,,,0.34,301.40601,,4.746,4.746,,,,0.0,,,,,,29.828001,,,,29.828001,34.574001,105.0,,,,,75.496002,,,,75.496002,180.496002,215.070003,0.0,108.862,,,0.0,,10.379,119.241,0.0,119.241,334.311003,
03/31/1992,321.990997,0.807,0.807,0.0,17.898001,,,1.882,,,,,0.321,,,,,,,20.908001,300.783997,,,0,0.299,,,,,0.299,301.082997,,15.396,15.396,,,,0.0,,,,,,15.448999,,,,15.448999,30.844999,94.0,,,,,75.891998,,,,75.891998,169.891998,200.736998,0.0,108.891998,,,0.0,,12.362,121.253999,0.0,121.253999,321.990996,
06/30/1992,324.118988,1.183,1.183,0.0,17.582001,,,3.127,,,,,1.08,,,,,,,22.972,300.822998,,,0,0.324,,,,,0.324,301.146998,,20.978001,20.978001,,,,0.0,,,,,,12.450001,,,,12.450001,33.428001,98.0,,,,,74.653999,,,,74.653999,172.653999,206.082001,0.0,108.920998,,,0.0,,9.116,118.036998,0.0,118.036998,324.118999,
09/30/1992,332.17099,0.531,0.531,0.0,20.112,,,6.335,,,,,0.657,,,,,,,27.635,304.255005,,,0,0.281,,,,,0.281,304.536005,,17.635,17.635,,,,2.635,,,,,,13.343998,,,,13.343998,33.613998,107.0,,,,,74.147003,,,,74.147003,181.147003,214.761002,0.0,108.950996,,,0.0,,8.459,117.409996,0.0,117.409996,332.170998,
12/31/1992,348.696014,1.102,1.102,0.0,32.445,,,5.758,,,,,2.427,,,,,,,41.731998,306.722992,589.411987,-282.688995,0,0.241,,,,,0.241,306.963992,,8.662,8.662,,,,1.81,,,,,,22.301998,,,,22.301998,32.773998,120.0,,,,,77.609001,,,,77.609001,197.609001,230.382999,0.0,108.982002,,,0.0,,9.331,118.313002,0.0,118.313002,348.696001,
03/31/1993,340.928986,0.714,0.714,0.0,30.080999,,,2.67,,,,,0.234,,,,,,,33.699001,307.022003,595.289978,-288.268005,0,0.208,,,,,0.208,307.230003,,4.939,4.939,,,,2.83,,,,,,20.224999,,,,20.224999,27.993999,112.0,,,,,79.536003,,,,79.536003,191.536003,219.530003,0.0,108.992996,,,,,12.406,121.398996,0.0,121.398996,340.928999,
06/30/1993,375.265991,1.081,1.081,0.0,7.248,,,3.821,,,,,21.194,,,,,,,33.344002,341.759003,636.422974,-294.664001,0,0.163,,,,,0.163,341.922003,,21.421,21.421,,,,0.0,,,,,,8.741001,,,,8.741001,30.162001,107.0,,,,,80.332001,,,,80.332001,187.332001,217.494001,0.072,145.358994,,,0.0,,12.341,157.771993,0.0,157.771993,375.265995,
