Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
05/02/1993,119.153999,19.306999,19.306999,,3.51,,,38.360001,,,,,2.464,,,,,63.640999,52.117001,,,0.0,3.396,,,,,3.396,55.513,,16.702999,16.702999,,,,5.543,,,,10.064002,,,10.064002,32.310001,21.983999,,,,3.158,,,,,3.158,25.141999,57.452001,35.648998,24.658001,,,0.0,,1.395,61.701999,0.0,61.701999,119.154,
08/01/1993,254.313004,144.791,144.791,,4.943,,,38.652,,,,,2.065,,,,,190.451004,59.813,,,0.0,4.049,,,,,4.049,63.862,,23.011999,23.011999,,,,3.724,,,,11.104001,,,11.104001,37.84,25.223,,,,3.159,,,,,3.159,28.381999,66.222,0.0,186.220001,,,0.0,,1.871,188.091001,0.0,188.091001,254.313001,
10/30/1993,264.671997,134.845001,134.845001,,7.016,,,50.064999,,,,,1.539,,,,,193.464996,67.154999,,,0.0,4.052,,,,,4.052,71.206999,,28.613001,28.613001,,,,4.094,,,,11.957001,,,11.957001,44.664001,27.281,,,,3.159,,,,,3.159,30.44,75.104002,0.0,186.326996,,,0.0,,3.241,189.567996,0.0,189.567996,264.671997,
01/30/1994,292.56601,117.947998,117.947998,,10.042,,,64.795998,,,,,3.239,,,,,196.024994,75.990997,91.486,-15.495,0.0,20.549999,,,,,20.549999,96.540997,,38.313,38.313,,,,5.428,,,,14.763002,,,14.763002,58.504002,36.867001,,,,5.047,,,,,5.047,41.914001,100.418002,0.003,187.513,,,0.0,,4.632,192.148,0.0,192.148,292.566003,
04/30/1994,302.954987,100.471001,100.471001,0.0,10.561,,,76.816002,,,,,5.0,,,,,192.848007,88.069,,,0.0,22.038,,,,,22.038,110.107,,32.035,32.035,,,,10.98,,,,18.452999,,,18.452999,61.467999,42.705002,,,,6.778,,,,,6.778,49.483002,110.951,0.0,196.184006,,,0.0,,-4.18,192.004006,0.0,192.004006,302.955006,
07/31/1994,336.93399,98.228996,98.228996,0.0,15.603,,,94.011002,,,,,6.077,,,,,213.919998,104.253998,,,0.0,18.76,,,,,18.76,123.013998,,50.618999,50.618999,,,,11.225,,,,17.590998,,,17.590998,79.434998,51.875999,,,,7.616,,,,,7.616,59.492,138.926997,0.0,197.550003,,,0.0,,0.457,198.007003,0.0,198.007003,336.934,
10/30/1994,352.480988,65.176003,65.176003,0.0,20.523001,,,130.541,,,,,5.768,,,,,222.007996,111.670998,,,0.0,18.802,,,,,18.802,130.472998,,63.199001,63.199001,,,,10.498,,,,17.767995,,,17.767995,91.464996,53.091,,,,7.885,,,,,7.885,60.976,152.440996,0.0,198.395996,,,0.0,,1.644,200.039996,0.0,200.039996,352.480992,
01/29/1995,448.187012,88.516998,84.517998,3.999,20.857,,,155.098007,,,,,9.607,,,,,274.07901,155.880997,191.677994,-35.797001,0.0,18.226999,,,,,18.226999,174.107996,,59.610001,59.610001,,,,14.951,,,,38.531002,,,38.531002,113.092003,65.716003,,,,10.901,,,,,10.901,76.617003,189.709006,15.803,264.084991,,,0.0,,-21.41,258.477991,0.0,258.477991,448.186997,
04/30/1995,359.779999,77.087997,77.087997,0.0,16.875999,,,116.916,,,,,6.065,,,,,216.945007,123.101997,,,0.0,19.733,,,,,19.733,142.834997,,51.769001,51.769001,,,,11.245,,,,23.096,,,23.096,86.110001,56.596001,,,,8.808,,,,,8.808,65.404,151.514001,0.0,199.526001,,,0.0,,8.74,208.266001,0.0,208.266001,359.780002,
07/30/1995,437.527008,85.605003,85.605003,0.0,23.252001,,,144.501999,,,,,9.409,,,,,262.768005,137.533005,,,0.0,37.226002,,,,,37.226002,174.759007,,68.392998,68.392998,,,,20.305,,,,46.494995,,,46.494995,135.192993,55.620998,,,,10.938,,,,,10.938,66.558998,201.751991,0.0,268.428986,,,0.0,,-32.653999,235.774986,0.0,235.774986,437.526978,
10/29/1995,483.300995,77.380997,77.380997,0.0,27.895,,,172.679001,,,,,10.316,,,,,288.270996,150.052002,,,0.0,44.978001,,,,,44.978001,195.030003,,102.849998,102.849998,,,,22.974001,,,,41.666006,,,41.666006,167.490005,55.521,,,,11.742,,,,,11.742,67.263,234.753005,0.0,286.520996,,,0.0,,-37.973,248.547997,0.0,248.547997,483.301002,
01/28/1996,572.104004,88.303001,88.303001,0.0,32.154999,,,211.932999,0.0,0.0,0.0,,14.515,,,,,346.906006,178.822006,238.117996,-59.296001,0.0,46.375999,,,,,46.375999,225.198005,,116.623001,116.623001,,,,31.605,,,,52.441997,,,52.441997,200.669998,56.368,,,,13.268,,,,,13.268,69.636,270.305998,6.511,330.94101,,,0.0,,-35.653999,301.798011,0.0,301.798011,572.104009,
04/28/1996,519.30603,51.751999,51.751999,0.0,30.032,,,209.238007,,,,,19.173,,,,,310.195007,165.089996,,,0.0,44.021,,,,,44.021,209.110996,,93.010002,93.010002,,,,43.025002,,,,39.910995,,,39.910995,175.945999,55.805,,,,11.3,,,,,11.3,67.105,243.051,0.0,301.92099,,,0.0,,-25.666,276.25499,0.0,276.25499,519.305989,
07/28/1996,559.963989,54.837002,54.837002,0.0,37.953999,,,221.848999,,,,,21.445999,,,,,336.085999,179.75,,,0.0,44.127998,,,,,44.127998,223.877998,,100.915001,100.915001,,,,47.361,,,,49.276993,,,49.276993,197.552994,58.501999,,,,11.96,,,,,11.96,70.461999,268.014993,0.0,314.713989,,,0.0,,-22.764999,291.94899,0.0,291.94899,559.963983,
10/27/1996,606.718994,46.525002,46.525002,0.0,47.819,,,261.174988,,,,,21.629999,,,,,377.148987,178.878006,,,0.0,50.692001,,,,,50.692001,229.570007,,130.207993,130.207993,,,,37.001999,,,,51.004013,,,51.004013,218.214005,59.467999,,,,12.225,,,,,12.225,71.692999,289.907003,0.0,328.588013,,,0.0,,-11.776,316.812013,0.0,316.812013,606.719016,
02/02/1997,689.809998,39.868,39.868,0.0,43.664001,,,300.891998,,,,,24.860001,,,,,409.283997,219.263,304.407013,-85.143997,0.0,61.263,0.0,,,,61.263,280.526,,138.912994,138.912994,,,,34.145,,,,78.044011,,,78.044011,251.102005,62.535,,,,15.128,,,,,15.128,77.663,328.765005,0.0,373.774994,,,0.0,,-12.73,361.044994,0.0,361.044994,689.809999,
05/04/1997,677.387024,48.643002,48.643002,0.0,48.963001,,,274.358002,,,,,28.395,,,,,400.359009,215.085999,305.812012,-90.725998,0.0,61.942001,,,,,61.942001,277.028,,118.375,118.375,,,,49.779999,,,,68.938995,,,68.938995,237.093994,60.362,,,,15.63,,,,,15.63,75.992,313.085994,0.0,377.39801,,,0.0,,-13.097,364.30101,0.0,364.30101,677.387004,
08/03/1997,692.486023,34.511002,34.511002,0.0,55.832001,,,284.980011,,,,,37.096001,,,,,412.419006,206.899994,305.674011,-98.774002,0.0,73.167,,,,,73.167,280.066994,,112.179001,112.179001,,,,89.693001,,,,82.12101,,,82.12101,283.993011,59.216,,,,16.249001,,,,,16.249001,75.465,359.458012,0.0,381.673004,,,0.0,,-48.645,333.028004,0.0,333.028004,692.486015,
