Date,Revenue,Net Premiums Earned,Net Premiums Earned (L),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Claims & Losses (L),LT Charges (L),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (L),Underwriting Cost (L),Amort Def Acq Cost (L),Other Cost (L),Other Operating Expense,Operating Income (Loss),Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,504.600006,325.5,,,171.400003,7.7,,,-342.599991,0.0,256.899994,85.699997,-106.400002,,,,,,55.599998,0.0,0.0,55.599998,-12.1,,,43.5,0.0,,,43.499998,0.0,43.5,0.0,,43.5,43.5,,141.160004,0.31,0.31,,141.160004,0.31,0.31,0.31,
06/30/1990,513.200012,329.600006,,,177.3,6.3,,,-343.099999,0.0,255.699997,87.400002,-111.400002,,,,,,58.700001,-0.2,0.0,58.500001,-8.2,,,50.299999,0.0,,,50.300001,0.0,50.299999,0.0,,50.299999,50.299999,,138.951996,0.36,0.36,0.36,138.951996,0.36,0.36,0.36,
09/30/1990,551.900024,362.299988,,,186.199997,3.4,,,-373.400009,0.0,285.200012,88.199997,-116.0,,,,,,62.5,-2.0,0.0,60.5,-14.2,,,46.299999,0.0,,,46.3,0.0,46.299999,0.0,,46.299999,46.299999,,137.792008,0.335,0.335,0.335,137.792008,0.335,0.335,0.335,
12/31/1990,600.599976,404.200012,,,191.000006,5.4,,,-404.900002,0.0,315.0,89.900002,-136.100006,,,,,,59.599998,-2.2,0.0,57.399998,-12.3,,,45.099998,0.0,,,45.099998,0.0,45.099998,0.0,,45.099998,45.099998,,134.399994,0.34,0.34,,134.399994,0.34,0.34,0.34,
03/31/1991,595.799988,393.5,,,195.099994,7.2,,,-385.900009,0.0,299.700012,86.199997,-144.800003,,,,,,65.099998,-2.0,0.0,63.099998,-15.5,,,47.599998,0.0,,,47.599998,0.0,47.599998,0.0,,47.599998,47.599998,,133.024004,0.36,0.36,0.36,133.024004,0.36,0.36,0.36,
06/30/1991,591.200012,393.100006,,,190.599997,7.5,,,-391.300003,0.0,303.600006,87.699997,-127.800003,,,,,,72.099998,-2.2,0.0,69.899998,-14.9,,,55.0,0.0,,,54.999998,0.0,55.0,0.0,,55.0,55.0,,133.320008,0.415,0.415,0.415,133.320008,0.415,0.415,0.415,
09/30/1991,609.200012,409.0,,,192.200003,8.0,,,-397.699997,0.0,308.399994,89.300003,-137.100006,,,,,,74.400002,-3.7,0.0,70.700002,-17.9,,,52.799999,0.0,,,52.800002,0.0,52.799999,0.0,,52.799999,52.799999,,133.451996,0.395,0.395,0.395,133.451996,0.395,0.395,0.395,
12/31/1991,624.400024,420.5,,,195.199997,8.7,,,-405.700012,0.0,314.200012,91.5,-157.0,,,,,,61.700001,-3.3,0.0,58.400001,-8.8,,,49.599998,0.0,,,49.600001,0.0,49.599998,0.0,,49.599998,49.599998,,133.643997,0.37,0.37,,133.643997,0.37,0.37,0.37,
03/31/1992,750.799988,526.799988,,,209.800006,14.2,,,-459.600014,0.0,377.700012,81.900002,-190.899994,,,,,,100.300003,-2.6,0.0,97.700003,-25.1,,,72.599998,0.0,,,72.600003,0.0,72.599998,0.0,,72.599998,72.599998,,156.61,0.465,0.465,0.465,156.61,0.465,0.465,0.465,
06/30/1992,744.5,525.299988,,,210.899997,8.3,,,-453.600014,0.0,371.200012,82.400002,-187.100006,,,,,,103.800003,-2.8,0.0,101.000003,-27.1,,,73.900002,0.0,,,73.900003,0.0,73.900002,0.0,,73.900002,73.900002,,156.772004,0.47,0.47,0.47,156.772004,0.47,0.47,0.47,
09/30/1992,773.599976,538.599976,,,218.4,16.6,,,-465.899994,0.0,383.399994,82.5,-202.199997,,,,,,105.5,-2.7,0.0,102.8,-28.0,,,74.800003,0.0,,,74.8,0.0,74.800003,0.0,,74.800003,74.800003,,157.147994,0.475,0.475,0.475,157.147994,0.475,0.475,0.475,
12/31/1992,779.599976,551.700012,,,211.599994,16.299999,,,-481.899986,0.0,400.299988,81.599998,-197.899994,,,,,,99.800003,-2.8,0.0,97.000003,-27.1,,,69.900002,0.0,,,69.900003,0.0,69.900002,0.0,,69.900002,69.900002,,157.806,0.445,0.445,0.445,157.806,0.445,0.445,0.445,
03/31/1993,822.599976,578.900024,,,221.0,22.700001,,,-492.5,0.0,418.5,74.0,-216.100006,,,,,,114.0,-3.0,0.0,111.0,-35.0,,,76.0,12.1,,,63.9,0.0,63.900002,0.0,,63.900002,63.900002,,158.418,0.405,0.48,0.48,158.418,0.405,0.48,0.48,
06/30/1993,854.599976,624.599976,,,210.100003,19.9,,,-521.499985,0.0,449.799988,71.699997,-215.800003,,,,,,117.300003,-3.1,0.0,114.200003,-33.400002,,,80.800003,0.0,,,80.800001,0.0,80.800003,0.0,,80.800003,80.800003,,158.804,0.51,0.51,0.51,158.804,0.51,0.51,0.51,
09/30/1993,850.299988,622.900024,,,206.999994,20.4,,,-515.899994,0.0,446.899994,69.0,-216.699997,,,,,,117.699997,-3.0,0.0,114.699997,-42.599998,,,72.099998,0.0,,,72.099999,0.0,72.099998,0.0,,72.099998,72.099998,,159.119996,0.455,0.455,0.455,159.119996,0.455,0.455,0.455,
12/31/1993,869.5,647.700012,,,201.699997,20.1,,,-526.800003,0.0,460.5,66.300003,-218.699997,,,,,,124.0,-3.6,0.0,120.4,-37.299999,,,83.099998,0.0,,,83.100001,0.0,83.099998,0.0,,83.099998,83.099998,,153.89,0.54,0.54,0.54,153.89,0.54,0.54,0.54,
03/31/1994,877.400024,655.0,,,203.000006,19.4,,,-542.399994,0.0,481.399994,61.0,-220.899994,,,,,,114.099998,-3.3,0.0,110.799998,-33.700001,,,77.099998,0.0,,,77.099997,0.0,77.099998,0.0,,77.099998,77.099998,,151.216004,0.51,0.51,0.51,151.216004,0.51,0.51,0.51,
06/30/1994,928.0,701.400024,,,204.899994,21.700001,,,-579.600014,0.0,518.700012,60.900002,-221.0,,,,,,127.400002,-4.2,0.0,123.200002,-37.900002,,,85.300003,0.0,,,85.3,0.0,85.300003,0.0,,85.300003,85.300003,,149.668,0.57,0.57,0.57,149.668,0.57,0.57,0.57,
09/30/1994,890.5,670.299988,,,203.900003,16.299999,,,-767.900013,0.0,708.200012,59.700001,-222.699997,,,,,,-100.099998,-5.0,0.0,-105.099998,43.400002,,,-61.700001,0.0,,,-61.699996,0.0,-61.700001,0.0,,-61.700001,-61.700001,,147.659058,-0.42,-0.42,-0.42,147.659058,-0.42,-0.42,-0.42,
12/31/1994,927.799988,705.700012,,,203.999994,18.1,,,-600.899986,0.0,539.799988,61.099998,-251.0,,,,,,75.900002,-6.2,0.0,69.700002,-15.7,,,54.0,0.0,,,54.000002,0.0,54.0,0.0,,54.0,54.0,,144.794006,0.375,0.375,0.375,144.794006,0.375,0.375,0.375,
03/31/1995,955.099976,734.0,,,202.799994,18.299999,,,-628.899986,0.0,571.799988,57.099998,-233.5,,,,,,92.699997,-7.3,0.0,85.399997,-22.0,,,63.400002,0.0,,,63.399997,0.0,63.400002,0.0,,63.400002,63.400002,,144.932006,0.435,0.435,0.39,144.932006,0.435,0.435,0.39,
06/30/1995,1156.099976,729.200012,,,407.400009,19.5,,,-774.100014,0.0,717.700012,56.400002,-252.100006,,,,,,129.899994,-9.3,0.0,120.599994,-31.700001,,,88.900002,0.0,,,88.899993,0.0,88.900002,0.0,,88.900002,88.900002,,145.240006,0.61,0.61,0.43,145.240006,0.61,0.61,0.43,
09/30/1995,967.599976,738.0,,,210.700003,18.9,,,-625.500011,0.0,568.700012,56.799999,-240.800003,,,,,,101.300003,-10.2,0.0,91.100003,-24.4,,,66.699997,0.0,,,66.700003,0.0,66.699997,0.0,,66.699997,66.699997,,145.442002,0.46,0.46,0.46,145.442002,0.46,0.46,0.46,
12/31/1995,1044.099976,817.0,,,210.500003,16.6,,,-691.899986,0.0,634.799988,57.099998,-257.0,,,,,,95.199997,-10.4,0.0,84.799997,-22.700001,,,62.099998,0.0,,,62.099996,0.0,62.099998,0.0,,62.099998,62.099998,,145.789994,0.425,0.425,0.48,145.789994,0.425,0.425,0.48,
03/31/1996,1002.599976,769.299988,,,213.199997,20.1,,,-635.69999,0.0,584.299988,51.400002,-253.899994,,,,,,113.0,-10.3,0.0,102.7,-30.6,,,72.099998,0.0,,,72.1,0.0,72.099998,0.0,,72.099998,72.099998,,146.199996,0.49,0.49,0.475,146.199996,0.49,0.49,0.475,
06/30/1996,989.299988,761.099976,,,208.999997,19.200001,,,-612.299988,0.0,562.299988,50.0,-260.600006,,,,,,116.400002,-10.4,0.0,106.000002,-32.099998,,,73.900002,0.0,,,73.900004,0.0,73.900002,0.0,,73.900002,73.900002,,146.619996,0.5,0.5,0.52,146.619996,0.5,0.5,0.52,
09/30/1996,1023.299988,796.200012,,,209.399997,17.700001,,,-655.400013,0.0,605.200012,50.200001,-245.100006,,,,,,122.800003,-9.9,-49.5,63.400003,-19.299999,,,44.099998,0.0,,,44.100004,0.0,44.099998,0.0,,44.099998,44.099998,,146.199996,0.3,0.3,0.525,146.199996,0.3,0.3,0.525,
12/31/1996,1027.5,793.799988,,,174.000006,59.700001,,,-621.900024,0.0,572.900024,49.0,-326.0,,,,,,79.599998,-10.1,0.0,69.499998,-21.6,,,47.900002,0.0,,,47.899998,0.0,47.900002,0.0,,47.900002,47.900002,,144.600006,0.33,0.33,0.55,144.600006,0.33,0.33,0.55,
03/31/1997,1043.0,766.299988,,,162.600003,114.099998,,,-611.999977,0.0,578.599976,33.400002,-249.100006,,,,,,181.899994,-10.2,0.0,171.699994,-56.700001,,,115.0,0.0,,,114.999993,0.0,115.0,0.0,,115.0,115.0,,142.388,0.81,0.81,0.55,145.115997,0.79,0.79,0.54,
06/30/1997,992.4,786.7,786.7,0.0,162.7,43.0,,,-603.9,,585.0,18.9,-251.5,,,,,,137.0,-10.6,,126.4,-38.8,,,87.6,,,,87.6,,87.6,,,87.6,87.6,,139.399,0.63,0.63,0.63,142.099,0.62,0.62,0.62,
09/30/1997,1045.2,833.8,833.8,0.0,167.0,44.4,,,-646.0,,629.6,16.4,-257.4,,,,,,141.8,-10.4,,131.4,-39.9,,,91.5,,,,91.5,,91.5,,,91.5,91.5,,139.231,0.66,0.66,0.66,142.35,0.64,0.64,0.64,
12/31/1997,1034.2,870.6,870.6,0.0,163.6,,,,-927.3,0.0,927.3,,0.0,,,,,,106.9,,-6.5,106.9,-30.7,,,76.2,0.0,,,76.2,0.0,76.2,0.0,0.0,76.2,76.2,,138.300003,0.55,0.55,0.66,138.399994,0.54,0.54,0.64,
03/31/1998,2102.100098,1492.599976,,,534.399976,75.099998,,,-1313.800049,0.0,1313.800049,0.0,-513.700012,,,,,,274.600006,-27.299999,0.0,247.300007,-82.699997,,,164.600006,0.0,,,164.60001,0.0,164.600006,0.0,,164.600006,164.600006,,236.626999,0.69,0.69,0.66,242.625,0.68,0.68,0.65,
06/30/1998,2107.100098,1506.099976,,,518.6,82.400002,,,-1304.699951,0.0,1304.699951,0.0,-506.200012,,,,,,296.200012,-30.700001,0.0,265.500011,-92.0,,,173.5,0.0,,,173.500011,0.0,173.5,0.0,,173.5,173.5,,237.020996,0.73,0.73,0.71,242.835007,0.71,0.71,0.69,
09/30/1998,2144.899902,1560.5,,,510.799994,73.599998,,,-1329.0,0.0,1329.0,0.0,-507.399994,,,,,,308.5,-32.599998,0.0,275.900002,-89.599998,,,186.300003,0.0,,,186.300003,0.0,186.300003,0.0,,186.300003,186.300003,,237.033005,0.79,0.79,0.74,242.304001,0.77,0.77,0.72,
12/31/1998,2165.2,1569.8,,,526.6,68.8,,,-1502.2,0.0,1502.2,0.0,-502.2,,,,,,160.8,-29.3,0.0,131.5,-38.5,,,93.0,0.0,,,93.0,0.0,93.0,0.0,,93.0,93.0,,237.229,0.39,0.39,0.33,241.47,0.39,0.39,0.32,
03/31/1999,2269.100098,1681.5,,,506.800006,80.800003,,,-1502.099976,0.0,1502.099976,0.0,-426.399994,,,,,,297.899994,-32.900002,-101.800003,163.199989,-73.900002,,,89.300003,0.0,,,89.299988,0.0,89.300003,0.0,,89.300003,89.300003,,237.785004,0.38,0.38,0.73,242.253006,0.37,0.37,0.71,
06/30/1999,2277.600098,1687.400024,,,522.2,68.0,,,-1690.699951,0.0,1690.699951,0.0,-540.299988,,,,,,29.1,-33.599998,-270.100006,-274.600004,83.400002,,,0.0,,,,-191.200003,,-191.199997,0.0,,-191.199997,-191.199997,,238.438004,-0.8,-0.8,-0.8,238.438004,-0.8,-0.8,-0.8,
09/30/1999,2433.100098,1736.199951,,,591.300026,105.599998,,,-2053.100098,,2053.100098,,-565.099976,,,,,,-228.5,-34.299999,,-262.799999,45.799999,,,-217.0,,,,-217.0,,-217.0,0.0,,-217.0,-217.0,,239.740005,-0.91,-0.91,-0.91,239.740005,-0.91,-0.91,-0.91,
12/31/1999,2349.8,1738.1,,,526.5,85.2,,,-1763.7,0.0,1763.7,0.0,-366.9,,,,,,219.2,-37.0,-2.7,179.5,-43.5,,,136.0,0.0,,,136.0,0.0,136.0,0.0,,136.0,136.0,,240.34,0.57,0.57,0.56,241.383,0.56,0.56,0.558,
03/31/2000,2394.100098,1780.800049,,,552.099976,61.400002,,,-1579.5,0.0,1579.5,0.0,-547.599976,,,,,,250.300003,-43.900002,0.0,206.400002,-71.900002,,,134.5,0.0,,,134.5,0.0,134.5,0.0,0.0,134.5,134.5,,240.593994,0.56,0.56,0.56,241.384995,0.56,0.56,0.56,
06/30/2000,2423.699951,1789.900024,,,544.8,89.0,,,-1631.099976,0.0,1631.099976,0.0,-510.100006,,,,,,264.700012,-45.099998,0.0,219.600014,-76.5,,,143.100006,0.0,,,143.100014,0.0,143.100006,0.0,0.0,143.100006,143.100006,,240.755005,0.59,0.59,0.59,241.645996,0.59,0.59,0.59,
09/30/2000,2311.699951,1754.599976,,,482.399994,88.699997,,,-1556.699951,0.0,1556.699951,0.0,-480.5,,,,,,255.699997,-47.200001,0.0,208.499996,-71.5,,,137.0,0.0,,,136.999996,0.0,137.0,0.0,,137.0,137.0,,240.929993,0.57,0.57,0.6,242.188004,0.57,0.57,0.6,
12/31/2000,2302.800049,1731.699951,,,482.899994,90.400002,,,-1640.199951,0.0,1640.199951,0.0,-371.899994,,,,,,276.700012,-45.599998,0.0,231.100014,-81.5,,,149.600006,0.0,,,149.600014,0.0,149.600006,0.0,0.0,149.600006,149.600006,,241.207993,0.62,0.62,0.616,242.975998,0.616,0.616,0.61,
03/31/2001,2340.899902,1746.900024,,,494.5,100.699997,,,-1518.099976,0.0,1518.099976,0.0,-536.799988,,,,,,268.299988,-42.799999,0.0,225.499989,-78.699997,,,182.0,0.0,,,146.799992,0.0,182.0,0.0,0.0,182.0,182.0,,241.410995,0.75,0.75,0.61,243.201004,0.75,0.75,0.61,
06/30/2001,2363.0,1769.800049,,,500.0,94.699997,,,-1571.199951,0.0,1571.199951,0.0,-518.599976,,,,,,255.100006,-44.200001,0.0,210.900005,-64.800003,,,146.100006,0.0,,,146.100002,0.0,146.100006,0.0,0.0,146.100006,146.100006,,241.720993,0.6,0.6,0.61,244.009003,0.6,0.6,0.6,
09/30/2001,2377.4,1792.2,1792.2,0.0,506.4,78.8,,,-1611.0,,1611.0,,-514.2,,,,,,234.3,-41.1,0.0,193.2,-66.1,,,127.1,,,,127.1,,127.1,0.0,0.0,127.1,127.1,,242.0208,0.53,0.53,0.53,243.7851,0.52,0.52,0.52,
12/31/2001,2272.800049,1769.300049,,,423.399994,80.099998,,,-1534.0,0.0,1534.0,0.0,-521.200012,,,,,,196.300003,-41.5,0.0,154.800003,-54.299999,,,100.5,2.9,,,97.600004,0.0,97.599998,0.0,0.0,97.599998,97.599998,,242.130997,0.4,0.415065,0.62,243.470993,0.4,0.41278,0.62,
03/31/2002,2330.5,1825.5,1825.5,0.0,414.1,90.9,,,-1587.5,,1587.5,,-558.6,,,,,,174.1,-38.4,0.0,135.7,-40.7,,,95.0,7.1,,,87.9,0.0,87.9,0.0,0.0,87.9,87.9,,242.5973,0.36,0.39,0.39,244.1196,0.36,0.39,0.39,
06/30/2002,2401.6,1865.5,1865.5,0.0,430.8,105.3,,,-1648.8,0.0,1648.8,0.0,-555.0,,,,,,186.7,-38.7,0.0,148.0,-50.3,,,97.7,,,,97.7,0.0,97.7,0.0,0.0,97.7,97.7,,242.5408,0.4,0.4,0.4,243.7729,0.4,0.4,0.4,
09/30/2002,2450.1,1882.2,1882.2,0.0,468.9,99.0,,,-1676.1,,1676.1,,-544.7,,,,,,218.2,-42.9,0.0,175.3,-61.9,,,113.4,,,,113.4,,113.4,0.0,0.0,113.4,113.4,,241.4538,0.47,0.47,0.47,242.2766,0.47,0.47,0.47,
12/31/2002,2430.300049,1879.900024,,,538.0,94.0,,,-1670.0,0.0,1670.0,0.0,-556.900024,,,,,,193.800003,-42.400002,0.0,151.400002,-22.9,,,128.5,0.0,,,128.500002,0.0,128.5,0.0,0.0,128.5,128.5,,241.559998,0.39,0.39,0.64,242.128998,0.39,0.39,0.64,
03/31/2003,2394.8,1871.3,1871.3,0.0,434.2,89.3,,,-2143.4,0.0,2143.4,0.0,-589.6,,,,,,-348.0,-41.5,,-389.5,140.5,,,-249.0,-2.6,,,-246.4,0.0,-246.4,0.0,0.0,-246.4,-246.4,,241.6194,-1.02,-1.03,-1.03,241.6194,-1.02,-1.03,-1.03,
06/30/2003,2529.2,1911.2,,,508.5,109.5,,,-1765.8,,1765.8,,-569.4,,,,,,183.3,-45.9,,137.4,-43.3,,,94.1,-4.4,,,98.5,,98.5,,,98.5,98.5,,272.5641,0.36,0.35,0.35,273.7736,0.36,0.34,0.34,
09/30/2003,2556.3,1921.3,1921.3,0.0,529.5,105.5,,,-1765.9,,1765.9,,-583.1,,,,,,197.7,-50.0,0.0,147.7,-49.4,,,98.3,-10.4,,,108.7,,108.7,0.0,0.0,108.7,108.7,,294.7198,0.37,0.33,0.33,298.7073,0.36,0.33,0.33,
12/31/2003,2205.7,1654.3,,,438.1,86.9,,,-1981.5,,1981.5,,-527.4,,,,,,-307.9,-49.8,0.0,-357.7,132.3,,,-225.4,121.8,,,-347.2,,-347.2,0.0,0.0,-347.2,-347.2,,295.625,-1.17,-0.76,-0.76,295.625,-1.17,-0.76,-0.76,
03/31/2004,2623.7,1956.2,,,559.5,108.0,,,-1879.3,0.0,1879.3,0.0,-605.1,,,,,,135.4,-49.2,-856.4,-770.2,0.0,,,0.0,0.0,,,-770.2,0.0,-562.3,0.0,0.0,-562.3,-562.3,,294.99,-1.91,-1.93,0.15,294.99,-1.91,-1.93,-1.93,
