Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Change in Loans,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Deposits,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,-24.504999,1.674,22.396,-10.189,-10.624,,,,,,,,,,,,,,,,,,,
06/30/1990,,4.932,6.427,-8.441,-1.234,1.684,,,,,,,,,,,,,,,,,,,
09/30/1990,,5.43,1.503,-2.573,-8.546,-4.186,,,,,,,,,,,,,,,,,,,
12/31/1990,,3.972,-1.415,-6.568,86.121002,82.110001,,,,,,,,,,,,,,,,,82.110001,,
03/31/1991,,5.782,2.032,-7.101,22.110001,22.823,,,,,,,,,,,,,,,,,,,
06/30/1991,,9.17,2.158,-8.768,18.614,21.174,,,,,,,,,,,,,,,,,,,
09/30/1991,,9.463,2.206,1.045,35.929001,48.643002,,,,,,,,,,,,,,,,,,,
12/31/1991,,10.372,-3.395,6.108,315.653015,328.738007,,,,,,,,,,,,,,,,,328.738007,,
03/31/1992,,9.008,0.342,-8.107,97.162003,98.404999,,,,,,,,,,,,,,,,,,,
06/30/1992,,10.195,2.749,-1.533,71.348999,82.760002,,,,,,,,,,,,,,,,,,,
09/30/1992,,11.831,0.914,-6.145,81.011002,87.611,,,,,,,,,,,,,,,,,,,
12/31/1992,,12.274,-3.811,6.982,-29.277,-13.832,,,,,,,,,,,,,,,,,,,
03/31/1993,,19.808001,-1.341,-14.705,14.782,18.544001,,,,,,,,,,,,,,,,,,,
06/30/1993,,16.1,1.504,-3.386,31.674999,45.893002,,,,,,,,,,,,,,,,,,,
09/30/1993,,16.163,3.823,-9.251,-195.912003,-185.177002,,,,,,,,,,,,,,,,,,,
12/31/1993,,16.385,1.163,2.506,-295.14801,-275.093994,,,,,,,,,,,,,,,,,-275.093994,,
03/31/1994,,15.901,0.652,10.556,0.0,27.108999,,,,,,,,,,,,,,,,,,,
06/30/1994,,17.202999,0.841,-14.376,3.716,7.384,,,,,,,,,,,,,,,,,,,
09/30/1994,,17.327999,0.735,5.231,0.0,23.294001,,,,,,,,,,,,,,,,,,,
12/31/1994,,17.181,7.404,61.147002,60.681999,146.414001,,,,,,,,,,,,,,,,,146.414001,,
03/31/1995,,29.309999,3.995,22.856001,13.706,69.866997,-13.102,,-13.102,,,,,,,,,,,,,,56.764997,,
06/30/1995,,31.045,-3.479,15.97,-9.645,33.890999,,,-4.179,,,,,,,,,,,,,,,,
09/30/1995,,32.106998,16.954,-0.304,-0.373,48.383999,,,-2.419,,,,,,,,,,,,,,,,
12/31/1995,,-58.43,9.922,64.000999,-2.489,13.004,0.0,,0.0,,,,,,,,,,,,,,13.004,,
03/31/1996,,38.450001,0.34,36.612,14.168,89.57,,,-2.066,,,,,,,,,,,,,,,,
06/30/1996,,41.369999,1.66,3.107,-13.857,32.279999,,,-2.504,,,,,,,,,,,,,,,,
09/30/1996,,5.031,5.953,31.417,1.459,43.860001,,,-2.686,,,,,,,,,,,,,,,,
12/31/1996,,42.870998,37.673,-37.673,,26.955,0.0,,0.0,,,,,,,,,,,,,,26.955,,
03/31/1997,,61.803001,,,,165.828995,,,,,,,,,,,,,,,,,,,
06/30/1997,,65.031998,,,,97.199997,,,,,,,,,,,,,,,,,,,
09/30/1997,,63.553001,,,,58.556,,,,,,,,,,,,,,,,,,,
12/31/1997,,4.005,,,,21.993999,,,,,,,,,,,,,,,,,21.993999,,
03/31/1998,,87.900002,,,,69.111,,,,,,,,,,,,,,,,,,,
06/30/1998,,92.727997,,,,31.583,,,,,,,,,,,,,,,,,,,
09/30/1998,,68.536003,,,,149.414993,,,,,,,,,,,,,,,,,,,
12/31/1998,,-5.098,,,,-101.025002,,,,,,,,,,,,,,,,,,,
03/31/1999,,102.945999,32.132999,35.827,29.719999,200.626007,,,,,,,,,,,,,,,,,,,
06/30/1999,,108.375999,19.632,-119.380997,61.221001,69.848,,,,,,,,,,,,,,,,,,,
09/30/1999,,104.501999,57.766998,59.292,-113.319,108.241997,,,,,,,,,,,,,,,,,,,
12/31/1999,,18.152,-14.579,306.440002,18.209999,328.222992,,,,,,,,,,,,,,,,,,,
03/31/2000,,111.709,29.926001,-54.990002,13.423,100.068001,,,,,,,,,,,,,,,,,,,
06/30/2000,,103.287003,48.477001,169.882004,-0.458,321.187988,,,,,,,,,,,,,,,,,,,
09/30/2000,,109.592003,25.302999,-57.130001,-1.038,76.726997,,,,,,,,,,,,,,,,,,,
12/31/2000,,109.374001,45.859001,-76.660004,-13.965,64.608002,,,,,,,,,,,,,,,,,64.608002,,
03/31/2001,,114.790001,39.911999,147.113007,35.028999,336.843994,,,,,,,,,,,,,,,,,,,
06/30/2001,,120.412003,46.831001,93.809998,4.933,265.985992,,,,,,,,,,,,,,,,,,,
09/30/2001,,130.432999,58.082001,-37.535999,-21.497999,129.481003,,,,,,,,,,,,,,,,,,,
12/31/2001,,135.078995,84.948997,8.118,-19.907,208.238998,,,,,,,,,,,,,,,,,,,
03/31/2002,,142.485001,50.561001,61.216,0.888,255.149994,,,,,,,,,,,,,,,,,,,
06/30/2002,,145.895004,87.419998,177.759003,-23.15,387.924011,,,,,,,,,,,,,,,,,,,
09/30/2002,,143.561996,125.475998,16.145,26.228001,311.411011,,,,,,,,,,,,,,,,,,,
12/31/2002,,145.725998,116.737999,-260.084015,-9.968,-7.588,,,,,,,,,,,,,,,,,,,
03/31/2003,,147.490997,61.471001,86.661003,32.620998,328.243988,,,,,,,,,,,,,,,,,,,
06/30/2003,,166.037003,35.360001,44.866001,-26.737,219.526001,,,,,,,,,,,,,,,,,,,
09/30/2003,,159.149002,37.662998,-67.789001,16.601999,145.625,,,,,,,,,,,,,,,,,,,
12/31/2003,,158.214005,205.701004,-234.938004,-137.953995,-8.977,,,,,,,,,,,,,,,,,,,
03/31/2004,,50.256001,18.615999,36.019001,13.385,118.276001,1357.843018,0.0,,-823.125,3821.905029,-1608.958008,-31.979,-1459.805054,-58.303001,1129.734009,3.78,-2259.968018,53.256001,-62.066002,-266.238007,0.0,16.313999,,
06/30/2004,,166.345993,7.16,7.281,-41.306,139.481003,-1345.687012,0.0,,-1020.263,2589.10498,-2880.111084,-34.417999,1253.458984,-64.903,577.703003,505.312012,-99.345001,25.792999,0.0,308.898987,0.0,47.252998,,
