Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1998,2054.913086,491.093994,491.093994,0,29.110001,29.110001,,0,0.0,0.0,0.0,0.0,426.382996,,,946.586975,657.142029,657.142029,0.0,195.748993,255.434998,,,,255.434998,1108.326019,,19.687,19.687,,,,60.73,27.385998,33.344002,33.344002,,84.267006,,,84.267006,164.684006,1151.848999,1134.124998,17.724001,17.724001,21.726,,21.726,1173.574999,1338.259005,0.0,2.05,,,-209.414993,-144.087006,1068.106003,716.654004,0.0,716.654004,2054.913008,
12/31/1998,2639.177002,806.593018,806.593018,0,71.195,71.195,,0,0.0,0.0,0.0,0.0,124.327003,,,1002.11499,428.207001,428.207001,0.0,43.314999,1165.540039,,,,1165.540039,1637.062038,,31.99,31.99,,,,20.965,6.393001,14.572,14.572,,198.934999,,,198.934999,251.889999,1090.613037,1066.093037,24.52,24.52,34.979,,34.979,1125.592037,1377.482037,487.375,4.328,,,-209.414993,-88.063004,1067.470001,1261.695004,0.0,1261.695004,2639.177041,
03/31/1999,2689.797119,564.348022,564.348022,0,95.528,95.528,,0,0.0,0.0,0.0,0.0,106.593002,,,766.468994,45.400002,,,70.884003,1807.043945,,,,1807.043945,1923.32795,,30.601999,30.601999,,,,21.309999,9.773999,11.536,11.536,,221.752003,,,221.752003,273.664001,1061.220947,1045.062946,16.158001,16.158001,82.503998,,82.503998,1143.724945,1417.388947,500.419006,4.331,,,-209.414993,-89.971001,1067.044014,1272.408026,0.0,1272.408026,2689.796973,
06/30/1999,3038.596924,676.08197,676.08197,0,132.651993,132.651993,,0,0.0,0.0,0.0,0.0,96.735001,,,905.468994,59.853001,,,63.127998,2010.146973,,,,2010.146973,2133.127972,,59.560001,59.560001,,,,12.581,0.0,12.581,12.581,,229.940999,,,229.940999,302.082001,1371.625977,1356.388976,15.237,15.237,84.306999,,84.306999,1455.932976,1758.014977,484.958008,4.361,,,-209.414993,-79.992996,1080.67099,1280.582008,0.0,1280.582008,3038.596985,
09/30/1999,15335.725586,257.265991,257.265991,0,623.169983,623.169983,,0,0.0,0.0,0.0,0.0,228.5,,,1108.936035,2075.608887,,,56.52,12094.661133,8439.757812,8439.757812,0.0,3654.90332,14226.79002,,818.265015,818.265015,,,,23.061001,6.128,16.933001,16.933001,,521.89896,,,521.89896,1363.224976,4479.490234,4339.902237,139.587997,139.587997,260.410004,,260.410004,4739.900238,6103.125214,0.0,7.899,,,-209.414993,40.997002,9393.12014,9232.601149,0.0,9232.601149,15335.726362,
12/31/1999,19705.580078,1633.499023,1633.499023,0,966.973022,966.973022,,0,0.0,0.0,0.0,0.0,346.061005,,,2946.532959,6026.053223,6150.926758,-124.874001,52.051998,10680.942383,9557.421875,,,1123.520508,16759.047604,,509.865997,509.865997,,,,5.496,-47.739001,53.235001,53.235001,,1337.23102,,,1337.23102,1852.593018,5018.543945,4816.211945,202.332001,202.332001,1179.892944,,1179.892944,6198.43689,8051.029907,2084.697021,9586.918945,,,-209.414993,-158.988998,0.0,11303.211975,351.338013,11654.549988,19705.579895,
03/31/2000,21489.970703,1250.953003,1250.953003,0,912.072021,912.072021,,0,0.0,0.0,0.0,0.0,452.578003,,,2615.603027,7985.650879,8251.467773,-265.816986,42.418999,10846.296875,9436.714844,9436.714844,0.0,1409.582031,18874.366753,,919.909973,919.909973,,,,11.649,11.649,0.0,0.0,,1301.594103,,,1301.594103,2233.153076,6031.662109,6031.662109,0.0,0.0,1308.81604,,1308.81604,7340.478149,9573.631226,2485.26709,9583.647461,,,-209.414993,-421.190002,1.5e-05,11438.30957,478.029999,11916.339569,21489.970795,
06/30/2000,26901.865234,2294.501953,2294.501953,0,847.427002,847.427002,,0,0.0,0.0,0.0,0.0,444.208008,,,3586.136963,7909.415039,8344.755859,-435.341003,42.238998,15364.074219,10867.908203,10867.908203,0.0,4496.166016,23315.728256,,1108.837036,1108.837036,,,,11.329,11.329,0.0,0.0,,1000.872049,,,1000.872049,2121.038086,6230.194824,6230.194824,0.0,0.0,1824.749023,,1824.749023,8054.943848,10175.981934,3156.960938,9.007,,,-209.414993,-867.799988,14146.199356,16234.952312,490.931,16725.883312,26901.865246,
09/30/2000,26605.583984,1191.713989,1191.713989,0,961.531982,961.531982,,0,0.0,0.0,0.0,0.0,469.710999,,,2622.957031,8828.848633,9404.698242,-575.848999,27.497,15126.28125,10640.255859,10640.255859,0.0,4486.025391,23982.626883,,1180.732056,1180.732056,,,,773.411011,773.411011,0.0,0.0,,1143.401855,,,1143.401855,3097.544922,5329.896973,5329.896973,0.0,0.0,2076.288086,,2076.288086,7406.185059,10503.72998,3157.50293,9.048,,,-209.414993,-1411.896973,14058.893021,15604.131985,497.721985,16101.85397,26605.58395,
12/31/2000,30185.0,1477.0,1477.0,0,1044.0,880.0,,0,0.0,0.0,0.0,0.0,661.0,,,3182.0,10030.0,10753.0,-723.0,0.0,16973.0,11481.0,11481.0,0.0,5492.0,27003.0,,401.0,401.0,,,,1000.0,,,,,3266.0,,,3266.0,4667.0,6271.0,,,,3440.0,,3440.0,9711.0,14378.0,3158.0,13775.0,,,-209.0,-1866.0,0.0,14858.0,949.0,15807.0,30185.0,
