Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2005,359.43,,-303.4,,56.03,,-20.85,17.715,3.135,35.18,-25.583,-0.945,2.982,-3.927,0.0,,26.528,9.597,-94.672,-85.075,0.0,,,-85.075,-6.313,-91.388,0.0,0.0,-91.388,-91.388,,275.0,-0.362,-0.362,-0.26,275.0,-0.362,-0.362,-0.26,
12/31/2005,463.0,,-460.7,,2.3,,-14.0,,,-11.7,-7.0,,,,0.0,,7.0,-18.7,8.7,-10.0,2.8,,,-12.8,0.0,-12.8,0.0,0.0,-12.8,-12.8,,274.999995,-0.046,-0.036,-0.036,274.999995,-0.046,-0.036,-0.036,
03/31/2006,400.5,,-423.2,,-22.7,,-13.0,,,-35.7,0.8,-2.2,0.5,-2.7,,,1.4,-34.9,16.2,-18.7,,,,-18.7,-5.9,-24.6,,,-24.6,-24.6,,275.0,-0.09,-0.09,0.06,275.0,-0.09,-0.09,0.06,
06/30/2006,664.8,,-563.6,,101.2,,-15.9,,,85.3,1.4,-1.3,1.5,-2.8,0.0,,-0.1,86.7,-27.7,59.0,0.0,,,59.0,-16.4,42.6,0.0,0.0,42.6,42.6,-11.7,275.0,0.154,0.154,0.112,275.0,0.154,0.154,0.112,
09/30/2006,398.6,,-372.8,,25.8,,-13.5,,,12.3,3.5,-3.3,0.5,-3.8,0.0,,-0.2,15.8,-3.7,12.1,0.0,,,12.1,-4.8,7.3,0.0,0.0,7.3,7.3,,275.0,0.026,0.026,0.026,275.0,0.026,0.026,0.026,
12/31/2006,569.0,,-526.1,,42.9,,-33.5,14.0,19.5,9.4,4.8,,0.4,-3.2,0.0,,-2.0,14.6,-4.5,9.7,0.0,,,10.1,-1.7,8.0,0.0,0.0,8.0,8.0,,275.0,0.03,0.03,0.03,275.0,0.03,0.03,0.03,
03/31/2007,472.4,,-367.3,,105.1,0.0,-15.0,13.7,1.3,90.1,3.9,-3.4,0.5,-3.9,0.0,,-0.5,94.0,-29.8,64.2,0.0,,,64.2,-7.0,57.2,0.0,0.0,57.2,57.2,,275.5,0.208,0.208,0.208,281.0,0.204,0.204,0.204,
06/30/2007,848.9,,-671.3,,177.6,,-18.2,,,159.4,5.1,-4.7,0.3,-5.0,0.0,,-0.4,164.5,-51.3,113.2,0.0,,,113.2,-19.6,93.6,0.0,0.0,93.6,93.6,,277.0,0.338,0.338,0.338,283.0,0.33,0.33,0.33,
09/30/2007,582.9,,-431.6,,151.3,,-13.4,,,137.9,6.3,-5.9,0.5,-6.4,0.0,,-0.4,144.2,-46.1,98.1,0.0,,,98.1,-11.6,86.5,0.0,0.0,86.5,86.5,,278.0,0.31,0.31,0.31,284.5,0.304,0.304,0.304,
12/31/2007,852.5,,-616.5,,236.0,,-21.8,17.4,4.4,214.2,10.3,-8.3,0.8,-9.1,0.0,,-1.1,224.5,-72.3,152.2,0.0,,,152.2,-16.4,135.8,0.0,0.0,135.8,135.8,,279.5,0.486,0.486,0.486,286.0,0.476,0.476,0.476,
