Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,97.573997,14.929,14.914,0.015,18.497,,,22.771999,,,,,2.144,,,,,,58.341999,31.017,,,0.0,,8.215,,,,,,8.215,39.232,,10.422,10.422,,,,13.734,,,,,,7.537001,,,7.537001,31.693001,8.877,,,,,14.159,,,14.159,23.036,54.729001,0.0,21.993,,,0.0,,6.141,28.134,14.711,42.845,97.574001,
06/30/1990,109.054001,4.612,4.612,0.0,21.240999,,,20.365999,,,,,3.703,,,,,,49.922001,44.409,,,0.0,,14.723,,,,,,14.723,59.132,,12.933,12.933,,,,13.207,,,,,,6.653,,,6.653,32.792999,11.752,,,,,16.525999,,,16.525999,28.277999,61.070998,0.0,40.346001,,,0.0,,6.904,47.25,0.733,47.983,109.053999,
09/30/1990,115.523003,3.243,3.243,0.0,24.604,,,22.775999,,,,,3.599,,,,,,54.222,46.234001,,,0.0,,15.067,,,,,,15.067,61.301002,,15.049,15.049,,,,15.145,,,,,,6.349998,,,6.349998,36.543999,12.49,,,,,17.01,,,17.01,29.5,66.043999,0.0,40.375999,,,0.0,,8.308,48.683999,0.795,49.478999,115.522998,
12/31/1990,170.259003,33.181,33.181,0.0,28.488001,,,32.056999,,,,,7.133,,,,,,100.859001,56.376999,64.615997,-8.239,0.0,,13.023,,,,,,13.023,69.399999,,19.539,19.539,,,,21.777,,,,,,18.328001,,,18.328001,59.644001,7.648,,,,,23.205,,,23.205,30.853,90.497001,0.0,41.844002,,,0.0,,36.083,77.927002,1.835,79.762002,170.259003,
03/31/1991,161.860992,18.742001,18.742001,0.0,28.398001,,,37.375,,,,,4.688,,,,,,89.203003,59.473,,,,,13.185,,,,,,13.185,72.658,,19.415001,19.415001,,,,20.728001,,,,,,8.779999,,,8.779999,48.923,8.746,,,,,24.289,,,24.289,33.035,81.958,0.0,40.570999,,,0.0,,37.469002,78.040001,1.863,79.903001,161.861001,
06/30/1991,176.414001,5.623,5.623,0.0,32.521,,,43.365002,,,,,6.531,,,,,,88.040001,74.07,,,0.0,,14.304,,,,,,14.304,88.374,,26.618999,26.618999,,,,28.958,,,,,,8.896999,,,8.896999,64.473999,8.557,,,,,24.205999,,,24.205999,32.763,97.236999,0.0,40.570999,,,0.0,,38.605999,79.176998,0.0,79.176998,176.413997,
09/30/1991,192.014008,11.115,11.115,0.0,32.658001,,,47.292999,,,,,8.924,,,,,,99.989998,78.037003,,,0.0,,13.987,,,,,,13.987,92.024003,,19.958,19.958,,,,27.927999,,,,,,10.280001,,,10.280001,58.166,8.142,,,,,26.375999,,,26.375999,34.518,92.684,0.0,58.611,,,0.0,,40.719002,99.330002,0.0,99.330002,192.014002,
12/31/1991,185.022003,6.661,6.661,0.0,29.330999,,,48.145,,,,,6.541,,,,,,90.678001,79.262001,94.674004,-15.412,0.0,,15.082,,,,,,15.082,94.344001,,16.892,16.892,,,,27.393999,,,,,,7.570999,,,7.570999,51.856998,5.878,,,,,25.164,,,25.164,31.042,82.898998,0.0,60.23,,,0.0,,41.893002,102.123002,0.0,102.123002,185.022,
03/31/1992,201.742996,15.434,10.434,5.0,28.771,,,47.167999,,,,,5.826,,,,,,97.198997,87.988998,,,0.0,,16.555,,,,,,16.555,104.543999,,15.384,15.384,,,,10.974,,,,,,10.286001,,,10.286001,36.644001,37.643002,,,,,26.094999,,,26.094999,63.738001,100.382002,0.0,59.238998,,,0.0,,42.122002,101.361,0.0,101.361,201.743002,
06/30/1992,197.595993,11.387,6.387,5.0,27.870001,,,43.722,,,,,8.09,,,,,,91.069,86.919998,,,0.0,,19.607,,,,,,19.607,106.526999,,13.442,13.442,,,,9.288,,,,,,11.883998,,,11.883998,34.613998,37.397999,,,,,23.451,,,23.451,60.848999,95.462997,0.0,60.088001,,,0.0,,42.044998,102.132999,0.0,102.132999,197.595997,
09/30/1992,206.179001,7.083,2.083,5.0,35.118999,,,39.035,,,,,10.757,,,,,,91.994003,94.249001,,,0.0,,19.936001,,,,,,19.936001,114.185001,,15.122,15.122,,,,18.577999,,,,,,8.269003,,,8.269003,41.969002,37.192001,,,,,24.922001,,,24.922001,62.114002,104.083004,0.0,60.380001,,,0.0,,41.716,102.096001,0.0,102.096001,206.179005,
12/31/1992,230.595993,9.04,4.04,5.0,46.668999,,,39.049,,,,,16.316,,,,,,111.073997,100.956001,124.919998,-23.964001,0.0,,18.566,,,,,,18.566,119.522001,,28.695,28.695,,,,26.504999,,,,,,10.145002,,,10.145002,65.345001,37.304001,,,,,26.791,,,26.791,64.095001,129.440002,0.0,60.488998,,,0.0,,40.667,101.155998,0.0,101.155998,230.596,
03/31/1993,235.227997,7.378,2.378,5.0,46.054001,,,42.18,,,,,19.638,,,,,,115.25,101.5,,,0.0,,18.478001,,,,,,18.478001,119.978001,,25.669001,25.669001,,,,33.248001,,,,,,8.341002,,,8.341002,67.258003,37.936001,,,,,28.073,,,28.073,66.009001,133.267004,0.0,60.497002,,,0.0,,41.464001,101.961002,0.0,101.961002,235.228006,
06/30/1993,241.445007,7.418,2.418,5.0,49.042999,,,46.912998,,,,,14.599,,,,,,117.973,101.418999,,,,,22.052999,,,,,,22.052999,123.471998,,26.995001,26.995001,,,,36.514,,,,,,8.774996,,,8.774996,72.283997,37.889999,,,,,28.500999,,,28.500999,66.390999,138.674995,0.0,60.5,,,0.0,,42.27,102.77,0.0,102.77,241.444996,
09/30/1993,269.710999,2.708,2.708,0.0,66.651001,,,63.112999,,,,,9.622,,,,,,142.093994,104.662003,,,0.0,,22.955,,,,,,22.955,127.617002,,42.918999,42.918999,,,,44.985001,,,,,,9.582001,,,9.582001,97.486,38.428001,,,,,29.615999,,,29.615999,68.044001,165.530001,0.0,60.508999,,,-0.746,,44.418001,104.181,0.0,104.181,269.711,
12/31/1993,277.230988,4.799,4.799,0.0,51.945,,,68.458,,,,,12.147,,,,,,137.348999,108.135002,142.102005,-33.966999,0.0,,31.747,,,,,,31.747,139.882002,,38.865002,38.865002,,,,49.194,,,,,,11.521999,,,11.521999,99.581001,38.981998,,,,,30.931999,,,30.931999,69.913997,169.494998,0.0,62.757999,,,-909.0,,953.978001,107.736,0.0,107.736,277.230998,
03/31/1994,324.140991,27.361,27.361,0.0,47.484001,,,71.678001,,,,,11.292,,,,,,157.815002,130.776993,,,0.0,,35.549,,,,,,35.549,166.325993,,34.514999,34.514999,,,,12.284,,,,,,10.684002,,,10.684002,57.483002,127.333,,,,,29.666,,,29.666,156.999001,214.482002,0.0,67.883003,,,0.0,,41.776001,109.659004,0.0,109.659004,324.141006,
06/30/1994,308.48999,1.564,1.564,0.0,47.705002,,,76.956001,,,,,11.291,,,,,,137.516006,133.341003,,,0.0,,37.632999,,,,,,37.632999,170.974003,,24.702999,24.702999,,,,8.741,,,,,,11.055001,,,11.055001,44.499001,124.779999,,,,,30.194,,,30.194,154.973999,199.473,0.0,67.897003,,,-1.082,,42.201999,109.017002,0.0,109.017002,308.490002,
09/30/1994,339.001007,1.667,1.667,0.0,63.143002,,,85.664001,,,,,10.864,,,,,,161.337997,148.291,,,0.0,,29.372,,,,,,29.372,177.663,,31.829,31.829,,,,17.959999,,,,,,19.754999,,,19.754999,69.543999,126.68,,,,,31.968,,,31.968,158.648001,228.191999,0.0,67.897003,,,-1.182,,44.093999,110.809002,0.0,110.809002,339.001001,
12/31/1994,350.687988,3.144,3.144,0.0,72.790001,,,82.625,,,,,6.244,,,,,,164.802994,150.895004,196.445007,-45.549999,0.0,,34.990002,,,,,,34.990002,185.885006,,30.740999,30.740999,,,,20.454,,,,,,19.269997,,,19.269997,70.464996,125.690002,,,,,43.619999,,,43.619999,169.310001,239.774997,0.0,67.896004,,,-1.303,,44.319998,110.913002,0.0,110.913002,350.687999,
03/31/1995,356.050995,1.31,1.31,0.0,72.822998,,,91.212997,,,,,7.003,,,,,,172.348999,155.835007,,,0.0,,27.867001,,,,,,27.867001,183.702007,,40.16,40.16,,,,26.181999,,,,,,17.273998,,,17.273998,83.615997,124.866997,,,,,36.375,,,36.375,161.241997,244.857994,0.0,67.896004,,,-1.341,,44.638001,111.193005,0.0,111.193005,356.050999,
