Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,EV/Sales,EV/EBITDA,EV/Market Cap,Total Debt/EV,EV/Net Income,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
03/31/1994,280.3125,-35.902,0.0,73.624001,254.481995,572.516495,,,2.042422,0.444497,,280.3125,572.516495,36.872726,,
06/30/1994,280.3125,-25.122,0.0,72.836998,245.363998,573.391497,,,2.045544,0.427917,,280.3125,573.391497,36.92908,,
09/30/1994,287.5,-9.293,0.0,73.820999,313.299988,665.327987,,,2.314184,0.470896,,287.5,665.327987,42.850217,,
12/31/1994,307.265625,-3.824,0.0,72.375999,313.631989,689.449613,7.992785,12.16175,2.243823,0.454902,89.099198,309.253509,691.437497,44.403762,,
03/31/1995,292.890625,-0.161,0.0,69.643997,313.954987,676.328609,7.398442,11.178431,2.309151,0.464205,64.950408,292.890625,676.328609,43.558709,,
06/30/1995,282.109375,-1.531,0.0,66.517998,321.292999,668.389372,7.038345,10.543251,2.369256,0.480697,67.739877,282.109375,668.389372,43.047385,,
09/30/1995,305.490009,-5.013,0.0,65.321999,408.627014,774.426021,7.874505,11.855879,2.535029,0.527651,75.864617,305.490009,774.426021,49.873168,,
12/31/1995,399.539986,-15.57,0.0,95.739998,485.192993,964.902977,9.416536,14.00887,2.415035,0.502841,85.366979,375.960007,941.322998,44.7176,,
03/31/1996,392.068263,-8.82,0.0,94.139,563.229004,1040.616267,9.075115,13.48997,2.654171,0.541246,77.657928,392.068263,1040.616267,48.22405,,
06/30/1996,419.916006,-4.112,0.0,91.667,571.969971,1079.440977,8.408367,12.641156,2.570612,0.529876,69.146177,419.873989,1079.39896,49.978228,,
09/30/1996,447.343376,-2.631,0.0,89.402,576.39801,1110.512386,7.941591,11.947674,2.482461,0.519038,63.643326,447.365738,1110.534749,51.424554,,
12/31/1996,672.535876,-15.643,0.0,112.241997,789.239014,1558.373887,10.050199,15.29482,2.317161,0.50645,82.405685,605.002775,1490.840786,56.045093,,
03/31/1997,724.919983,-9.628,0.0,110.083,881.606018,1706.981001,10.03705,15.213192,2.354716,0.516471,80.286959,1073.100021,2055.161039,61.041014,,
06/30/1997,719.585243,-8.383,0.0,107.75,891.851013,1710.803256,9.265565,13.848285,2.377485,0.521305,73.993481,1067.819987,2059.038,61.080966,,
09/30/1997,752.84,-12.82,0.0,102.996,988.936,1831.952,8.983504,13.594182,2.433388,0.539826,90.101909,1114.876,2193.988,65.333285,,
12/31/1997,741.142476,-25.153999,0.0,100.462997,1122.959015,1939.410489,8.767124,13.143734,2.616785,0.579021,87.971084,1233.138044,2431.406057,69.045915,,
03/31/1998,857.038,-18.726,100.0,131.542,1199.882,2269.736,9.779678,14.624588,2.648349,0.528644,99.698499,1187.23325,2599.93125,72.943623,,
06/30/1998,951.513033,-96.365997,250.0,161.679993,1188.790985,2455.618014,10.183202,15.305618,2.580751,0.484111,94.381506,1272.895283,2777.000264,70.036433,,
09/30/1998,872.585562,-16.902,250.0,163.099,1403.985,2672.767563,10.311961,15.341776,3.063044,0.525293,81.189781,1218.861902,3019.043902,76.212592,,
12/31/1998,868.738761,-25.143,0.091,165.524002,1507.118011,2516.328775,8.864651,13.278429,2.896531,0.598935,57.091973,1155.866835,2803.456849,68.717468,,
03/31/1999,770.953012,-23.879,0.091,162.785,1614.997,2524.947012,8.373645,12.474172,3.275098,0.639616,50.577841,1056.443437,2810.437437,68.791708,,
06/30/1999,892.68375,-24.61,0.091,160.618,1693.246,2722.02875,8.485048,12.559596,3.049264,0.622053,50.496776,1229.6025,3058.9475,74.105335,,
