Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,1617.838989,,,-1027.077026,,590.761963,,-574.619995,,,,16.142,-1.153,,0.8,,,0.353,14.989,-3.705,,11.284,0.0,,,11.284,-3.473,7.811,-3.977,,3.834,3.834,,410.911987,0.01,0.01,,410.911987,0.01,0.01,0.01,
06/30/1990,1949.194946,,,-1186.790039,,762.404907,,-622.763977,,,,139.641006,-6.708,,5.43,,,1.278,132.933007,-41.033001,,91.900002,0.0,,,91.900006,-13.65,78.25,-3.977,,74.273,74.273,,411.447998,0.18,0.18,,411.447998,0.18,0.18,0.18,
09/29/1990,2023.032959,,,-1270.765015,,752.267944,,-634.538025,,,,117.730003,-9.44,,7.0,,,2.44,108.290003,-34.223999,,74.066002,0.0,,,74.066004,-9.794,64.272003,-3.977,,60.295003,60.295003,,411.855988,0.1475,0.1475,,411.855988,0.1475,0.1475,0.1475,
12/31/1990,3096.697998,,,-1887.727051,,1208.970947,,-818.281006,,,,390.690002,-13.65,,10.592,,,3.058,377.040002,-123.063004,,253.977005,0.0,,,253.976998,-19.049,234.927994,-3.977,,230.950994,230.950994,,411.854004,0.56,0.56,0.56,411.854004,0.56,0.56,0.56,
03/30/1991,2046.438965,,,-1335.990967,,710.447998,,-702.440979,,,,8.007,-6.491,,4.527,,,1.964,1.516,1.149,,2.665,0.0,,,2.665,-5.028,-2.363,-3.974,,-6.337,-6.337,,411.992004,-0.015,-0.015,,411.992004,-0.015,-0.015,-0.015,
06/30/1991,2268.936035,,,-1397.428955,,871.50708,,-754.838989,,,,116.667999,-9.897,,7.188,,,2.709,106.770999,-31.983999,,74.787003,0.0,,,74.787,-15.002,59.785,-3.977,,55.808,55.808,,412.59201,0.135,0.135,,412.59201,0.135,0.135,0.135,
09/28/1991,2316.089111,,,-1451.636963,,864.452148,,-752.445984,,,,112.005997,-13.642,,9.35,,,4.292,98.363997,-32.026001,,66.337997,0.0,,,66.337996,-10.717,55.620998,-3.961,,51.659998,51.659998,,412.928009,0.125,0.125,,412.928009,0.125,0.125,0.125,
12/31/1991,3254.718994,,,-1978.796021,,1275.922973,,-842.994019,,,,432.928986,0.518,,9.447,,,-9.965,433.446986,-180.087997,,253.358994,0.0,,,253.358989,-19.721001,233.638,-3.924,,229.714,229.714,,416.212004,0.5525,0.5525,0.5525,416.212004,0.5525,0.5525,0.5525,
03/28/1992,2059.351074,,,-1327.831055,,731.52002,,-742.372009,,,,-10.852,-3.154,,3.772,,,-0.618,-14.006,5.005,,-9.001,22.551001,,,-31.552001,-4.608,-36.16,-3.967,,-40.127,-40.127,,417.032013,-0.095,-0.04,,417.032013,-0.095,-0.04,-0.04,
07/01/1992,2495.072998,,,-1546.094971,,948.978027,,-796.156982,,,,152.820999,-6.767,,6.767,,,0.0,146.053999,-53.889999,,92.164001,0.0,,,92.164,-15.087,77.077003,-3.955,,73.122004,73.122004,,417.436005,0.1775,0.1775,,417.436005,0.1775,0.1775,0.1775,
