Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,3756.861084,49.167,22.237,26.93,402.772003,,,63.618999,,,,,90.388,,,,,,605.945984,1434.165039,2384.795898,-950.630981,0.0,,1716.75,,,,,1716.75,3150.915039,,157.725006,157.725006,,,,1.174,,,,,,309.980999,,,,309.980999,468.880005,930.973022,,,,,385.342987,,,385.342987,1316.31601,1785.196014,0.0,199.712997,,,-96.478996,,1868.431023,1971.665024,0.0,1971.665024,3756.861038,
06/30/1990,3825.981934,48.756001,22.547001,26.209,431.531006,,,64.765999,,,,,93.315002,,,,,,638.367981,1434.379028,2422.475098,-988.096008,0.0,,1753.234985,,,,,1753.234985,3187.614014,,142.108002,142.108002,,,,1.189,,,,,,292.107997,,,,292.107997,435.404999,930.96698,,,,,398.980988,,,398.980988,1329.947968,1765.352966,0.0,202.039993,,,-67.68,,1926.26899,2060.628983,0.0,2060.628983,3825.981949,
09/29/1990,3770.125,45.269001,19.193001,26.076,408.243988,,,73.528999,,,,,111.355003,,,,,,638.396973,1441.25,2466.854004,-1025.604004,0.0,,1690.478027,,,,,1690.478027,3131.728027,,146.042007,146.042007,,,,1.248,,,,,,315.669007,,,,315.669007,462.959015,863.903992,,,,,413.563995,,,413.563995,1277.467987,1740.427002,0.0,201.664001,,,-81.023003,,1909.05706,2029.698059,0.0,2029.698059,3770.125061,
12/30/1990,3826.14502,56.238001,25.089001,31.149,447.080994,,,66.525002,,,,,98.846001,,,,,,668.690002,1472.123047,2472.962891,-1000.840027,0.0,,1685.332031,,,,,1685.332031,3157.455078,,135.406998,135.406998,,,,1.251,,,,,,363.545005,,,,363.545005,500.203003,848.632996,,,,,414.231995,,,414.231995,1262.864991,1763.067994,0.0,201.960007,,,-116.440002,,1977.556945,2063.07695,0.0,2063.07695,3826.144944,
03/31/1991,3729.813965,47.964001,16.482,31.482,385.709015,,,72.199997,,,,,97.802002,,,,,,603.674988,1471.555054,2510.049072,-1038.494019,0.0,,1654.583984,,,,,1654.583984,3126.139038,,131.175003,131.175003,,,,1.234,,,,,,287.455011,,,,287.455011,419.864014,851.396973,,,,,389.946014,,,389.946014,1241.342987,1661.207001,0.0,200.970001,,,-111.613998,,1979.250961,2068.606964,0.0,2068.606964,3729.813965,
06/30/1991,3688.177002,49.737,21.094999,28.642,411.437988,,,64.764,,,,,100.474998,,,,,,626.414001,1479.512939,2556.173096,-1076.660034,0.0,,1582.25,,,,,1582.25,3061.762939,,137.190002,137.190002,,,,1.174,,,,,,299.526012,,,,299.526012,437.890015,1406.868042,,,,,396.277008,,,396.277008,1803.14505,2241.035065,0.0,199.574005,,,-779.04303,,2026.611023,1447.141998,0.0,1447.141998,3688.177063,
09/29/1991,3721.939941,58.818998,24.802999,34.015999,388.640015,,,61.853001,,,,,117.262001,,,,,,626.573975,1519.317017,2632.803955,-1113.487061,0.0,,1576.04895,,,,,1576.04895,3095.365967,,147.584,147.584,,,,0.297,,,,,,304.566998,,,,304.566998,452.447998,1382.373047,,,,,403.82901,,,403.82901,1786.202057,2238.650055,0.0,201.035004,,,-760.804993,,2043.059998,1483.290009,0.0,1483.290009,3721.940063,
12/31/1991,3684.080078,70.673,29.554001,41.118999,419.515015,,,51.380001,,,,,94.532997,,,,,,636.101013,1484.910034,2593.518066,-1108.608032,0.0,,1563.06897,,,,,1563.06897,3047.979004,,153.210007,153.210007,,,,0.359,,,,,,290.265984,,,,290.265984,443.834991,1335.394043,,,,,365.364014,,,365.364014,1700.758057,2144.593048,0.0,202.569,,,-758.645996,,2095.563965,1539.486969,0.0,1539.486969,3684.080017,
03/29/1992,3575.736084,49.204001,12.04,37.164001,362.634003,,,49.333,,,,,90.456001,,,,,,551.627014,1476.20105,2619.731934,-1143.531006,0.0,,1547.907959,,,,,1547.907959,3024.109009,,138.826004,138.826004,,,,0.29,,,,,,243.859002,,,,243.859002,382.975006,1278.88501,,,,,353.218994,,,353.218994,1632.104004,2015.07901,0.0,200.699005,,,-744.778992,,2104.737,1560.657013,0.0,1560.657013,3575.736023,
06/28/1992,3601.610107,66.072001,29.823,36.249001,411.268005,,,41.400002,,,,,88.579002,,,,,,607.31897,1469.235962,2641.73291,-1172.496948,0.0,,1525.055054,,,,,1525.055054,2994.291016,,152.779007,152.779007,,,,0.237,,,,,,245.593002,,,,245.593002,398.609009,1239.886963,,,,,346.484009,,,346.484009,1586.370972,1984.97998,0.0,200.186005,,,-742.43103,,2158.875,1616.629974,0.0,1616.629974,3601.609955,
09/28/1992,3546.385986,45.668001,6.851,38.817001,399.959991,,,43.581001,,,,,99.210999,,,,,,588.419983,1445.120972,2650.666992,-1205.546021,0.0,,1512.844971,,,,,1512.844971,2957.965942,,145.205994,145.205994,,,,0.169,,,,,,269.531012,,,,269.531012,414.906006,1131.909058,,,,,349.598999,,,349.598999,1481.508057,1896.414062,0.0,200.061996,,,-741.164001,,2191.074036,1649.972031,0.0,1649.972031,3546.386093,
12/27/1992,3609.009033,73.329002,31.672001,41.657001,431.292999,,,48.087002,,,,,78.737999,,,,,,631.447021,1475.291016,2693.342041,-1218.051025,0.0,,1502.270996,,,,,1502.270996,2977.562012,,153.483994,153.483994,,,,0.267,,,,,,277.800001,,,,277.800001,431.550995,1080.755981,,,,,516.601013,,,516.601013,1597.356994,2028.907989,0.0,202.718002,,,-733.195984,,2110.579041,1580.101059,0.0,1580.101059,3609.009048,
03/28/1993,3798.668945,69.579,28.886999,40.692001,382.951996,,,65.181,,,,,87.529999,,,,,,605.242004,1506.609985,2763.724121,-1257.114014,0.0,,1686.817017,,,,,1686.817017,3193.427002,,172.828995,172.828995,,,,0.113,,,,,,285.517997,,,,285.517997,458.459991,1117.090942,,,,,513.687988,,,513.687988,1630.778931,2089.238922,0.0,233.947006,,,-656.807983,,2132.291016,1709.430038,0.0,1709.430038,3798.668961,
06/27/1993,3827.450928,69.372999,31.364,38.008999,429.766998,,,81.294998,,,,,79.050003,,,,,,659.484985,1496.180054,2797.5979,-1301.417969,0.0,,1671.786011,,,,,1671.786011,3167.966064,,161.307999,161.307999,,,,0.083,,,,,,280.480004,,,,280.480004,441.871002,1103.432983,,,,,504.575989,,,504.575989,1608.008972,2049.879974,0.0,233.494995,,,-653.786011,,2197.862061,1777.571045,0.0,1777.571045,3827.451019,
09/26/1993,3787.603027,65.025,24.080999,40.944,413.317993,,,73.310997,,,,,94.209999,,,,,,645.864014,1479.876953,2818.853027,-1338.975952,0.0,,1661.862061,,,,,1661.862061,3141.739014,,157.751007,157.751007,,,,0.06,,,,,,301.333982,,,,301.333982,459.144989,1010.30603,,,,,500.88501,,,500.88501,1511.19104,1970.336029,0.0,233.237,,,-652.13501,,2236.165039,1817.267029,0.0,1817.267029,3787.603058,
12/31/1993,3823.798096,75.494999,32.460999,43.034,449.062988,,,53.094002,,,,,180.304993,,,,,,757.95697,1478.269043,2794.610107,-1316.340942,0.0,,1587.572021,,,,,1587.572021,3065.841064,,169.425003,169.425003,,,,0.164,,,,,,285.550005,,,,285.550005,455.139008,850.685974,,,,,610.052979,,,610.052979,1460.738953,1915.877961,0.0,233.149994,,,-643.786987,,2318.557007,1907.920014,0.0,1907.920014,3823.797975,
03/27/1994,3751.2229,29.436999,16.716,12.721,403.567993,,,46.903,,,,,159.199997,,,,,,639.107971,1463.349976,2817.436035,-1354.08606,0.0,,1648.765015,,,,,1648.765015,3112.11499,,159.994003,159.994003,,,,0.117,,,,,,309.710988,,,,309.710988,469.821991,741.747986,,,,,594.916992,,,594.916992,1336.664978,1806.486969,0.0,231.828003,,,-632.340027,,2345.247986,1944.735962,0.0,1944.735962,3751.222931,
