Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1991,106.899002,1.355,1.355,0,31.42,,,57.869999,,,,,6.324,,,,,96.969002,8.288,,,0.0,1.642,,,,,,1.642,9.93,,23.195,23.195,,,1.887,,,,,11.038999,,,11.038999,36.120998,5.353,,,,0.117,,,,0.117,5.47,41.590999,0,56.726002,,,0.0,,8.582,65.308002,0.0,65.308002,106.899,
09/30/1991,122.892998,4.26,4.26,0,51.566002,,,52.304001,,,,,3.653,,,,,111.782997,8.75,,,0.0,2.36,,,,,,2.36,11.11,,21.211,21.211,,,0.939,,,,,14.689,,,14.689,36.839001,5.291,,,,0.043,,,,0.043,5.334,42.173001,0,58.726002,,,0.0,,21.993999,80.720001,0.0,80.720001,122.893002,
12/31/1991,128.712006,17.01,17.01,0,28.517,,,65.130997,,,,,6.531,,,,,117.189003,9.371,18.979,-9.608,0.0,2.152,,,,,,2.152,11.523,,27.726,27.726,,,1.032,,,,,8.906002,,,8.906002,37.664001,5.245,,,,0.0,,,,0.0,5.245,42.909001,0,58.845001,,,0.0,,26.958,85.803001,0.0,85.803001,128.712003,
04/05/1992,154.660004,5.976,5.976,0,54.692001,,,72.226997,,,,,9.437,,,,,142.332001,9.836,19.979,-10.143,0.0,2.492,,,,,,2.492,12.328001,,29.681,29.681,,,14.159,,,,,8.068001,,,8.068001,51.908001,4.92,,,,0.04,,,,0.04,4.96,56.868001,0,60.727001,,,0.0,,37.064999,97.792,0.0,97.792,154.660001,
07/05/1992,155.615997,4.088,4.088,0,46.459,,,80.211998,,,,,10.877,,,,,141.636002,11.499,22.17,-10.671,0.0,2.481,,,,,,2.481,13.98,,26.247,26.247,,,9.925,,,,,7.502,,,7.502,43.674,4.655,,,,0.039,,,,0.039,4.694,48.368,0,62.973,,,0.0,,44.275002,107.248001,0.0,107.248001,155.616001,
10/04/1992,173.630997,5.434,5.434,0,71.231003,,,70.230003,,,,,11.27,,,,,158.164993,13.055,23.987,-10.932,0.0,2.411,,,,,,2.411,15.466,,22.858999,22.858999,,,4.859,,,,,13.537002,,,13.537002,41.255001,4.854,,,,0.037,,,,0.037,4.891,46.146001,0,66.077003,,,0.0,,61.408001,127.485004,0.0,127.485004,173.631006,
12/31/1992,184.639008,32.987,32.987,0,36.547001,,,85.040001,,,,,12.867,,,,,167.440994,14.816,26.438,-11.622,0.0,2.382,,,,,,2.382,17.198,,37.622002,37.622002,,,1.131,,,,,6.311997,,,6.311997,45.064999,4.783,,,,0.0,,,,0.0,4.783,49.847999,0,67.160004,,,0.0,,67.630997,134.791,0.0,134.791,184.638999,
04/04/1993,210.682999,13.67,13.67,0,79.877998,,,84.829002,,,,,14.991,,,,,193.367996,15.793,28.181,-12.388,0.0,1.522,,,,,,1.522,17.315,,40.458,40.458,,,1.107,,,,,14.907,,,14.907,56.472,4.476,,,,0.54,,,,0.54,5.016,61.488,0,67.254997,,,0.0,,81.940002,149.195,0.0,149.195,210.683,
07/04/1993,217.115005,30.822001,30.822001,0,54.085999,,,96.834,,,,,17.361,,,,,199.102997,16.278999,29.530001,-13.251,0.0,1.733,,,,,,1.733,18.011999,,43.116001,43.116001,,,1.173,,,,,8.274998,,,8.274998,52.563999,4.121,,,,0.538,,,,0.538,4.659,57.222999,0,69.473,,,0.0,,90.418999,159.891998,0.0,159.891998,217.114997,
10/03/1993,236.481995,20.424999,20.424999,0,92.108002,,,88.938004,,,,,15.252,,,,,216.723007,17.594,31.471001,-13.877,0.0,2.165,,,,,,2.165,19.759,,35.105,35.105,,,1.146,,,,,14.611,,,14.611,50.862,4.26,,,,0.511,,,,0.511,4.771,55.633,0,70.874001,,,0.0,,109.974998,180.848999,0.0,180.848999,236.481999,
