Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
06/30/1989,18.799999,7.7,3.7,0.5,,,0.5,6.9,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1989,16.0,7.2,3.4,0.9,,,0.9,4.5,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1989,-7.8,5.4,3.9,-0.8,,,-0.8,-16.299999,,,,-16.299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1990,22.4,8.8,3.7,0.0,,,0.0,9.9,,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4,
06/30/1990,6.0,7.4,3.9,0.0,,,0.0,-5.3,,,,-5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,22.4,8.0,3.9,0.0,,,0.0,10.5,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,-8.3,8.4,4.4,0.0,,,0.0,-21.1,,,,-21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,4.6,9.6,4.1,1.6,,,1.6,-10.7,,,,-10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,
06/30/1991,20.299999,7.9,4.7,0.0,,,0.0,7.7,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/29/1991,15.0,9.1,4.6,0.0,,,0.0,1.3,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/29/1991,-4.5,19.299999,5.0,0.0,,,0.0,-28.799999,,,,-28.799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,48.099998,11.0,4.8,2.4,,,2.4,29.9,,,,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.099998,
06/28/1992,0.2,8.7,5.5,0.0,,,0.0,-14.0,,,,-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/27/1992,1.1,6.0,5.2,0.0,,,0.0,-10.1,,,,-10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/27/1992,29.299999,-18.700001,5.3,26.4,,,26.4,16.299999,,,,16.299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,34.5,5.8,4.1,-4.1,,,-4.1,28.700001,,,,28.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5,
06/27/1993,26.200001,4.1,5.2,4.7,,,4.7,12.2,,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/26/1993,29.5,5.5,7.4,1.7,,,1.7,14.9,,,,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/1994,15.2,6.0,6.7,1.3,,,1.3,1.2,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/03/1994,43.400002,6.6,9.4,-5.5,,,-5.5,32.900002,,,,32.900002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.400002,
07/03/1994,1.0,7.5,6.4,1.4,,,1.4,-14.3,,,,-14.3,,,-3.2,,,,-3.2,,,,,,,,,,3.2,,,,,,,,,,,,,
10/02/1994,7.5,7.2,6.0,-1.0,,,-1.0,-4.7,,,,-4.7,,,-2.0,,,,-2.0,,,,,,,,,,2.0,,,,,,,,,,,,,
01/01/1995,6.8,6.4,6.2,0.1,,,0.1,-5.9,,,,-5.9,,,-2.4,,,,-2.4,,,,,,,,,,2.4,,,,,,,,,,,,,
04/02/1995,24.9,7.9,5.3,3.8,,,3.8,7.9,,,,7.9,,,-3.3,,,,-3.3,,,,,,,,,,3.3,,,,,,,,,,,,,
07/02/1995,9.7,9.4,5.7,0.0,,,0.0,-5.4,,,,-5.4,,,-3.2,,,,-3.2,,,,,,,,,,3.2,,,,,,,,,,,,,
10/01/1995,10.7,9.5,5.2,0.0,,,0.0,-4.0,,,,-4.0,,,-4.0,,,,-4.0,,,,,,,,,,4.0,,,,,,,,,,,,,
12/31/1995,6.6,11.8,6.1,-0.3,,,-0.3,-11.0,,,,-11.0,,,-4.2,,,,-4.2,,,,,,,,,,4.2,,,,,,,,,,,,,
03/31/1996,45.0,10.4,5.9,1.4,,,1.4,27.299999,,,,27.299999,,,-8.3,,,,-8.3,,,,,,,,,,8.3,,,,,,,,,,,,,
06/30/1996,1.2,11.3,6.1,2.5,,,2.5,-18.700001,,,,-18.700001,,,-8.6,,,,-8.6,,,,,,,,,,8.6,,,,,,,,,,,,,
09/29/1996,2.7,13.3,8.8,-6.5,,,-6.5,-12.9,,,,-12.9,,,-8.2,,,,-8.2,,,,,,,,,,8.2,,,,,,,,,,,,,
12/29/1996,14.3,15.3,10.3,-0.8,,,-0.8,-10.5,,,,-10.5,,,-18.200001,,,,-18.200001,,,,,,,,,,18.200001,,,,,,,,,,,,,
03/30/1997,27.700001,16.6,10.0,1.1,,,1.1,0.0,,,,0.0,,,-17.799999,,,,-17.799999,,,,,,,,,,17.799999,,,,,,,,,,,,,
06/29/1997,6.2,19.5,10.8,1.2,,,1.2,-25.299999,,,,-25.299999,,-14.8,-15.9,0.0,,,-15.9,,,0.0,0.0,0.0,,,,,1.099999,0.7,-1.4,-1.5,,,,4.2,4.2,0.0,-0.6,,-7.9,
09/28/1997,41.299999,20.700001,10.3,1.1,,,1.1,9.2,,,,9.2,,-21.700001,-18.6,0.0,,,-18.6,,,0.0,0.0,0.0,,,,,-3.1,-13.100001,-1.5,-14.900002,,,,2.4,2.4,0.0,0.9,,6.5,
12/28/1997,23.0,21.6,11.3,0.0,,,0.0,-9.9,,,,-9.9,,-119.400002,-16.6,0.0,,,-16.6,,,0.0,0.0,0.0,,,,,-102.800001,101.299999,-1.5,104.199999,,,,0.8,0.8,0.0,-2.2,,4.9,
03/29/1998,77.0,24.299999,11.1,-3.9,,,-3.9,45.5,,,,45.5,,-49.799999,-31.799999,0.0,,,-31.799999,,,0.0,0.0,0.0,,,,,-18.0,-15.8,-1.4,-18.7,,,,4.5,4.5,0.0,-0.2,,11.4,
06/28/1998,15.3,24.4,13.2,-0.1,,,-0.1,-22.2,,,,-22.2,,-93.3,-16.7,0.0,,,-16.7,,,0.0,0.0,0.0,,,,,-76.6,62.4,-1.5,62.0,,,,1.7,1.7,0.0,0.2,,-15.6,
09/27/1998,20.8,25.3,13.2,0.0,,,0.0,-17.7,,,,-17.7,,-20.7,-20.8,0.0,,,-20.8,,,0.0,0.0,0.0,,,,,0.1,-3.7,-1.4,-3.4,,,,0.1,0.1,0.0,1.0,,-3.6,
12/27/1998,19.6,25.7,13.4,0.0,,,0.0,-19.5,,,,-19.5,,-13.0,-18.6,0.0,,,-18.6,,,0.0,0.0,0.0,,,,,5.6,-8.6,-1.5,-5.6,,,,0.4,0.4,0.0,-1.9,,-2.0,
03/28/1999,35.1,27.9,14.3,-1.7,,,-1.7,-5.4,,,,-5.4,,-25.0,-18.7,0.0,,,-18.7,,,0.0,0.0,0.0,,,,,-6.3,0.9,-1.5,-0.8,,,,4.0,4.0,0.0,-0.8,,11.0,
06/27/1999,24.8,22.3,14.9,4.2,,,4.2,-16.6,2.2,-1.7,,-17.1,,-7.5,-9.5,0.0,,,-9.5,,,0.0,0.0,0.0,,,,,2.0,-15.5,-1.5,-12.7,,,,0.4,0.4,0.0,-1.7,,1.8,
09/26/1999,38.9,23.3,15.3,-3.7,,,-3.7,4.0,-1.0,7.1,,-2.1,,-13.8,-11.0,0.0,,,-11.0,,,0.0,0.0,0.0,,,,,-2.8,-10.1,-1.4,-11.0,,,,0.4,0.4,0.0,1.9,,15.0,
