Date,Revenue,Sales & Services Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,292.622986,,,,,,,,,,,,,,,,,,,,,,,,,,17.131998,,,17.131998,17.131998,,0.0,0.0825,0.0825,,0.0,0.0825,0.0825,0.0825,
03/31/1990,274.30899,,,,-248.789001,,,,,,25.52,-2.859,,7.667,,,,-4.808,22.661001,-9.899,12.762,0.0,,,12.762001,-1.913,10.849,0.0,,10.849,10.849,,262.096008,0.05,0.05,,262.096008,0.05,0.05,0.05,
06/30/1990,298.53299,,,,-255.988998,,,,,,42.543999,-4.539,,9.36,,,,-4.821,38.004999,-16.518999,21.486,0.0,,,21.486,-4.055,17.431,0.0,,17.431,17.431,,262.936005,0.07875,0.07875,,262.936005,0.07875,0.07875,0.07875,
09/30/1990,281.604004,,,,-259.640991,,,,,,21.962999,-6.083,,10.283,,,,-4.2,15.879999,-7.055,8.825,0.0,,,8.824999,-2.162,6.663,0.0,,6.663,6.663,,207.735992,0.0325,0.0325,,207.735992,0.0325,0.0325,0.0325,
12/31/1990,323.786987,,,,-287.026001,,,,,,36.761002,-1.509,,12.815,,-5.621,,-5.685,35.252002,-12.431,22.820999,0.0,,,22.821002,-5.755,17.066,0.0,,17.066,17.066,,211.775408,0.08,0.08,0.08,211.775408,0.08,0.08,0.08,
03/31/1991,282.781006,,,,-255.272995,,,,,,27.507999,-5.355,,10.472,,,,-5.117,22.152999,-9.405,12.748,0.0,,,12.748,-2.219,10.529,0.0,,10.529,10.529,,212.423996,0.05,0.05,,212.423996,0.05,0.05,0.05,
06/30/1991,301.760986,,,,-262.959991,,,,,,38.800999,-2.045001,,9.1,,,,-7.055,36.755998,-15.806,20.950001,0.0,,,20.949998,-2.354,18.596001,0.0,,18.596001,18.596001,,279.480011,0.0775,0.0775,,279.480011,0.0775,0.0775,0.0775,
09/30/1991,275.375,,,,-250.123993,,,,,,25.250999,-6.008,,10.371,,,,-4.363,19.242999,-9.688,9.555,0.0,,,9.554999,-1.876,7.679,0.0,,7.679,7.679,,221.328003,0.035,0.035,,221.328003,0.035,0.035,0.035,
12/31/1991,376.240997,,,,-332.68399,,,,,,43.556999,-0.511,,11.457,,-5.278,,-5.668,43.045999,-14.349,28.697001,0.0,,,28.696999,-8.449,20.247999,0.0,,20.247999,20.247999,,226.066424,0.09,0.09,0.09,226.066424,0.09,0.09,0.09,
03/31/1992,308.888,,,,-279.07901,,,,,,29.809,-10.327,,9.639,,,,0.688,19.482,-7.678,11.804,-3.8,,,15.604,-2.876,12.728,0.0,,12.728,12.728,,226.472,0.05625,0.04,,226.472,0.05625,0.04,0.04,
06/30/1992,347.561005,,,,-302.329987,,,,,,45.230999,-1.709,,9.486,,,,-7.777,43.521999,-16.993,26.528999,0.0,,,26.528999,-4.172,22.357,0.0,,22.357,22.357,,283.399994,0.09,0.09,,283.399994,0.09,0.09,0.09,
09/30/1992,327.75,,,,-297.644989,,,,,,30.105,-6.938,,9.884,,,,-2.946,23.167,-10.633,12.534,0.0,,,12.533999,-2.157,10.377,0.0,,10.377,10.377,,225.832001,0.04625,0.04625,,225.832001,0.04625,0.04625,0.04625,
12/31/1992,400.962006,,,,-359.733002,,,,,,41.229,4.493999,,11.879,,0.0,,-16.372999,45.722999,-17.964001,27.759001,0.0,,,27.758998,-3.923,23.836,0.0,0.0,23.836,23.836,,227.94,0.105,0.105,0.105,227.94,0.105,0.105,0.105,
03/31/1993,339.139008,,,,-307.743988,,,,,,31.395,-4.965,,9.639,,,,-4.674,26.43,-10.39,16.040001,0.0,,,16.04,-1.584,14.456,0.0,,14.456,14.456,,233.328003,0.0625,0.0625,,233.328003,0.0625,0.0625,0.0625,
06/30/1993,381.757996,,,,-325.226013,,,,,,56.532001,-4.584,,10.215,,,,-5.631,51.948001,-20.677999,31.27,0.0,,,31.270002,-4.008,27.261999,0.0,,27.261999,27.261999,,241.919998,0.1125,0.1125,,241.919998,0.1125,0.1125,0.1125,
