Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Compensation,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1989,119.167999,18.726,18.726,,13.545,,,23.726,,,,,1.44,,,,,57.437,27.781,39.283001,-11.502,21.142,12.808,,,,,,12.808,61.731,,3.51,3.51,,,,0.051,,,,,,7.416,,,,7.416,10.977,0.65,,,,,1.317,,,,,,1.317,1.967,12.944,,18.358,,,-0.38,,88.245997,106.223997,,106.223997,119.167997,
09/30/1989,122.639999,19.806,19.806,,14.83,,,21.867001,,,,,0.965,,,,,57.467999,28.868999,40.875999,-12.007,22.85,13.453,,,,,,13.453,65.172,,2.71,2.71,,,,0.051,,,,,,6.825,,,,6.825,9.586,0.784,,,,,1.426,,,,,,1.426,2.21,11.796,,18.406,,,-0.38,,92.818004,110.844004,,110.844004,122.640004,
12/31/1989,136.307999,22.976,22.976,,17.632999,,,22.610001,,,,,0.996,,,,,64.214996,29.551001,42.033001,-12.482,23.605,18.937,,,,,,18.937,72.093,,3.768,3.768,,,,0.053,,,,,,12.692001,,,,12.692001,16.513,0.907,,,,,1.379,,,,,,1.379,2.286,18.799,,18.688999,,,-0.38,,99.2,117.508999,,117.508999,136.307999,
03/31/1990,137.520004,21.919001,21.919001,,17.381001,,,23.167,,,,,0.421,,,,,62.888,30.907,43.994999,-13.088,,43.724998,,,,,,43.724998,74.631998,,3.388,3.388,,,,0.053,,,,,,3.782,,,,3.782,7.223,1.086,,,,,1.978,,,,,,1.978,3.064,10.287,,18.82,,,,,108.413002,127.233002,,127.233002,137.520002,
06/30/1990,148.369003,28.580999,28.580999,,17.479,,,25.278,,,,,0.947,,,,,72.285004,31.215,44.992001,-13.777,,44.868999,,,,,,44.868999,76.084,,2.761,2.761,,,,0.053,,,,,,9.19,,,,9.19,12.004,1.251,,,,,2.101,,,,,,2.101,3.352,15.356,,18.917,,,-0.372,,114.468001,133.013,,133.013,148.369,
09/30/1990,156.947998,39.615002,39.615002,,15.667,,,28.534,,,,,0.758,,,,,84.573997,32.011002,46.497002,-14.486,,40.362999,,,,,,40.362999,72.374001,,3.288,3.288,,,,0.053,,,,,,12.254,,,,12.254,15.595,1.427,,,,,0.914,,,,,,0.914,2.341,17.936,,19.021,,,-0.372,,120.362997,139.011997,,139.011997,156.947998,
12/31/1990,163.011002,30.900999,30.900999,,16.809999,,,29.173,,,,,0.479,,,,,77.362999,32.812,48.006001,-15.194,,52.835999,,,,,,52.835999,85.647999,,2.724,2.724,,,,0.054,,,,,,12.326,,,,12.326,15.104,1.737,,,,,0.734,,,,,,0.734,2.471,17.575,,19.084,,,-0.372,,126.723997,145.435997,,145.435997,163.010997,
03/31/1991,186.955002,43.622002,43.622002,,17.641001,,,31.856001,,,,,1.383,,,,,94.501999,36.138,54.993999,-18.856001,17.983999,38.331001,,,,,,38.331001,92.453,,2.593,2.593,,,,,,,,,,10.338,,,,10.338,12.931,1.098,,,,,5.395,,,,,,5.395,6.493,19.424,,23.764999,,,-0.372,,144.138006,167.531005,,167.531005,186.955005,
06/30/1991,178.501999,38.514999,38.514999,,16.92,,,32.089001,,,,,1.56,,,,,89.084,35.720001,52.409,-16.688999,,53.698002,,,,,,53.698002,89.418003,,2.977,2.977,,,,,,,,,,10.671,,,,10.671,13.648,2.345,,,,,2.334,,,,,,2.334,4.679,18.327,,19.475,,,-0.372,,141.071997,160.174997,,160.174997,178.501997,
09/30/1991,186.824997,42.827,42.827,,16.802999,,,34.393002,,,,,1.482,,,,,95.504997,36.771999,54.320999,-17.549,,54.548,,,,,,54.548,91.32,,3.237,3.237,,,,,,,,,,11.391,,,,11.391,14.628,2.644,,,,,2.361,,,,,,2.361,5.005,19.633,,19.597,,,-0.372,,147.967001,167.192001,,167.192001,186.825002,
12/31/1991,213.684998,46.765999,46.765999,,21.941999,,,35.597,,,,,1.786,,,,,106.091003,40.176998,61.903999,-21.726999,,67.417,,,,,,67.417,107.593998,,3.171,3.171,,,,,,,,,,13.244001,,,,13.244001,16.415001,3.257,,,,,2.433,,,,,,2.433,5.69,22.105001,,25.552,,,-0.353,,166.381,191.58,,191.58,213.685001,
03/31/1992,226.720001,60.324001,60.324001,,22.382999,,,35.126999,,,,,2.18,,,,,120.014,42.236,65.033997,-22.798,20.408001,44.062,,,,,,44.062,106.706001,,3.469,3.469,,,,,,,,,,14.44,,,,14.44,17.909,0.061,,,,,5.298,,,,,,5.298,5.359,23.268,,27.016001,,,-0.353,,176.789005,203.452006,,203.452006,226.720006,
06/30/1992,239.488007,60.091999,60.091999,,23.962999,,,37.764,,,,,2.918,,,,,124.737,44.201,68.031998,-23.830999,,70.550003,,,,,,70.550003,114.751003,,4.908,4.908,,,,,,,,,,15.653001,,,,15.653001,20.561001,,,,,,5.846,,,,,,5.846,5.846,26.407001,,27.215,,,-0.353,,186.218997,213.080997,,213.080997,239.487998,
09/30/1992,258.376007,65.231003,65.231003,,32.394001,,,42.021,,,,,3.615,,,,,143.261002,45.202,69.906998,-24.705,,69.913002,,,,,,69.913002,115.115002,,3.226,3.226,,,,,,,,,,21.432001,,,,21.432001,24.658001,,,,,,5.853,,,,,,5.853,5.853,30.511001,,38.959,,,-0.343,,189.249006,227.865005,,227.865005,258.376007,
12/31/1992,287.455994,89.393997,89.393997,,30.145,,,41.75,,,,,3.248,,,,,164.537003,46.924999,72.542999,-25.618,,75.994003,,,,,,75.994003,122.919003,,3.442,3.442,,,,,,,,,,18.673999,,,,18.673999,22.115999,,,,,,6.468,,,,,,6.468,6.468,28.583999,,51.116001,,,-0.343,,208.098997,258.871998,,258.871998,287.455997,
03/31/1993,351.105011,98.246002,98.246002,,32.396,,,45.949001,,,,,3.891,,,,,180.481995,68.518997,94.949997,-26.431,28.219999,73.884003,,,,,,73.884003,170.622999,,6.492,6.492,,,,,,,,,,19.99,,,,19.99,26.482,0.051,,,,,28.6,,,,,,28.6,28.651,55.133,,69.175003,,,-0.342,,227.138997,295.972,,295.972,351.105,
06/30/1993,365.578003,97.907997,97.907997,,39.348999,,,47.467999,,,,,5.248,,,,,189.973007,71.751999,99.664001,-27.912001,15.353,88.5,,,,,,88.5,175.604999,,7.251,7.251,,,,0.0,,,,,,22.508001,,,,22.508001,29.759001,5.35,,,,,0.322,,,,,,0.322,5.672,35.431001,,91.028999,,,-1.774,,240.891996,330.146996,,330.146996,365.577996,
09/30/1993,371.192993,95.887001,95.887001,0.0,40.543999,,,51.84,,,,,6.472,,,,,194.742996,72.697998,102.213997,-29.516001,0.0,103.751999,,,,,,103.751999,176.449997,,4.977,4.977,,,,0.0,,,,,,15.641999,,,,15.641999,20.618999,5.589,,,,,0.164,,,,,,0.164,5.753,26.372,0.0,91.421997,,,-1.774,,255.173002,344.820999,0.0,344.820999,371.192999,
12/31/1993,393.645996,103.021004,103.021004,0.0,48.773998,,,54.730999,,,,,8.374,,,,,214.899994,75.231003,106.160004,-30.929001,0.0,103.514999,,,,,,103.514999,178.746002,,5.686,5.686,,,,0.0,,,,,,18.193,,,,18.193,23.879,4.363,,,,,0.271,,,,,,0.271,4.634,28.513,0.0,93.511002,,,-2.509,,274.131009,365.133011,0.0,365.133011,393.64601,
03/31/1994,403.325012,88.451001,75.526001,12.925,55.43,,,57.995998,,,,,7.696,,,,,209.572998,82.514,115.113998,-32.599998,30.284,80.954002,,,,,,80.954002,193.752002,,6.699,6.699,,,,0.0,,,,,,11.227001,,,,11.227001,17.926001,4.609,,,,,0.821,,,,,,0.821,5.43,23.356001,,94.121002,,,-2.509,,288.356992,379.968994,,379.968994,403.324995,
06/30/1994,447.520996,93.453001,83.331001,10.122,75.126999,,,67.498001,,,,,7.722,,,,,243.800003,83.095001,117.470001,-34.375,0.0,120.625999,,,,,,120.625999,203.721001,,11.597,11.597,,,,3.171,,,,,,22.820001,,,,22.820001,37.588001,0.0,,,,,5.738,,,,,,5.738,5.738,43.326001,0.0,94.387001,,,-2.509,,312.317014,404.195015,0.0,404.195015,447.521016,
09/30/1994,475.998993,136.446993,128.539993,7.907,55.883999,,,71.648003,,,,,7.61,,,,,271.588989,86.778999,122.878998,-36.099998,0.0,117.630997,,,,,,117.630997,204.409996,,10.954,10.954,,,,0.0,,,,,,28.614,,,,28.614,39.568001,0.0,,,,,7.012,,,,,,7.012,7.012,46.580001,0.0,94.830002,,,-2.421,,337.009989,429.418991,0.0,429.418991,475.998992,
12/31/1994,508.22699,151.489998,150.600998,0.889,55.252998,,,70.879997,,,,,8.184,,,,,285.807007,89.085999,127.162003,-38.076,0.0,133.334,,,,,,133.334,222.419998,,9.419,9.419,,,,0.0,,,,,,42.422,,,,42.422,51.841,0.0,,,,,6.273,,,,,,6.273,6.273,58.113999,0.0,95.587997,,,-2.421,,356.945994,450.112991,0.0,450.112991,508.226991,
03/31/1995,546.200989,179.855,127.279999,52.575001,58.342999,,,78.205002,,,,,14.98,,,,,331.382996,92.299004,132.598999,-40.299999,21.958,100.560997,,,,,,100.560997,214.818001,,10.466,10.466,,,,0.0,,,,,,45.885002,,,,45.885002,56.351002,0.0,,,,,7.122,,,,,,7.122,7.122,63.473002,0.0,97.563004,,,-2.421,,387.586009,482.728013,0.0,482.728013,546.201015,
06/30/1995,571.505981,192.306007,141.792007,50.514,65.720001,,,76.586998,,,,,13.393,,,,,348.006012,95.264,137.770996,-42.507,25.896999,102.338997,,,,,,102.338997,223.499996,,4.087,4.087,,,,0.0,,,,,,47.154001,,,,47.154001,51.241001,0.0,,,,,7.807,,,,,,7.807,7.807,59.048001,0.0,97.901001,,,-2.421,,416.978007,512.458008,0.0,512.458008,571.506009,
09/30/1995,586.416992,180.085999,151.822998,28.263,69.064003,,,75.177002,,,,,14.109,,,,,338.436005,105.913002,149.615997,-43.702999,22.253,119.815002,,,,,,119.815002,247.981005,,11.093,11.093,,,,0.0,,,,,,28.588999,,,,28.588999,39.681999,0.0,,,,,8.581,,,,,,8.581,8.581,48.263,0.0,98.258003,,,-2.354,,442.249996,538.153999,0.0,538.153999,586.416999,
12/31/1995,612.661987,206.596993,192.095993,14.501,61.277,,,83.426003,,,,,14.497,,,,,365.796997,110.786003,155.537003,-44.750999,18.761999,117.317001,,,,,,117.317001,246.865004,,12.813,12.813,,,,0.0,,,,,,33.545002,,,,33.545002,46.358002,0.0,,,,,9.786,,,,,,9.786,9.786,56.144002,0.0,100.217003,,,-2.383,,458.683995,556.517998,0.0,556.517998,612.662,
03/31/1996,692.008972,189.439996,176.979996,12.46,71.997002,,,100.615997,,,,0.0,17.275,,,,,379.328003,121.792999,173.445007,-51.652,20.802999,170.085007,,0.0,,,,170.085007,312.681005,,14.039,14.039,,,,1.4,,,,,,33.156001,,,,33.156001,48.595001,0.0,,,,,26.973,,,,,,26.973,26.973,75.568001,0.0,147.257996,,,-2.528,,471.711014,616.44101,0.0,616.44101,692.009011,
06/30/1996,711.741028,197.343007,186.710007,10.633,64.463997,,,102.777,,,,,19.937,,,,,384.520996,127.491997,181.959,-54.466999,22.236,177.492004,,,,,,177.492004,327.220001,,11.382,11.382,,,,1.4,,,,,,46.587999,,,,46.587999,59.369999,0.0,,,,,26.823,,,,,,26.823,26.823,86.192999,0.0,147.841995,,,-2.528,,480.233994,625.547989,0.0,625.547989,711.740988,
09/30/1996,764.888,158.964004,148.979004,9.985,87.553001,,,100.421997,,,,,14.796,,,,,361.734985,130.307999,187.667999,-57.360001,23.306999,249.537994,,,,,,249.537994,403.152992,,12.356,12.356,,,,0.0,,,,,,58.167003,,,,58.167003,70.523003,0.0,,,,,56.553001,,,,,,56.553001,56.553001,127.076004,0.0,147.957993,,,-2.528,,492.382004,637.811996,0.0,637.811996,764.888,
12/31/1996,780.463989,166.792007,154.723007,12.069,97.081001,,,97.267998,,,,,19.160999,,,,,380.302002,133.257004,193.539001,-60.282001,25.136999,241.768005,,,,,,241.768005,400.162008,,11.281,11.281,,,,0.0,,,,,,62.733999,,,,62.733999,74.014999,0.0,,,,,55.580002,,,,,,55.580002,55.580002,129.595001,0.0,148.720993,,,-2.467,,504.61501,650.869003,0.0,650.869003,780.464005,
03/31/1997,777.580017,140.031998,126.155998,13.876,115.303001,,,100.889999,0.0,0.0,0.0,0.0,22.795,,,,,379.019989,135.828995,197.466003,-61.637001,23.667999,239.063004,0.0,,,,,239.063004,398.559998,,18.039,18.039,,,,0.0,,,,,,60.707002,,,,60.707002,78.746002,0.0,,,,,39.094002,,,,,,39.094002,39.094002,117.840004,0.0,150.669006,,,-3.732,,512.803014,659.74002,0.0,659.74002,777.580024,
06/30/1997,787.492004,124.057003,108.995003,15.062,107.028999,,,121.274002,,,,,27.941,,,,,380.300995,139.106995,203.792999,-64.685997,23.459999,244.623993,,,,,,244.623993,407.190987,,16.856001,16.856001,,,,0.0,,,,,,65.073,,,,65.073,81.929001,0.0,,,,,32.936001,,,,,,32.936001,32.936001,114.865002,0.0,150.761002,,,-3.744,,525.610028,672.627029,0.0,672.627029,787.492031,
09/30/1997,815.758972,111.835997,93.061996,18.774,117.535004,,,132.457993,,,,,46.532001,,,,,408.360992,140.690002,208.662003,-67.972,22.018999,244.688995,,,,,,244.688995,407.397997,,17.222,17.222,,,,0.0,,,,,,66.888,,,,66.888,84.110001,0.0,,,,,32.174999,,,,,,32.174999,32.174999,116.285,0.0,151.994995,,,-5.263,,552.742004,699.473999,0.0,699.473999,815.758999,
12/31/1997,814.982971,133.621998,115.129997,18.492001,108.043999,,,135.600998,,,,,21.694,,,,,398.960999,145.839996,217.169006,-71.329002,21.907,248.274994,,,,,,248.274994,416.02199,,14.996,14.996,,,,16.336,,,,,,35.476997,,,,35.476997,66.808998,31.996,,,,,0.0,,,,,,0.0,31.996,98.804998,0.0,153.604004,,,-6.141,,568.714974,716.177979,0.0,716.177979,814.982977,
03/31/1998,847.752991,124.722996,103.755997,20.966999,136.863998,,,146.041,,,,,22.469999,,,,,430.097992,151.412003,226.319,-74.906998,20.974001,245.268997,,,,,,245.268997,417.655001,,15.957,15.957,,,,8.477,,,,,,46.912001,,,,46.912001,71.346001,26.218,,,,,5.724,,,,,,5.724,31.942,103.288001,0.0,153.929993,,,-5.882,,596.416973,744.464966,0.0,744.464966,847.752967,
06/30/1998,890.899,157.09,139.111,17.979,137.229,137.229,,150.032,66.358,27.525,56.149,,23.647,,,,,467.998,153.2031,231.749,-78.542,21.131,248.563,126.855,,,,,121.708,422.8971,,18.817,18.817,,,,9.118,,,,,,58.352,,,,58.352,86.287,26.417,,,,,3.49,,,,,,3.49,29.907,116.194,0.0,156.387,,,-5.894,624.134,0.078,774.705,0.0,774.705,890.899,
09/30/1998,924.428,154.179,138.223,15.956,157.618,157.618,,151.028,67.743,20.095,63.19,,24.087,,,,,486.912,152.304,234.423,-82.119,20.989,264.223,138.86,,,,,125.363,437.516,,13.331,13.331,,,,18.414,,,,,,53.989,,,,53.989,85.734,25.717,,,,,5.665,,,,,,5.665,31.382,117.116,0.0,157.107,,,-5.634,656.309,-0.47,807.312,0.0,807.312,924.428,
12/31/1998,1158.313,205.175,188.114,17.061,150.76,150.76,,146.989,62.563,18.285,66.141,,28.402,,,,,531.326,152.496,239.324,-86.828,21.27,453.221,328.217,,,,,125.004,626.987,,12.086,12.086,,,,19.195,,,,,,58.806,,,,58.806,90.087,25.545,,,,,18.731,,,,,,18.731,44.276,134.363,0.0,373.307,,,-7.976,659.272,-0.653,1023.95,0.0,1023.95,1158.313,
