Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,165.529999,,-83.139999,,82.389999,,-36.035999,,,,,,46.354,6.74,,15.844,,,,-22.584,53.094,-6.208,46.886002,-14.725,,,61.610999,-4.204,57.407001,0.0,,57.407001,57.407001,,84.647389,0.681035,0.504767,,84.647389,0.681035,0.504767,0.504767,
06/30/1990,184.647995,,-94.311996,,90.335999,,-37.772999,,,,,,52.563,-18.749,,16.063,,,,2.686,33.814,-9.522,24.292,-10.979,,,35.271,-3.677,31.594,0.0,,31.594,31.594,,84.563765,0.376572,0.248378,,84.563765,0.376572,0.248378,0.248378,
09/30/1990,170.065994,,-81.121002,,88.944992,,-41.238998,,,,,,47.706001,106.700996,,5.958,,,,-112.658997,154.406998,-53.442001,100.964996,-151.111008,,,252.076004,-3.627,248.449005,0.0,,248.449005,248.449005,,84.646142,2.932457,1.145741,,84.646142,2.932457,1.145741,1.145741,
12/31/1990,163.248993,,-98.415001,,64.833992,,-52.223999,,,,,,12.61,0.556,,4.508,,,,-5.064,13.166,-2.791,10.375,2.748001,,,7.626999,-2.513,5.114,,,5.114,5.114,,84.477646,0.064097,0.11217,0.11217,84.477646,0.064097,0.11217,0.11217,
03/31/1991,151.317001,,-73.575996,,77.741005,,-39.574001,,,,,,38.167,7.899,,4.267,,,,-12.166,46.066,-5.249,40.817001,0.0,,,40.817,-3.385,37.431999,0.0,,37.431999,37.431999,,84.528818,0.44067,0.44067,,84.528818,0.44067,0.44067,0.44067,
06/30/1991,167.227997,,-81.200996,,86.027,,-51.108002,,,,,,34.918999,-4.849,,4.004,,,,0.845,30.069999,-5.189,24.881001,0.0,,,24.880998,-2.894,21.987,0.0,,21.987,21.987,,84.506355,0.25639,0.25639,,84.506355,0.25639,0.25639,0.25639,
09/30/1991,148.373993,,-70.043999,,78.329994,,-46.328999,,,,,,32.000999,-6.584,,3.034,,,,3.55,25.417,-10.384,15.033,0.0,,,15.033,-2.868,12.165,0.0,,12.165,12.165,,84.560022,0.144219,0.144219,,84.560022,0.144219,0.144219,0.144219,
12/31/1991,155.852005,,-77.170998,,78.681007,,-40.827999,,,,,,37.853001,-4.733,,1.716,,,,3.017,33.120001,-7.118,26.002001,,,,26.002001,-3.308,22.694,,,22.694,22.694,,84.565641,0.272414,0.272414,0.272414,84.565641,0.272414,0.272414,0.272414,
03/31/1992,157.738007,,-97.125,,60.613007,,-16.589001,,,,,,44.023998,7.033,,1.701,,,,-8.734,51.056998,-4.779,46.278,11.572001,,,34.705998,-2.301,32.404999,0.0,,32.404999,32.404999,,84.885778,0.384585,0.520792,,84.885778,0.384585,0.520792,0.520792,
06/30/1992,158.720001,,-108.758003,,49.961998,,-22.570999,,,,,,27.391001,-1.673,,4.741,,,,-3.068,25.718001,0.34,26.058001,0.0,,,26.058001,-1.701,24.357,0.0,,24.357,24.357,,84.914488,0.288438,0.288438,,84.914488,0.288438,0.288438,0.288438,
09/30/1992,155.828003,,-108.667999,,47.160004,,-24.218,,,,,,22.941999,-4.245,,4.361,,,,-0.116,18.696999,1.927,20.624001,0.0,,,20.623999,-2.345,18.278999,0.0,,18.278999,18.278999,,85.101695,0.216329,0.216329,,85.101695,0.216329,0.216329,0.216329,
12/31/1992,140.910004,,-107.466003,,33.444001,,-24.007999,,,,,,9.436,-3.929,,3.752,,,,0.177,5.507,-0.266,5.241,0.0,,,5.241,-1.233,4.008,-1.747,,2.261,2.261,,85.120416,0.024037,0.024037,0.024037,85.120416,0.024037,0.024037,0.024037,
03/31/1993,136.177994,,-103.581001,,32.596992,,-18.823,,,,,,13.774,2.341,,3.9,,0.0,,-6.241,16.115,-1.379,14.736,-38.470001,,,53.206002,-2.182,51.023998,-4.051,,46.972998,46.972998,,85.12791,0.544828,0.096146,,85.12791,0.544828,0.096146,0.096146,
06/30/1993,156.285995,,-109.460999,,46.824997,,-19.931,,,,,,26.893999,26.390001,,3.588,,0.0,,-29.978001,53.284,-10.968,42.316002,0.0,,,42.315999,-2.779,39.536999,-3.909,,35.627999,35.627999,,85.446172,0.416633,0.416633,,85.446172,0.416633,0.416633,0.416633,
09/30/1993,176.664993,,-116.275002,,60.389992,,-24.621,,,,,,35.769001,-2.992,,2.82,,0.0,,0.172,32.777001,-2.993,29.784,0.0,,,29.784001,-4.126,25.658001,-3.953,,21.705001,21.705001,,85.678325,0.25639,0.25639,,85.678325,0.25639,0.25639,0.25639,
12/31/1993,159.679993,,-114.223999,,45.455994,,-25.167999,,,,,,20.288,2.222,,2.085,,0.0,,-4.307,22.51,-3.225,19.285,0.0,,,19.285,-2.365,16.92,-3.997,,12.923,12.923,,85.853058,0.152231,0.152231,0.152231,85.853058,0.152231,0.152231,0.152231,
03/31/1994,149.768997,,-105.833,,43.935997,,-20.450001,,,,,,23.486,1.198,,0.165,,0.0,,-1.363,24.684,-0.965,23.719,0.0,,,23.719,-2.13,21.589001,-3.953,,17.636001,17.636001,,86.093942,0.200304,0.200304,,86.093942,0.200304,0.200304,0.200304,
06/30/1994,139.337006,,-94.035004,,45.302002,,-29.149,,,,,,16.153,-23.913,,0.433,,0.0,,23.48,-7.76,26.697001,18.937,0.0,,,18.937001,-1.613,17.323999,-3.953,,13.370999,13.370999,,86.126999,0.16,0.16,,86.126999,0.16,0.16,0.16,
09/30/1994,150.063004,,-107.193001,,42.870003,,-30.007999,,,,,,12.862,8.206,,0.307,,0.0,,-8.513,21.068,1.338,22.406,0.0,,,22.406,-1.982,20.424,-3.953,,16.471,16.471,,86.190002,0.19,0.19,,86.190002,0.19,0.19,0.19,
