Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
01/28/1990,138.835007,,-72.926003,,65.909004,,-47.348999,,,,,,18.559999,-0.632,,1.254,,0.0,,-0.622,17.927999,-6.813,11.115,0.0,,,11.114999,0.0,11.115,0.0,,11.115,11.115,,1078.848022,0.010313,0.010313,,1078.848022,0.010313,0.010313,0.010313,
04/29/1990,143.069,,-74.994003,,68.074997,,-49.855,,,,,,18.219999,-1.349,,1.765,,0.0,,-0.416,16.870999,-6.411,10.46,0.0,,,10.46,0.0,10.46,0.0,,10.46,10.46,,1085.248047,0.009688,0.009688,,1085.248047,0.009688,0.009688,0.009688,
07/29/1990,144.244003,,-75.261002,,68.983002,,-53.272999,,,,,,15.71,-1.177,,1.755,,0.0,,-0.578,14.533,-5.029,9.504,0.0,,,9.504,0.0,9.504,0.0,,9.504,9.504,,1108.095947,0.008594,0.008594,,1108.095947,0.008594,0.008594,0.008594,
10/28/1990,140.981995,,-78.82,,62.161995,,-55.702,,,,,,6.46,-1.708,,1.943,,0.0,,-0.235,4.752,-1.758,2.994,0.0,,,2.994,0.0,2.994,0.0,,2.994,2.994,,1066.079936,0.002656,0.002656,0.002656,1066.079936,0.002656,0.002656,0.002656,
01/27/1991,144.574997,,-84.064003,,60.510994,,-51.622002,,,,,,8.889,-2.147,,2.382,,0.0,,-0.235,6.742,-2.495,4.247,0.0,,,4.247,0.0,4.247,0.0,,4.247,4.247,,1081.599976,0.003906,0.003906,,1081.599976,0.003906,0.003906,0.003906,
04/28/1991,166.123001,,-96.369003,,69.753998,,-54.966,,,,,,14.788,-3.223,,3.165,,0.0,,0.058,11.565,-4.279,7.286,0.0,,,7.286,0.0,7.286,0.0,,7.286,7.286,,1100.735962,0.006562,0.006562,,1100.735962,0.006562,0.006562,0.006562,
07/28/1991,167.315002,,-98.135002,,69.18,,-53.182999,,,,,,15.997,-3.673,,4.466,,0.0,,-0.793,12.324,-3.947,8.377,0.0,,,8.377,0.0,8.377,0.0,,8.377,8.377,,1115.391968,0.0075,0.0075,,1115.391968,0.0075,0.0075,0.0075,
10/27/1991,160.593002,,-91.457001,,69.136001,,-56.122002,,,,,,13.014,-3.29,,3.956,,0.0,,-0.666,9.724,-3.403,6.321,0.0,,,6.321,0.0,6.321,0.0,,6.321,6.321,,1112.063936,0.005625,0.005625,0.005625,1112.063936,0.005625,0.005625,0.005625,
01/26/1992,166.996994,,-100.057999,,66.938995,,-53.660999,,,,,,13.278,-3.577,,4.165,,0.0,,-0.588,9.701,-3.298,6.403,0.0,,,6.403,0.0,6.403,0.0,,6.403,6.403,,1115.391968,0.005781,0.005781,,1115.391968,0.005781,0.005781,0.005781,
04/26/1992,180.117996,,-107.533997,,72.584,,-56.491001,,,,,,16.093,-2.246,,3.815,,0.0,,-1.569,13.847,-4.473,9.374,0.0,,,9.374,0.0,9.374,0.0,,9.374,9.374,,1149.728027,0.008125,0.008125,,1149.728027,0.008125,0.008125,0.008125,
